osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,maxspeed
299749502,2,,secondary,False,False,16.202,"LINESTRING (-40.9608785 -13.2938271, -40.9609459 -13.2938829, -40.9609852 -13.2939286)",,
251518087,,,residential,False,False,53.525,"LINESTRING (-40.9608132 -13.2935047, -40.9603358 -13.2933788)",,
251518087,,,residential,False,True,36.539,"LINESTRING (-40.9608132 -13.2935047, -40.9608785 -13.2938271)",,
271946490,,,residential,False,True,9.394,"LINESTRING (-40.9608132 -13.2935047, -40.9608947 -13.2934756)",,
958273719,,,residential,False,True,96.04899999999999,"LINESTRING (-40.959728 -13.2917525, -40.9594019 -13.2922373, -40.9591365 -13.2923562)",Rua Santa Helena,
242770393,2,BR-407;BA-131,secondary,False,False,110.39099999999999,"LINESTRING (-40.9583627 -13.2917134, -40.958434 -13.2917953, -40.9584995 -13.2918622, -40.9586846 -13.2919927, -40.9591365 -13.2923562)",,
242770393,2,BR-407;BA-131,secondary,False,True,239.099,"LINESTRING (-40.9583627 -13.2917134, -40.9582279 -13.2914738, -40.9572257 -13.28987)",,
251518092,,,residential,False,False,68.199,"LINESTRING (-40.9583627 -13.2917134, -40.9583402 -13.2918084, -40.957879 -13.2920626)",Rua Dionísio Silva Caires,
251518093,,,tertiary,False,True,109.256,"LINESTRING (-40.9583627 -13.2917134, -40.9583777 -13.2918319, -40.9584057 -13.2919196, -40.9590331 -13.2923909)",,
941014933,,,tertiary,False,True,11.836,"LINESTRING (-40.9590331 -13.2923909, -40.9591365 -13.2923562)",,
251518093,,,tertiary,False,False,109.256,"LINESTRING (-40.9590331 -13.2923909, -40.9584057 -13.2919196, -40.9583777 -13.2918319, -40.9583627 -13.2917134)",,
271946492,,,residential,False,False,151.937,"LINESTRING (-40.9590331 -13.2923909, -40.9585011 -13.292551, -40.9584314 -13.2925602, -40.958363 -13.292551, -40.9583013 -13.2925249, -40.9582302 -13.2924832, -40.9581444 -13.292397, -40.957879 -13.2920626)",,
941014934,,,residential,False,True,77.137,"LINESTRING (-40.9590331 -13.2923909, -40.9590169 -13.2924235, -40.9590158 -13.2924269, -40.9588844 -13.2925463, -40.9588657 -13.2926089, -40.9591528 -13.2929141)",,
941014933,,,tertiary,False,False,11.836,"LINESTRING (-40.9591365 -13.2923562, -40.9590331 -13.2923909)",,
242770393,2,BR-407;BA-131,secondary,False,False,9.633,"LINESTRING (-40.9591365 -13.2923562, -40.9591577 -13.2923768, -40.9591996 -13.2924173)",,
242770393,2,BR-407;BA-131,secondary,False,True,110.39100000000002,"LINESTRING (-40.9591365 -13.2923562, -40.9586846 -13.2919927, -40.9584995 -13.2918622, -40.958434 -13.2917953, -40.9583627 -13.2917134)",,
958273719,,,residential,False,False,96.04899999999999,"LINESTRING (-40.9591365 -13.2923562, -40.9594019 -13.2922373, -40.959728 -13.2917525)",Rua Santa Helena,
242770394,,,residential,False,False,17.116,"LINESTRING (-40.9537105 -13.2952394, -40.9538575 -13.2951826)",Rua Artur Magalhães,
242770394,,,residential,False,True,78.257,"LINESTRING (-40.9537105 -13.2952394, -40.953192 -13.2947488)",Rua Artur Magalhães,
271946511,,,residential,False,True,52.304,"LINESTRING (-40.9537105 -13.2952394, -40.9539836 -13.2956275)",,
242770394,,,residential,False,False,85.941,"LINESTRING (-40.9547735 -13.2949088, -40.9551557 -13.2947395, -40.9555131 -13.2946315)",Rua Artur Magalhães,
242770394,,,residential,False,True,104.547,"LINESTRING (-40.9547735 -13.2949088, -40.9546971 -13.2949095, -40.954636 -13.2949121, -40.9545355 -13.2949323, -40.9544624 -13.2949486, -40.9538575 -13.2951826)",Rua Artur Magalhães,
271946510,,,residential,False,True,97.723,"LINESTRING (-40.9547735 -13.2949088, -40.9547567 -13.2949897, -40.954752 -13.2950211, -40.9547433 -13.2950544, -40.9547246 -13.2950818, -40.9541556 -13.2955056)",,
242770394,,,residential,False,False,41.943,"LINESTRING (-40.9580144 -13.2940169, -40.958392 -13.2939318)",Rua Artur Magalhães,
242770394,,,residential,False,True,46.265,"LINESTRING (-40.9580144 -13.2940169, -40.9575979 -13.2941108)",Rua Artur Magalhães,
271946470,,,residential,False,False,74.24900000000001,"LINESTRING (-40.9580144 -13.2940169, -40.9580264 -13.2938223, -40.9580398 -13.2937113, -40.9580599 -13.2935795, -40.9580957 -13.2933544)",,
799589345,,,residential,False,True,24.893,"LINESTRING (-40.9581229 -13.2931321, -40.9580957 -13.2933544)",,
271946475,,,secondary,False,True,38.068,"LINESTRING (-40.9581229 -13.2931321, -40.9578274 -13.2932371, -40.9577913 -13.2932458)",,
299749535,,,secondary,False,False,124.166,"LINESTRING (-40.9581229 -13.2931321, -40.9585588 -13.2928264, -40.9586312 -13.2928069, -40.9587197 -13.2928095, -40.9590207 -13.2928758, -40.9591528 -13.2929141)",,
299749535,,,secondary,False,False,33.25,"LINESTRING (-40.9594779 -13.2929962, -40.9597848 -13.2929818)",,
299749535,,,secondary,False,True,23.695,"LINESTRING (-40.9594779 -13.2929962, -40.9592621 -13.2929601)",,
799574022,,,residential,False,False,47.607,"LINESTRING (-40.9594779 -13.2929962, -40.9593809 -13.2934138)",,
242770393,2,BR-407;BA-131,secondary,False,True,44.974,"LINESTRING (-40.9597848 -13.2929818, -40.9594896 -13.2926971)",,
299749535,,,secondary,False,True,33.25,"LINESTRING (-40.9597848 -13.2929818, -40.9594779 -13.2929962)",,
299749502,2,,secondary,False,False,74.21600000000001,"LINESTRING (-40.9597848 -13.2929818, -40.9599656 -13.2931214, -40.9601068 -13.2932237, -40.9603358 -13.2933788)",,
799574022,,,residential,False,False,12.94,"LINESTRING (-40.9593809 -13.2934138, -40.9592668 -13.293379)",,
799574022,,,residential,False,True,47.607,"LINESTRING (-40.9593809 -13.2934138, -40.9594779 -13.2929962)",,
271946472,,,residential,False,False,88.06800000000001,"LINESTRING (-40.9593809 -13.2934138, -40.9593794 -13.2934288, -40.9593814 -13.2934368, -40.9593856 -13.2934433, -40.9594023 -13.2934542, -40.9594372 -13.2934686, -40.9595244 -13.293509, -40.9597 -13.29359, -40.9597336 -13.2936174, -40.9597537 -13.2936461, -40.9597671 -13.2936735, -40.9597698 -13.2937231, -40.9597481 -13.2939863)",,
299749535,,,secondary,False,False,23.695,"LINESTRING (-40.9592621 -13.2929601, -40.9594779 -13.2929962)",,
299749535,,,secondary,False,True,4.233,"LINESTRING (-40.9592621 -13.2929601, -40.9592253 -13.2929472)",,
