osmid,oneway,highway,reversed,length,geometry,name,bridge,lanes,maxspeed
831725938,True,secondary,False,12.313,"LINESTRING (-45.245503 -18.207768, -45.2455277 -18.2077534, -45.245556 -18.2077467, -45.2455851 -18.2077487, -45.2456121 -18.2077591)",,,,
831725935,True,tertiary,False,29.289,"LINESTRING (-45.245335 -18.2081087, -45.2454087 -18.2079993, -45.2454724 -18.2079184, -45.2454936 -18.2078929)",Rua Dois,,,
229005848,True,secondary,False,35.106,"LINESTRING (-45.2529176 -18.2071591, -45.2526946 -18.2072412, -45.2526064 -18.2072698)",,,,
832472055,False,secondary,True,70.724,"LINESTRING (-45.2516491 -18.2072593, -45.250983 -18.2073239)",Avenida Geraldo Rodrigues dos Santos,,,
229005847,True,secondary,False,48.726,"LINESTRING (-45.2516491 -18.2072593, -45.2517783 -18.2072279, -45.2519456 -18.2071983, -45.2521005 -18.2071699)",,,,
229005843,True,secondary_link,False,14.361,"LINESTRING (-45.2521049 -18.2072986, -45.2521008 -18.2072623, -45.2520981 -18.2072343, -45.2520975 -18.207205, -45.2521005 -18.2071699)",,,,
229005848,True,secondary,False,48.510000000000005,"LINESTRING (-45.2521049 -18.2072986, -45.2519211 -18.2072948, -45.2517823 -18.2072871, -45.2516491 -18.2072593)",,,,
229005848,True,secondary,False,41.838,"LINESTRING (-45.2525007 -18.207304, -45.2523214 -18.2073082, -45.2521049 -18.2072986)",,,,
832472055,False,secondary,False,70.724,"LINESTRING (-45.250983 -18.2073239, -45.2516491 -18.2072593)",Avenida Geraldo Rodrigues dos Santos,,,
"[1014948328, 1014948329, 832472055]",False,secondary,True,153.221,"LINESTRING (-45.250983 -18.2073239, -45.2500727 -18.2073957, -45.2498259 -18.2074152, -45.2495374 -18.2074379)",Avenida Geraldo Rodrigues dos Santos,yes,,
229005847,True,secondary,False,34.422,"LINESTRING (-45.2525925 -18.2071377, -45.2529176 -18.2071591)",,,,
229005845,True,secondary_link,False,15.213000000000001,"LINESTRING (-45.2525925 -18.2071377, -45.2526078 -18.207168, -45.2526145 -18.2071986, -45.2526145 -18.2072311, -45.2526064 -18.2072698)",,,,
229005847,True,secondary,False,52.38,"LINESTRING (-45.2521005 -18.2071699, -45.25218 -18.207154, -45.2523053 -18.2071343, -45.2524187 -18.2071285, -45.2525925 -18.2071377)",,,,
229005848,True,secondary,False,11.795,"LINESTRING (-45.2526064 -18.2072698, -45.2525007 -18.207304)",,,,
832472054,True,secondary,False,65.136,"LINESTRING (-45.2495374 -18.2074379, -45.2493355 -18.207484, -45.248929 -18.2075269)",Avenida Geraldo Rodrigues dos Santos,,,
"[1014948328, 1014948329, 832472055]",False,secondary,False,153.221,"LINESTRING (-45.2495374 -18.2074379, -45.2498259 -18.2074152, -45.2500727 -18.2073957, -45.250983 -18.2073239)",Avenida Geraldo Rodrigues dos Santos,yes,,
506763411,False,residential,False,49.496,"LINESTRING (-45.2478103 -18.2055382, -45.2482004 -18.2052916)",Rua B,,,
1014948326,False,residential,True,169.41,"LINESTRING (-45.2478103 -18.2055382, -45.2469495 -18.2042527)",Rua Calcedônia,,1,40
"[756133162, 506763411]",False,residential,True,43.426,"LINESTRING (-45.2478103 -18.2055382, -45.2477543 -18.2055717, -45.2477369 -18.2055953, -45.2477335 -18.2056291, -45.2477389 -18.205659, -45.247758 -18.205693, -45.2478681 -18.2058588)",Rua B,,,
506763413,False,residential,False,22.117,"LINESTRING (-45.249091 -18.2029209, -45.2489088 -18.2030189)",Rua Turqueza,,,
506763413,False,residential,False,49.832,"LINESTRING (-45.2489088 -18.2030189, -45.2485167 -18.2032681)",Rua Turqueza,,,
506763413,False,residential,True,22.117,"LINESTRING (-45.2489088 -18.2030189, -45.249091 -18.2029209)",Rua Turqueza,,,
"[506763412, 1014948327]",False,residential,False,224.387,"LINESTRING (-45.2489088 -18.2030189, -45.2480856 -18.2017816, -45.2480447 -18.2017332, -45.2480017 -18.2017071, -45.2479474 -18.2017027, -45.2479005 -18.201723, -45.2475931 -18.2019029)","['Rua Topázio', 'Rua Rubi']",,,
"[506763411, 1014948327]",False,residential,True,251.808,"LINESTRING (-45.2489088 -18.2030189, -45.2498766 -18.2044271, -45.2498954 -18.2044615, -45.2499048 -18.2045003, -45.2499007 -18.2045309, -45.2498712 -18.2045557, -45.2498243 -18.2045659, -45.2494137 -18.2045792)","['Rua Topázio', 'Rua B']",,,
506763413,False,residential,True,49.123,"LINESTRING (-45.2469495 -18.2042527, -45.24734 -18.2040128)",Rua Turqueza,,,
1014948326,False,residential,False,169.41,"LINESTRING (-45.2469495 -18.2042527, -45.2478103 -18.2055382)",Rua Calcedônia,,1,40
"[506763412, 1014948326]",False,residential,True,226.598,"LINESTRING (-45.2469495 -18.2042527, -45.246094 -18.203011, -45.2460598 -18.2029473, -45.2460518 -18.2028996, -45.2460699 -18.2028569, -45.2461068 -18.2028263, -45.2464094 -18.202642)","['Rua Calcedônia', 'Rua Rubi']",,1,40
506763411,False,residential,True,49.871,"LINESTRING (-45.2490122 -18.2048087, -45.2486113 -18.2050456)",Rua B,,,
506763414,False,residential,False,171.932,"LINESTRING (-45.2490122 -18.2048087, -45.248129 -18.2035099)",Rua Esmeralda,,,
506763411,False,residential,False,49.522,"LINESTRING (-45.2490122 -18.2048087, -45.2493111 -18.2046305, -45.2494137 -18.2045792)",Rua B,,,
506763413,False,residential,False,50.681,"LINESTRING (-45.248129 -18.2035099, -45.2477297 -18.2037626)",Rua Turqueza,,,
506763413,False,residential,True,48.99,"LINESTRING (-45.248129 -18.2035099, -45.2485167 -18.2032681)",Rua Turqueza,,,
506763414,False,residential,False,179.924,"LINESTRING (-45.248129 -18.2035099, -45.2471938 -18.2021575)",Rua Esmeralda,,,
506763414,False,residential,True,171.932,"LINESTRING (-45.248129 -18.2035099, -45.2490122 -18.2048087)",Rua Esmeralda,,,
506763412,False,residential,False,49.374,"LINESTRING (-45.2471938 -18.2021575, -45.2467982 -18.202394)",Rua Rubi,,,
506763412,False,residential,True,50.799,"LINESTRING (-45.2471938 -18.2021575, -45.2475931 -18.2019029)",Rua Rubi,,,
506763414,False,residential,True,179.924,"LINESTRING (-45.2471938 -18.2021575, -45.248129 -18.2035099)",Rua Esmeralda,,,
506763412,False,residential,False,50.799,"LINESTRING (-45.2475931 -18.2019029, -45.2471938 -18.2021575)",Rua Rubi,,,
506763415,False,residential,False,180.45,"LINESTRING (-45.2475931 -18.2019029, -45.2485167 -18.2032681)",Rua Ametista,,,
"[506763412, 1014948327]",False,residential,True,224.387,"LINESTRING (-45.2475931 -18.2019029, -45.2479005 -18.201723, -45.2479474 -18.2017027, -45.2480017 -18.2017071, -45.2480447 -18.2017332, -45.2480856 -18.2017816, -45.2489088 -18.2030189)","['Rua Topázio', 'Rua Rubi']",,,
506763413,False,residential,False,48.99,"LINESTRING (-45.2485167 -18.2032681, -45.248129 -18.2035099)",Rua Turqueza,,,
506763413,False,residential,True,49.832,"LINESTRING (-45.2485167 -18.2032681, -45.2489088 -18.2030189)",Rua Turqueza,,,
506763415,False,residential,False,173.873,"LINESTRING (-45.2485167 -18.2032681, -45.2494137 -18.2045792)",Rua Ametista,,,
506763415,False,residential,True,180.45,"LINESTRING (-45.2485167 -18.2032681, -45.2475931 -18.2019029)",Rua Ametista,,,
506763415,False,residential,True,173.873,"LINESTRING (-45.2494137 -18.2045792, -45.2485167 -18.2032681)",Rua Ametista,,,
"[506763411, 1014948327]",False,residential,False,251.808,"LINESTRING (-45.2494137 -18.2045792, -45.2498243 -18.2045659, -45.2498712 -18.2045557, -45.2499007 -18.2045309, -45.2499048 -18.2045003, -45.2498954 -18.2044615, -45.2498766 -18.2044271, -45.2489088 -18.2030189)","['Rua Topázio', 'Rua B']",,,
506763411,False,residential,True,49.522,"LINESTRING (-45.2494137 -18.2045792, -45.2493111 -18.2046305, -45.2490122 -18.2048087)",Rua B,,,
506763411,False,residential,False,49.871,"LINESTRING (-45.2486113 -18.2050456, -45.2490122 -18.2048087)",Rua B,,,
506763416,False,residential,False,170.366,"LINESTRING (-45.2486113 -18.2050456, -45.2477297 -18.2037626)",Rua Turmalina,,,
506763411,False,residential,True,51.304,"LINESTRING (-45.2486113 -18.2050456, -45.2484314 -18.2051533, -45.2482004 -18.2052916)",Rua B,,,
506763420,False,residential,False,211.921,"LINESTRING (-45.2486113 -18.2050456, -45.2489519 -18.2053768, -45.2490284 -18.2054571, -45.2490874 -18.2055424, -45.2491102 -18.2056214, -45.2491075 -18.2056979, -45.2490713 -18.2057679, -45.2490069 -18.2058189, -45.2489144 -18.2058788, -45.2481888 -18.2063043)",Rua João Carlos Cunha de Amorim,,,
506763413,False,residential,False,49.684,"LINESTRING (-45.2477297 -18.2037626, -45.24734 -18.2040128)",Rua Turqueza,,,
506763413,False,residential,True,50.681,"LINESTRING (-45.2477297 -18.2037626, -45.248129 -18.2035099)",Rua Turqueza,,,
506763416,False,residential,False,181.22,"LINESTRING (-45.2477297 -18.2037626, -45.2467982 -18.202394)",Rua Turmalina,,,
506763416,False,residential,True,170.366,"LINESTRING (-45.2477297 -18.2037626, -45.2486113 -18.2050456)",Rua Turmalina,,,
506763412,False,residential,False,49.469,"LINESTRING (-45.2467982 -18.202394, -45.2464094 -18.202642)",Rua Rubi,,,
506763412,False,residential,True,49.374,"LINESTRING (-45.2467982 -18.202394, -45.2471938 -18.2021575)",Rua Rubi,,,
506763416,False,residential,True,181.22,"LINESTRING (-45.2467982 -18.202394, -45.2477297 -18.2037626)",Rua Turmalina,,,
506763412,False,residential,True,49.469,"LINESTRING (-45.2464094 -18.202642, -45.2467982 -18.202394)",Rua Rubi,,,
506763417,False,residential,False,181.374,"LINESTRING (-45.2464094 -18.202642, -45.24734 -18.2040128)",Rua Berilo,,,
"[506763412, 1014948326]",False,residential,False,226.598,"LINESTRING (-45.2464094 -18.202642, -45.2461068 -18.2028263, -45.2460699 -18.2028569, -45.2460518 -18.2028996, -45.2460598 -18.2029473, -45.246094 -18.203011, -45.2469495 -18.2042527)","['Rua Calcedônia', 'Rua Rubi']",,1,40
506763413,False,residential,False,49.123,"LINESTRING (-45.24734 -18.2040128, -45.2469495 -18.2042527)",Rua Turqueza,,,
506763413,False,residential,True,49.684,"LINESTRING (-45.24734 -18.2040128, -45.2477297 -18.2037626)",Rua Turqueza,,,
506763417,False,residential,False,168.759,"LINESTRING (-45.24734 -18.2040128, -45.2482004 -18.2052916)",Rua Berilo,,,
506763417,False,residential,True,181.374,"LINESTRING (-45.24734 -18.2040128, -45.2464094 -18.202642)",Rua Berilo,,,
506763411,False,residential,True,49.496,"LINESTRING (-45.2482004 -18.2052916, -45.2478103 -18.2055382)",Rua B,,,
506763417,False,residential,True,168.759,"LINESTRING (-45.2482004 -18.2052916, -45.24734 -18.2040128)",Rua Berilo,,,
506763411,False,residential,False,51.304,"LINESTRING (-45.2482004 -18.2052916, -45.2484314 -18.2051533, -45.2486113 -18.2050456)",Rua B,,,
506763418,False,residential,False,127.293,"LINESTRING (-45.2478681 -18.2058588, -45.2468649 -18.2064931)",Rua Raimundo Marciano da Silva,,,
756133162,False,residential,True,60.012,"LINESTRING (-45.2478681 -18.2058588, -45.2481888 -18.2063043)",Rua B,,,
"[756133162, 506763411]",False,residential,False,43.426,"LINESTRING (-45.2478681 -18.2058588, -45.247758 -18.205693, -45.2477389 -18.205659, -45.2477335 -18.2056291, -45.2477369 -18.2055953, -45.2477543 -18.2055717, -45.2478103 -18.2055382)",Rua B,,,
506763418,False,residential,True,127.293,"LINESTRING (-45.2468649 -18.2064931, -45.2478681 -18.2058588)",Rua Raimundo Marciano da Silva,,,
506763421,False,residential,False,58.878,"LINESTRING (-45.2468649 -18.2064931, -45.247166 -18.2069387)",,,,
