osmid,oneway,lanes,name,highway,reversed,length,access,junction,geometry,maxspeed,ref
177866172,True,1,Rua Doutor Paulo L. Correia,residential,False,17.251,,,"LINESTRING (-47.8412574 -20.769782, -47.841323 -20.7696395)",,
177866167,True,,,secondary,False,14.972999999999999,yes,roundabout,"LINESTRING (-47.8412574 -20.769782, -47.8412971 -20.7697411, -47.8413338 -20.769721, -47.8413755 -20.7697138)",,
177866177,False,2,Rua Aquidaban,tertiary,False,89.74,,,"LINESTRING (-47.8380648 -20.7700114, -47.8389279 -20.7700199)",,
177883033,False,2,Rua Presidente Vargas,tertiary,False,93.086,,,"LINESTRING (-47.8380648 -20.7700114, -47.8380392 -20.7708482)",50,
177883033,False,2,Rua Presidente Vargas,tertiary,True,94.839,,,"LINESTRING (-47.8380648 -20.7700114, -47.8380849 -20.7691587)",50,
177866167,True,,,secondary,False,18.094,yes,roundabout,"LINESTRING (-47.8411964 -20.7699344, -47.8412574 -20.769782)",,
920634971,False,2,Rua Aquidaban,secondary,True,4.878,,,"LINESTRING (-47.8409135 -20.7700667, -47.8408667 -20.7700698)",,
177866170,True,1,Rua Aquidaban,secondary,False,32.9,,,"LINESTRING (-47.8409135 -20.7700667, -47.8410673 -20.769999, -47.8411411 -20.7699607, -47.8411964 -20.7699344)",,
177866167,True,,,secondary,False,28.391000000000002,yes,roundabout,"LINESTRING (-47.8414861 -20.7698635, -47.8414795 -20.7698915, -47.8414258 -20.7700137, -47.8414073 -20.7700377, -47.8413836 -20.7700532, -47.8413482 -20.7700717)",,
177866171,True,1,Rua Doutor Rebouças,residential,False,29.671,,,"LINESTRING (-47.8414861 -20.7698635, -47.8415074 -20.76996, -47.8415142 -20.7700287, -47.8415128 -20.770128)",,
866550988,False,2,Rua Doutor Rebouças,residential,True,4.126,,,"LINESTRING (-47.8415128 -20.770128, -47.8415098 -20.770165)",50,
177866175,True,1,Rua Doutor Rebouças,residential,False,19.029999999999998,,,"LINESTRING (-47.8415128 -20.770128, -47.841471 -20.770099, -47.8414491 -20.7700841, -47.8414349 -20.7700758, -47.8414215 -20.7700726, -47.8414071 -20.7700721, -47.8413799 -20.7700726, -47.8413482 -20.7700717)",,
177866176,True,1,Rua Doutor Paulo L. Correia,residential,False,10.89,,,"LINESTRING (-47.841323 -20.7696395, -47.8413261 -20.7696694, -47.8413321 -20.7696874, -47.841338 -20.7696945, -47.841347 -20.7696999, -47.8413755 -20.7697138)",,
177866167,True,,,secondary,False,4.162,yes,roundabout,"LINESTRING (-47.8413482 -20.7700717, -47.8413087 -20.7700778)",,
177866167,True,,,secondary,False,8.198,yes,roundabout,"LINESTRING (-47.8414846 -20.7697899, -47.8414876 -20.7698281, -47.8414861 -20.7698635)",,
