osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,junction,lanes
202363175,True,Rua Minas Gerais,residential,False,42.555,"LINESTRING (-46.6266173 -22.4740541, -46.6267019 -22.4739767, -46.6267884 -22.4738647, -46.6268682 -22.4737515)",,,,
1167400714,True,Avenida Monte Sião,primary,False,23.314,"LINESTRING (-46.6266173 -22.4740541, -46.6266677 -22.4740578, -46.6268374 -22.4741021)",SP-360;BR-146,30,,
202364099,True,Rua França,residential,False,19.383,"LINESTRING (-46.63043 -22.4735995, -46.630607 -22.4736598)",,,,
843489692,True,Rua Independência,residential,False,10.908,"LINESTRING (-46.63043 -22.4735995, -46.6304432 -22.4736207, -46.6304466 -22.473645, -46.6304397 -22.4736687, -46.6304235 -22.4736882)",,,roundabout,
843501056,False,Rua França,residential,False,8.681,"LINESTRING (-46.630607 -22.4736598, -46.6306914 -22.4736633)",,,,
843489691,True,Rua França,residential,False,19.118000000000002,"LINESTRING (-46.630607 -22.4736598, -46.6305092 -22.4736743, -46.6304235 -22.4736882)",,,,
201997178,False,Rua França,residential,False,83.659,"LINESTRING (-46.6306914 -22.4736633, -46.631311 -22.4731752)",,,,
843501056,False,Rua França,residential,True,8.681,"LINESTRING (-46.6306914 -22.4736633, -46.630607 -22.4736598)",,,,
52327673,True,Rua Alagoas,residential,False,235.682,"LINESTRING (-46.6306914 -22.4736633, -46.6312296 -22.4741854, -46.6312809 -22.4742554, -46.6313127 -22.4743349, -46.6313222 -22.4744039, -46.6313188 -22.4744822, -46.6313 -22.4746534, -46.6312968 -22.4747858, -46.6313228 -22.4748548, -46.6313392 -22.4748767, -46.6316339 -22.4751327, -46.6317465 -22.4752479, -46.6318669 -22.4753456)",,,,
202363178,True,Avenida Monte Sião,primary,False,39.742999999999995,"LINESTRING (-46.6258966 -22.4743358, -46.6260065 -22.4742852, -46.6262529 -22.4741976)",SP-360;BR-146,30,,
