osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,junction,lanes
306321796,residential,False,False,68.646,"LINESTRING (-42.6554108 -14.770378, -42.6559713 -14.7700824)",,,,,
306321796,residential,False,True,12.463999999999999,"LINESTRING (-42.6554108 -14.770378, -42.6553806 -14.7703908, -42.6553509 -14.7704035, -42.6553039 -14.7704213)",,,,,
367302317,tertiary,False,True,28.358000000000004,"LINESTRING (-42.6554108 -14.770378, -42.6553981 -14.7703537, -42.6553177 -14.7702242, -42.6552716 -14.7701617)",BR-122;BA-030,,,,
831102287,tertiary,False,False,8.279,"LINESTRING (-42.6554108 -14.770378, -42.6554208 -14.7704177, -42.6554273 -14.7704507)",BR-122;BA-030,Rua Anísio Teixeira,,,
367302346,tertiary,False,True,15.624,"LINESTRING (-42.6545368 -14.7689207, -42.6546448 -14.7688267)",BR-122;BA-030,,,,
277642391,residential,False,True,49.931,"LINESTRING (-42.6545368 -14.7689207, -42.6544994 -14.7688136, -42.6544863 -14.7687598, -42.6544692 -14.7686703, -42.6544424 -14.76854, -42.6544316 -14.7684841)",,Rua Santos Dumont,,,
277642400,residential,False,False,50.467000000000006,"LINESTRING (-42.6545368 -14.7689207, -42.6543613 -14.7690237, -42.6543056 -14.7690574, -42.6542231 -14.7691047, -42.6541346 -14.7691546)",,,,,
"[367302321, 367308556, 367308557]",tertiary,False,False,81.482,"LINESTRING (-42.6545368 -14.7689207, -42.6546623 -14.7691598, -42.6547599 -14.7693583, -42.6548674 -14.76958)",BR-122;BA-030,Avenida Padre Rocha,yes,,
277642362,residential,False,True,56.042,"LINESTRING (-42.6550625 -14.768556, -42.6555146 -14.7683052)",,,,,
367302346,tertiary,False,False,54.066,"LINESTRING (-42.6550625 -14.768556, -42.6546448 -14.7688267)",BR-122;BA-030,,,,
367302347,tertiary,False,True,76.836,"LINESTRING (-42.6550625 -14.768556, -42.655062 -14.767865)",BR-122;BA-030,Rua Doutor Deocleciano,,,
367302347,tertiary,False,True,7.892,"LINESTRING (-42.6548816 -14.7667601, -42.6548434 -14.7666995)",BR-122;BA-030,Rua Doutor Deocleciano,,,
"[367308562, 367308563, 306322375]",residential,False,False,140.976,"LINESTRING (-42.6548816 -14.7667601, -42.6554006 -14.7664738, -42.6554767 -14.7664382, -42.6555368 -14.7664129, -42.6556065 -14.7663801, -42.6557117 -14.766318, -42.6560256 -14.7661422)",,Travessa Doutor Deocleciano,yes,,
367302347,tertiary,False,False,55.989000000000004,"LINESTRING (-42.6548816 -14.7667601, -42.6549212 -14.7668431, -42.6549795 -14.7669929, -42.6550023 -14.7670584, -42.6550198 -14.7671264, -42.6550372 -14.767238)",BR-122;BA-030,Rua Doutor Deocleciano,,,
367302318,residential,False,False,5.905,"LINESTRING (-42.6552716 -14.7701617, -42.6552225 -14.7701855)",,Rua Aurea rocha,,,
831102284,tertiary,False,True,10.064,"LINESTRING (-42.6552716 -14.7701617, -42.6551975 -14.7701064)",BR-122;BA-030,Avenida Padre Rocha,,,
367302317,tertiary,False,False,28.358000000000004,"LINESTRING (-42.6552716 -14.7701617, -42.6553177 -14.7702242, -42.6553981 -14.7703537, -42.6554108 -14.770378)",BR-122;BA-030,,,,
277642353,residential,False,False,6.617,"LINESTRING (-42.6583153 -14.7673579, -42.6583164 -14.7674174)",,Rua Odete Alves Afonso,,,
277642336,secondary,True,False,47.388000000000005,"LINESTRING (-42.6583153 -14.7673579, -42.6586537 -14.767364, -42.6587554 -14.7673536)",BA-263,Avenida Montes Claros,,,
