osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,maxspeed,access
370764536,residential,False,False,69.957,,,,"LINESTRING (-35.9556837 -9.5981648, -35.9555899 -9.5987871)",,
370764530,secondary,False,False,148.49099999999999,2,AL-407,Rua Antônio Serafim Costa,"LINESTRING (-35.9556837 -9.5981648, -35.9554933 -9.5981476, -35.9553967 -9.5981264, -35.9543708 -9.5978474)",,
128880021,residential,False,False,48.203,,,Rua das Flores,"LINESTRING (-35.9551106 -9.5992373, -35.95511 -9.5988038)",,
128880021,residential,False,True,68.858,,,Rua das Flores,"LINESTRING (-35.9551106 -9.5992373, -35.9551372 -9.599856)",,
128880027,residential,False,False,48.328,,,Rua Nossa Senhora do Pilar,"LINESTRING (-35.9551106 -9.5992373, -35.9546699 -9.5992464)",,
128880027,residential,False,True,48.843,,,Rua Nossa Senhora do Pilar,"LINESTRING (-35.9551106 -9.5992373, -35.9555559 -9.5992244)",,
128880009,residential,False,False,46.431,,,Rua F,"LINESTRING (-35.9546699 -9.5992464, -35.9546397 -9.5988299)",,
128880009,residential,False,True,35.038,,,Rua F,"LINESTRING (-35.9546699 -9.5992464, -35.954678 -9.5995614)",,
128880027,residential,False,True,48.328,,,Rua Nossa Senhora do Pilar,"LINESTRING (-35.9546699 -9.5992464, -35.9551106 -9.5992373)",,
128880011,residential,False,False,63.722,,,,"LINESTRING (-35.952791 -9.6000055, -35.9533717 -9.6000293)",,
128880009,residential,False,False,35.038,,,Rua F,"LINESTRING (-35.954678 -9.5995614, -35.9546699 -9.5992464)",,
128880009,residential,False,True,36.982,,,Rua F,"LINESTRING (-35.954678 -9.5995614, -35.954704 -9.599893)",,
128880018,residential,False,False,47.344,,,,"LINESTRING (-35.954678 -9.5995614, -35.9542467 -9.5995823)",,
128880016,residential,False,False,109.883,,,,"LINESTRING (-35.9542051 -9.598822, -35.9543708 -9.5978474)",,
128880028,residential,False,True,17.434,,,,"LINESTRING (-35.9542051 -9.598822, -35.9541939 -9.5989784)",,
824969440,residential,False,True,47.657,,,Rua Sexcentenario,"LINESTRING (-35.9542051 -9.598822, -35.9546397 -9.5988299)",50,
824932091,residential,False,False,59.835,,,Rua Sexcentenario,"LINESTRING (-35.9542051 -9.598822, -35.9540637 -9.5988379, -35.953994 -9.5988715, -35.9537592 -9.5989073, -35.9537383 -9.5989304, -35.9536874 -9.5989554)",,
128880016,residential,False,True,109.883,,,,"LINESTRING (-35.9543708 -9.5978474, -35.9542051 -9.598822)",,
