osmid,name,highway,oneway,reversed,length,maxspeed,geometry,junction,ref
88464507,Avenida Getúlio Vargas,residential,False,False,76.155,,"LINESTRING (-49.2262951 -28.8197041, -49.22682 -28.8191966)",,
88464507,Avenida Getúlio Vargas,residential,False,True,78.493,,"LINESTRING (-49.2262951 -28.8197041, -49.2257541 -28.8202272)",,
88464683,Rua Onísio Francisco Pedro,residential,False,True,167.309,,"LINESTRING (-49.2262951 -28.8197041, -49.2275516 -28.8207298)",,
88464918,Rua Vital Mariano Estácio,residential,False,True,76.685,,"LINESTRING (-49.2245345 -28.8192377, -49.2240049 -28.8197479)",,
525249713,Rua José Mendes,residential,False,True,161.936,,"LINESTRING (-49.2245345 -28.8192377, -49.2257541 -28.8202272)",,
88464477,Rua Espírito Santo,residential,False,False,69.175,,"LINESTRING (-49.2283433 -28.8210228, -49.2280717 -28.8215976)",,
88464683,Rua Onísio Francisco Pedro,residential,False,False,83.727,,"LINESTRING (-49.2283433 -28.8210228, -49.2275516 -28.8207298)",,
960215298,Avenida dos Esportes,tertiary,False,False,82.333,,"LINESTRING (-49.2213255 -28.8266826, -49.2219105 -28.8261482)",,
88464606,Avenida Waldemar Carlos Petrini,secondary,True,False,66.80799999999999,30,"LINESTRING (-49.2213255 -28.8266826, -49.2215251 -28.8267484, -49.2217161 -28.8268226, -49.2218866 -28.8268857, -49.2219579 -28.8269145)",,
88464507,Avenida Getúlio Vargas,residential,False,False,75.438,,"LINESTRING (-49.2252341 -28.8207299, -49.2257541 -28.8202272)",,
88464507,Avenida Getúlio Vargas,residential,False,True,74.656,,"LINESTRING (-49.2252341 -28.8207299, -49.2247195 -28.8212274)",,
545559194,Rua Maracajá,residential,False,False,166.631,,"LINESTRING (-49.2252341 -28.8207299, -49.226496 -28.8217415)",,
545559194,Rua Maracajá,residential,False,True,162.06,,"LINESTRING (-49.2252341 -28.8207299, -49.2240049 -28.8197479)",,
88464795,Rua Siderópolis,residential,False,False,163.023,,"LINESTRING (-49.220491 -28.8231322, -49.2217213 -28.824126)",,
88464795,Rua Siderópolis,residential,False,True,172.546,,"LINESTRING (-49.220491 -28.8231322, -49.2191889 -28.8220803)",,
88464918,Rua Vital Mariano Estácio,residential,False,False,76.418,,"LINESTRING (-49.220491 -28.8231322, -49.2210188 -28.8226238)",,
88464918,Rua Vital Mariano Estácio,residential,False,True,76.137,,"LINESTRING (-49.220491 -28.8231322, -49.2199651 -28.8236387)",,
88464574,Rua Minas Gerais,residential,False,False,11.502,,"LINESTRING (-49.2251681 -28.8239042, -49.2252129 -28.8238085)",,
