osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,access
220298477,False,Rua Bernardino João Rodrigues,residential,True,110.38,,,"LINESTRING (-41.0063049 -8.5197958, -41.0054036 -8.5193589)",
395046929,False,Rodovia PE-635,primary,False,51.157999999999994,2,PE-635,"LINESTRING (-41.0063049 -8.5197958, -41.0063587 -8.519771, -41.0064181 -8.5197513, -41.0065111 -8.5197482, -41.0065985 -8.5197602, -41.0066708 -8.519778, -41.0067548 -8.5198019)",
395046929,False,Rodovia PE-635,primary,True,137.87,2,PE-635,"LINESTRING (-41.0063049 -8.5197958, -41.0061372 -8.5199222, -41.0059974 -8.5200032, -41.0058636 -8.520013, -41.0057298 -8.5199795, -41.0051677 -8.5197486)",
220298470,False,Rua Cachoeira,tertiary,False,55.712,,,"LINESTRING (-41.0040571 -8.5167843, -41.0044893 -8.5170457)",
220298472,False,Rua Petrolina,residential,True,24.178,,,"LINESTRING (-41.0040571 -8.5167843, -41.0038425 -8.5168316)",
220298470,False,Rua Cachoeira,tertiary,True,18.734,,,"LINESTRING (-41.0040571 -8.5167843, -41.0040052 -8.5167119, -41.0039737 -8.5166385)",
220298468,False,Rua José Vicente de Araújo,residential,False,50.504,,,"LINESTRING (-41.0054036 -8.5193589, -41.0051677 -8.5197486)",
220298468,False,Rua José Vicente de Araújo,residential,True,56.168,,,"LINESTRING (-41.0054036 -8.5193589, -41.0056683 -8.5189269)",
220298477,False,Rua Bernardino João Rodrigues,residential,False,110.38,,,"LINESTRING (-41.0054036 -8.5193589, -41.0063049 -8.5197958)",
220298477,False,Rua Bernardino João Rodrigues,residential,True,134.031,,,"LINESTRING (-41.0054036 -8.5193589, -41.0042951 -8.5188578)",
220298472,False,Rua Petrolina,residential,False,24.178,,,"LINESTRING (-41.0038425 -8.5168316, -41.0040571 -8.5167843)",
220298487,False,Praça Sebastião Coelho,residential,False,11.191,,,"LINESTRING (-41.0038425 -8.5168316, -41.0037828 -8.5167501)",
220298484,False,Rua Petrolina,residential,True,66.34100000000001,,,"LINESTRING (-41.0038425 -8.5168316, -41.00375 -8.5168727, -41.0036883 -8.5169046, -41.003581 -8.5169762, -41.0033262 -8.517138)",
220298484,False,Rua Petrolina,residential,False,34.121,,,"LINESTRING (-41.0030714 -8.5173131, -41.0033262 -8.517138)",
395046929,False,Rodovia PE-635,primary,False,68.321,2,PE-635,"LINESTRING (-41.0030714 -8.5173131, -41.0032283 -8.5177932, -41.0032725 -8.517894)",
395046929,False,Rodovia PE-635,primary,True,106.151,2,PE-635,"LINESTRING (-41.0030714 -8.5173131, -41.0030258 -8.5171592, -41.0028034 -8.516396)",
708043262,False,Rodovia BR-407,trunk,False,52.453,2,BR-407,"LINESTRING (-41.0073884 -8.5188609, -41.0072509 -8.5193126)",
