osmid,ref,name,highway,oneway,reversed,length,geometry,access,lanes,bridge
143078178,BA-686,Avenida Juscelino Kubitschek,residential,False,False,64.204,"LINESTRING (-39.7792255 -16.5847317, -39.7795888 -16.5851923)",,,
256114140,,Rua João Figueiredo,residential,False,False,62.164,"LINESTRING (-39.7792255 -16.5847317, -39.7797581 -16.5849597)",,,
885442359,BA-686,Avenida Juscelino Kubitschek,residential,False,True,11.912,"LINESTRING (-39.7792255 -16.5847317, -39.7791361 -16.5846674)",,,
885442359,BA-686,Avenida Juscelino Kubitschek,residential,False,True,24.305,"LINESTRING (-39.7767203 -16.5821899, -39.7767141 -16.5819714)",,,
885442359,BA-686,Avenida Juscelino Kubitschek,residential,False,False,56.190000000000005,"LINESTRING (-39.7767203 -16.5821899, -39.7767323 -16.5824944, -39.7767444 -16.5826069, -39.7767624 -16.5826927)",,,
1164024731,,Rua do Jenipapo,residential,False,False,344.418,"LINESTRING (-39.7767203 -16.5821899, -39.7779687 -16.5830202, -39.7787798 -16.5835849, -39.7793449 -16.5839965)",,,
256114128,,Rua Joaquim Nabuco,residential,False,True,54.385,"LINESTRING (-39.7853472 -16.5847731, -39.7855562 -16.5843269)",,,
809537992,,Rua Marcionilio Chaves,residential,False,True,54.688,"LINESTRING (-39.7853472 -16.5847731, -39.784873 -16.5845851)",,,
256114128,,Rua Joaquim Nabuco,residential,False,False,128.709,"LINESTRING (-39.7853472 -16.5847731, -39.7849666 -16.5855885, -39.7848428 -16.5858246)",,,
143078178,BA-686,Avenida Juscelino Kubitschek,residential,False,False,125.179,"LINESTRING (-39.7797485 -16.5854374, -39.7806742 -16.5861304)",,,
143078178,BA-686,Avenida Juscelino Kubitschek,residential,False,True,32.131,"LINESTRING (-39.7797485 -16.5854374, -39.7795888 -16.5851923)",,,
1164259677,,Travessa da Prefeitura,residential,False,True,27.776,"LINESTRING (-39.7797485 -16.5854374, -39.7795501 -16.5855994)",yes,,
652082113,BA-686,,tertiary,True,False,28.617,"LINESTRING (-39.7845948 -16.5860919, -39.7848062 -16.5859332)",,,
809537999,BA-686,Praça do Mercado,tertiary,False,True,35.769,"LINESTRING (-39.7845948 -16.5860919, -39.7849295 -16.5860678)",,,
851124119,BA-686,Avenida Marechal Castelo Branco,tertiary,False,True,106.675,"LINESTRING (-39.7845948 -16.5860919, -39.784302 -16.5862731, -39.7837688 -16.5866335)",,,
1025351801,,Praça Trinta e Um de Agosto,residential,False,True,33.537,"LINESTRING (-39.7812322 -16.5865939, -39.7813908 -16.5863334)",,,
1164446936,BA-686,Praça Trinta e Um de Agosto,residential,True,False,25.35,"LINESTRING (-39.7812322 -16.5865939, -39.7810262 -16.5864799)",,,
143078178,BA-686,Avenida Juscelino Kubitschek,residential,False,True,125.179,"LINESTRING (-39.7806742 -16.5861304, -39.7797485 -16.5854374)",,,
238215779,,Rua Presidente Médici,residential,False,False,13.955,"LINESTRING (-39.7806742 -16.5861304, -39.7806129 -16.5862413)",,,
238215779,,Rua Presidente Médici,residential,False,True,69.029,"LINESTRING (-39.7806742 -16.5861304, -39.7807553 -16.5859907, -39.7809699 -16.5855782)",,,
238215779,,Rua Presidente Médici,residential,False,True,72.21,"LINESTRING (-39.7802794 -16.5868066, -39.7806129 -16.5862413)",,,
809547014,,Rua Manoel Ribeiro de Oliveira,residential,False,False,52.766,"LINESTRING (-39.7802794 -16.5868066, -39.78072 -16.5870231)",,,
1164825118,,Rua Presidente Médici,residential,False,False,10.273,"LINESTRING (-39.7802794 -16.5868066, -39.7801982 -16.5868564)",,,
256114126,,Travessa da Prefeitura,residential,False,True,176.23299999999998,"LINESTRING (-39.7802794 -16.5868066, -39.7798599 -16.5864327, -39.7796355 -16.5862446, -39.779497 -16.5861241, -39.7794338 -16.5860559, -39.7794225 -16.5860185, -39.7794173 -16.585968, -39.7794759 -16.5858118, -39.7795501 -16.5855994)",yes,,
238215778,BA-686,Rua da Gameleira,tertiary,False,False,63.865,"LINESTRING (-39.7819692 -16.5870138, -39.7816569 -16.587504)",,2,
1025351802,BA-686,Avenida Marechal Castelo Branco,residential,True,False,91.371,"LINESTRING (-39.7819692 -16.5870138, -39.7812322 -16.5865939)",,,
1164825119,BA-686,Avenida Marechal Castelo Branco,tertiary,False,False,43.486000000000004,"LINESTRING (-39.7819692 -16.5870138, -39.7820283 -16.5870332, -39.782152 -16.5870683, -39.7822401 -16.5870741, -39.7823682 -16.5870676)",,,
238215780,,Rua Marcelino Sena,residential,False,False,116.204,"LINESTRING (-39.7788816 -16.5870901, -39.7798293 -16.587607)",,,
238215780,,Rua Marcelino Sena,residential,False,True,30.494,"LINESTRING (-39.7788816 -16.5870901, -39.778656 -16.5869214)",,,
809537996,,Rua Pedro Deiro,residential,False,False,22.64,"LINESTRING (-39.7788816 -16.5870901, -39.7789993 -16.5869206)",,,
238215778,BA-686,Rua da Gameleira,tertiary,False,False,107.964,"LINESTRING (-39.7816569 -16.587504, -39.7811307 -16.5883337)",,2,
238215778,BA-686,Rua da Gameleira,tertiary,False,True,63.865,"LINESTRING (-39.7816569 -16.587504, -39.7819692 -16.5870138)",,2,
809547014,,Rua Manoel Ribeiro de Oliveira,residential,False,True,113.261,"LINESTRING (-39.7816569 -16.587504, -39.78072 -16.5870231)",,,
238215780,,Rua Marcelino Sena,residential,False,False,51.992,"LINESTRING (-39.7798293 -16.587607, -39.7802509 -16.5878423)",,,
238215780,,Rua Marcelino Sena,residential,False,True,116.204,"LINESTRING (-39.7798293 -16.587607, -39.7788816 -16.5870901)",,,
1164825118,,Rua Presidente Médici,residential,False,True,92.258,"LINESTRING (-39.7798293 -16.587607, -39.7801982 -16.5868564)",,,
238215777,BA-6866,Rua da Gameleira,tertiary,False,False,22.752,"LINESTRING (-39.7811307 -16.5883337, -39.7811666 -16.5885354)",,,
238215778,BA-686,Rua da Gameleira,tertiary,False,True,107.964,"LINESTRING (-39.7811307 -16.5883337, -39.7816569 -16.587504)",,2,
238215780,,Rua Marcelino Sena,residential,False,True,108.518,"LINESTRING (-39.7811307 -16.5883337, -39.7802509 -16.5878423)",,,
256064767,,Avenida Kelezão,residential,False,False,97.053,"LINESTRING (-39.7819127 -16.5901782, -39.7826535 -16.5896705)",,,
"[238215777, 652071738, 652071739]","['BA-6866', 'BA-686']","['Estrada Para Cajuita', 'Rua da Gameleira']",tertiary,False,True,199.319,"LINESTRING (-39.7819127 -16.5901782, -39.7814538 -16.5892299, -39.7813039 -16.5888694, -39.7812544 -16.5887614, -39.7811666 -16.5885354)",,2,yes
256114042,,Rua José Ananias de Almeida,residential,False,True,63.549,"LINESTRING (-39.7811351 -16.5819035, -39.7816756 -16.5821449)",,,
256114120,,Rua Santos Dumont,residential,False,False,46.785,"LINESTRING (-39.7811351 -16.5819035, -39.7809451 -16.5822828)",yes,,
256114143,,Rua Ernesto Bonifácio,residential,False,True,12.792,"LINESTRING (-39.7803659 -16.5820388, -39.7804741 -16.5820886)",,,
256114142,,Rua Governador Regis Pacheco,residential,False,False,51.896,"LINESTRING (-39.783927 -16.5820377, -39.7837166 -16.5824586)",yes,,
256114143,,Rua Ernesto Bonifácio,residential,False,False,12.792,"LINESTRING (-39.7804741 -16.5820886, -39.7803659 -16.5820388)",,,
