osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed
694417649,True,Rua Joel Barbosa,residential,False,89.05600000000001,"LINESTRING (-44.4648137 -4.5209449, -44.4647585 -4.5210554, -44.4647223 -4.5211229, -44.4646358 -4.5212572, -44.4644621 -4.5215019, -44.4643758 -4.5216143)",,
534619065,False,,residential,True,8.615,"LINESTRING (-44.4660138 -4.5188909, -44.4660608 -4.5188292)",,
"[534619063, 534619071]",True,Avenida Doutor Newton Bello,tertiary,False,91.408,"LINESTRING (-44.4660138 -4.5188909, -44.4653805 -4.5183983, -44.4653615 -4.5183886)",,
363718667,False,Avenida Doutor Newton Bello,tertiary,True,55.842,"LINESTRING (-44.4643759 -4.5175876, -44.4639773 -4.5172805)",,
534619068,True,Avenida Doutor Newton Bello,tertiary,False,9.999,"LINESTRING (-44.4643759 -4.5175876, -44.4644621 -4.5176141)",,
534619068,True,Avenida Doutor Newton Bello,tertiary,False,64.447,"LINESTRING (-44.4644621 -4.5176141, -44.4649268 -4.5179624)",,
694617569,False,,residential,False,6.421,"LINESTRING (-44.4644621 -4.5176141, -44.4644192 -4.5176529)",,
694614330,False,Rua Joca Mota,residential,False,127.665,"LINESTRING (-44.4694386 -4.5174169, -44.4702044 -4.5168113, -44.470342 -4.5167048)",,
694614330,False,Rua Joca Mota,residential,True,119.50999999999999,"LINESTRING (-44.4694386 -4.5174169, -44.4694088 -4.5174466, -44.4693565 -4.5174958, -44.4692103 -4.5176408, -44.4690903 -4.5177692, -44.4688033 -4.5180807, -44.468696 -4.5181957)",,
694614332,False,Travessa Tiradentes,residential,True,122.12,"LINESTRING (-44.4694386 -4.5174169, -44.4691204 -4.5171702, -44.468991 -4.5170853, -44.4688867 -4.5170262, -44.4688415 -4.5170101, -44.4688113 -4.5170078, -44.4687845 -4.5170095, -44.4687637 -4.5170155, -44.4687305 -4.5170359, -44.4686249 -4.5171455, -44.4685505 -4.51722)",,
694417648,True,Rua Joel Barbosa,residential,False,103.928,"LINESTRING (-44.4643758 -4.5216143, -44.4643629 -4.5213936, -44.4643649 -4.5212158, -44.4643729 -4.5211764, -44.464381 -4.5211543, -44.464393 -4.5211329, -44.4644068 -4.5211139, -44.4644262 -4.5210961, -44.4647504 -4.5208642)",,
694271204,True,Avenida Juscelino Kubitschek,primary,False,31.841,"LINESTRING (-44.4667567 -4.5217559, -44.4666602 -4.5215544, -44.4666313 -4.5214983)",MA-122,60
374128668,False,Rua Carlos Barreto,residential,False,11.391,"LINESTRING (-44.4647504 -4.5208642, -44.4648137 -4.5209449)",,
694417648,True,Rua Joel Barbosa,residential,False,63.532,"LINESTRING (-44.4647504 -4.5208642, -44.4652289 -4.5205497)",,
533804091,True,Avenida Doutor Newton Bello,tertiary,False,65.778,"LINESTRING (-44.4664194 -4.5191576, -44.4664811 -4.5192298, -44.4665737 -4.5193595, -44.4666604 -4.5195268, -44.4666771 -4.519559, -44.4667288 -4.5196595)",,
693549695,False,Beco do Amor,tertiary,True,14.78,"LINESTRING (-44.4664194 -4.5191576, -44.4663398 -4.5192201, -44.4663147 -4.5192399)",,40
693549695,False,Beco do Amor,tertiary,False,14.78,"LINESTRING (-44.4663147 -4.5192399, -44.4663398 -4.5192201, -44.4664194 -4.5191576)",,40
"[694332483, 693549695]",False,Beco do Amor,tertiary,True,92.97,"LINESTRING (-44.4663147 -4.5192399, -44.4662885 -4.5192605, -44.4662376 -4.5193006, -44.4656444 -4.5197424)",,40
"[902727152, 534619071]",True,Avenida Doutor Newton Bello,tertiary,False,51.706,"LINESTRING (-44.4663147 -4.5192399, -44.4662142 -4.5191427, -44.4661522 -4.5190249, -44.4660989 -4.5189704, -44.4660138 -4.5188909)",,
247205810,False,Rua da Liberdade,residential,False,92.766,"LINESTRING (-44.4674816 -4.5190995, -44.4680557 -4.5197065)",,
247205810,False,Rua da Liberdade,residential,True,145.082,"LINESTRING (-44.4674816 -4.5190995, -44.4665868 -4.5181473)",,
693550775,False,Rua Joca Mota,residential,False,139.404,"LINESTRING (-44.4674816 -4.5190995, -44.4684918 -4.5183528)",,
693550775,False,Rua Joca Mota,residential,True,104.127,"LINESTRING (-44.4674816 -4.5190995, -44.467151 -4.5193448, -44.4669297 -4.5195045, -44.4667288 -4.5196595)",,
533804091,True,Avenida Doutor Newton Bello,tertiary,False,79.17,"LINESTRING (-44.4667288 -4.5196595, -44.4670921 -4.5202725)",,
693550775,False,Rua Joca Mota,residential,False,104.12700000000001,"LINESTRING (-44.4667288 -4.5196595, -44.4669297 -4.5195045, -44.467151 -4.5193448, -44.4674816 -4.5190995)",,
693552532,False,Praça Raimundo Sá,residential,True,5.689,"LINESTRING (-44.4670921 -4.5202725, -44.4670542 -4.520307)",,40
825140620,True,Avenida Doutor Newton Bello,tertiary,False,8.397,"LINESTRING (-44.4670921 -4.5202725, -44.4671062 -4.5203467)",,
694417651,False,Praça Raimundo Sá,residential,False,29.912,"LINESTRING (-44.4670921 -4.5202725, -44.4671389 -4.5202378, -44.467207 -4.520195, -44.46732 -4.5201289)",,40
825157645,False,Avenida Doutor Newton Bello,residential,True,29.289,"LINESTRING (-44.4695838 -4.522391, -44.4693813 -4.5222218)",,
693554825,False,Praça do Mercado,residential,False,27.838,"LINESTRING (-44.46732 -4.5201289, -44.4674293 -4.5203543)",,
694417651,False,Praça Raimundo Sá,residential,False,46.642,"LINESTRING (-44.46732 -4.5201289, -44.467691 -4.519931)",,40
694417651,False,Praça Raimundo Sá,residential,True,29.912,"LINESTRING (-44.46732 -4.5201289, -44.467207 -4.520195, -44.4671389 -4.5202378, -44.4670921 -4.5202725)",,40
693554825,False,Praça do Mercado,residential,True,27.838,"LINESTRING (-44.4674293 -4.5203543, -44.46732 -4.5201289)",,
693555245,False,Rua Antonio Magalhães,residential,False,48.518,"LINESTRING (-44.4674293 -4.5203543, -44.467816 -4.5201499)",,
693555245,False,Rua Antonio Magalhães,residential,True,30.229,"LINESTRING (-44.4674293 -4.5203543, -44.467391 -4.520375, -44.4671899 -4.5204845)",,
533804123,False,Avenida Doutor Newton Bello,tertiary,True,17.913,"LINESTRING (-44.4671899 -4.5204845, -44.4671062 -4.5203467)",,
533804123,False,Avenida Doutor Newton Bello,tertiary,False,89.95599999999999,"LINESTRING (-44.4671899 -4.5204845, -44.4672865 -4.5206656, -44.4673991 -4.5208635, -44.4674541 -4.5209558, -44.4675134 -4.521029, -44.4675567 -4.5210714, -44.4676474 -4.5211415)",,
693555245,False,Rua Antonio Magalhães,residential,False,30.229,"LINESTRING (-44.4671899 -4.5204845, -44.467391 -4.520375, -44.4674293 -4.5203543)",,
693555245,False,Rua Antonio Magalhães,residential,True,48.518,"LINESTRING (-44.467816 -4.5201499, -44.4674293 -4.5203543)",,
693555344,False,,residential,False,28.008,"LINESTRING (-44.467816 -4.5201499, -44.467691 -4.519931)",,
693555245,False,Rua Antonio Magalhães,residential,False,55.288,"LINESTRING (-44.467816 -4.5201499, -44.4680355 -4.5200233, -44.4682476 -4.5199007)",,
247205810,False,Rua da Liberdade,residential,False,47.432,"LINESTRING (-44.4682476 -4.5199007, -44.4685411 -4.5202111)",,
247205810,False,Rua da Liberdade,residential,True,30.312,"LINESTRING (-44.4682476 -4.5199007, -44.4680557 -4.5197065)",,
693555245,False,Rua Antonio Magalhães,residential,True,55.288,"LINESTRING (-44.4682476 -4.5199007, -44.4680355 -4.5200233, -44.467816 -4.5201499)",,
247205810,False,Rua da Liberdade,residential,False,30.312,"LINESTRING (-44.4680557 -4.5197065, -44.4682476 -4.5199007)",,
247205810,False,Rua da Liberdade,residential,True,92.766,"LINESTRING (-44.4680557 -4.5197065, -44.4674816 -4.5190995)",,
694417651,False,Praça Raimundo Sá,residential,True,47.513,"LINESTRING (-44.4680557 -4.5197065, -44.467691 -4.519931)",,40
247205810,False,Rua da Liberdade,residential,False,145.082,"LINESTRING (-44.4665868 -4.5181473, -44.4674816 -4.5190995)",,
374128715,False,Rua José Bezerra,residential,True,95.65,"LINESTRING (-44.4665868 -4.5181473, -44.4660608 -4.5188292)",,
693996122,False,Rua da Liberdade,residential,False,70.922,"LINESTRING (-44.4665868 -4.5181473, -44.4661363 -4.5176944)",,
374128715,False,Rua José Bezerra,residential,False,120.24700000000001,"LINESTRING (-44.4665868 -4.5181473, -44.4668526 -4.5177879, -44.4672151 -4.5172659)",,
374128715,False,Rua José Bezerra,residential,False,95.65,"LINESTRING (-44.4660608 -4.5188292, -44.4665868 -4.5181473)",,
534619065,False,,residential,False,8.615,"LINESTRING (-44.4660608 -4.5188292, -44.4660138 -4.5188909)",,
533804091,True,Avenida Doutor Newton Bello,tertiary,False,54.015,"LINESTRING (-44.4660608 -4.5188292, -44.4661485 -4.5189002, -44.466286 -4.5190259, -44.4664194 -4.5191576)",,
693902631,False,Rua Santos Dumont,residential,False,83.692,"LINESTRING (-44.4681226 -4.5177063, -44.4683198 -4.5178741, -44.4685216 -4.5180386, -44.468696 -4.5181957)",,
693902631,False,Rua Santos Dumont,residential,True,109.97999999999999,"LINESTRING (-44.4681226 -4.5177063, -44.4679403 -4.5175493, -44.4677753 -4.5174109, -44.4673609 -4.5170726)",,
693903162,False,Rua Tiradentes,residential,False,71.935,"LINESTRING (-44.4681226 -4.5177063, -44.4683593 -4.5174434, -44.4685505 -4.51722)",,
693903162,False,Rua Tiradentes,residential,True,71.935,"LINESTRING (-44.4685505 -4.51722, -44.4683593 -4.5174434, -44.4681226 -4.5177063)",,
694614332,False,Travessa Tiradentes,residential,False,122.11999999999999,"LINESTRING (-44.4685505 -4.51722, -44.4686249 -4.5171455, -44.4687305 -4.5170359, -44.4687637 -4.5170155, -44.4687845 -4.5170095, -44.4688113 -4.5170078, -44.4688415 -4.5170101, -44.4688867 -4.5170262, -44.468991 -4.5170853, -44.4691204 -4.5171702, -44.4694386 -4.5174169)",,
694614334,False,Travessa Tiradentes,residential,True,84.28800000000001,"LINESTRING (-44.4685505 -4.51722, -44.4681112 -4.5168286, -44.468067 -4.5167899, -44.4680331 -4.5167554, -44.4679936 -4.5167053)",,
694615055,False,Rua Gonçalves Dias,residential,True,57.501,"LINESTRING (-44.463524 -4.5152343, -44.4632357 -4.5156642)",,
694614329,False,Rua Dom Pedro I,residential,True,62.066,"LINESTRING (-44.463524 -4.5152343, -44.4636561 -4.5152831, -44.4637822 -4.5153266, -44.4638962 -4.5153573, -44.4640323 -4.5153901, -44.4640593 -4.5153953)",,
694616078,False,Rua Antero Reis,residential,False,13.442,"LINESTRING (-44.4657536 -4.5158741, -44.4658002 -4.5157625)",,
694614329,False,Rua Dom Pedro I,residential,False,43.141,"LINESTRING (-44.4657536 -4.5158741, -44.4656215 -4.5158012, -44.4655561 -4.5157681, -44.465484 -4.5157334, -44.4654045 -4.515704)",,
694614329,False,Rua Dom Pedro I,residential,True,84.693,"LINESTRING (-44.4657536 -4.5158741, -44.4659652 -4.5160991, -44.4660265 -4.5161642, -44.4661702 -4.5163076, -44.466286 -4.5164202)",,
694617120,False,Rua Dárcio Borges,residential,True,119.061,"LINESTRING (-44.4669331 -4.5169764, -44.4661363 -4.5176944)",,
694614329,False,Rua Dom Pedro I,residential,False,94.713,"LINESTRING (-44.4669331 -4.5169764, -44.4664711 -4.5165766, -44.4664453 -4.5165548, -44.466286 -4.5164202)",,
694614329,False,Rua Dom Pedro I,residential,True,43.900999999999996,"LINESTRING (-44.4669331 -4.5169764, -44.4670531 -4.5170713, -44.4672476 -4.5172163)",,
694614329,False,Rua Dom Pedro I,residential,True,6.588,"LINESTRING (-44.4672476 -4.5172163, -44.4672151 -4.5172659)",,
694614333,False,Orla Municipal,residential,True,20.324,"LINESTRING (-44.4672476 -4.5172163, -44.4673609 -4.5170726)",,
694614329,False,Rua Dom Pedro I,residential,False,43.900999999999996,"LINESTRING (-44.4672476 -4.5172163, -44.4670531 -4.5170713, -44.4669331 -4.5169764)",,
694614329,False,Rua Dom Pedro I,residential,False,6.588,"LINESTRING (-44.4672151 -4.5172659, -44.4672476 -4.5172163)",,
374128715,False,Rua José Bezerra,residential,True,120.24700000000001,"LINESTRING (-44.4672151 -4.5172659, -44.4668526 -4.5177879, -44.4665868 -4.5181473)",,
694620709,False,Rua Dom Pedro I,residential,True,186.109,"LINESTRING (-44.4672151 -4.5172659, -44.4676144 -4.5176087, -44.4678258 -4.5177925, -44.4683124 -4.518201, -44.4684918 -4.5183528)",,
693727733,False,Rua Dárcio Borges,residential,False,110.14,"LINESTRING (-44.4640226 -4.5192966, -44.4640293 -4.5192906, -44.4648431 -4.5187381)",,
694617120,False,Rua Dárcio Borges,residential,False,8.216,"LINESTRING (-44.4653615 -4.5183886, -44.4654199 -4.5183431)",,
694617120,False,Rua Dárcio Borges,residential,True,62.36,"LINESTRING (-44.4653615 -4.5183886, -44.464907 -4.5187191)",,
534619063,True,Avenida Doutor Newton Bello,tertiary,False,68.63600000000001,"LINESTRING (-44.4653615 -4.5183886, -44.4650976 -4.5181877, -44.4650029 -4.5181138, -44.4649261 -4.5180566, -44.4648685 -4.5180152)",,
