osmid,oneway,ref,name,highway,reversed,length,lanes,geometry,maxspeed,access,junction
31532685,True,Avenida João Borges de Sá,Avenida João Borges de Sá,secondary,False,12.572,,"LINESTRING (-39.4839156 -9.839748, -39.483808 -9.8397873)",,,
297119206,False,,Rua Caratacá,residential,True,78.057,2,"LINESTRING (-39.4781953 -9.8423608, -39.4775073 -9.8421784)",,,
790625794,False,,Rua XV de Novembro,residential,False,36.374,,"LINESTRING (-39.4781953 -9.8423608, -39.4782227 -9.8420348)",,,
790625794,False,,Rua XV de Novembro,residential,True,21.307,,"LINESTRING (-39.4781953 -9.8423608, -39.4781785 -9.8425517)",,,
297119166,True,,Avenida Pedro Ribeiro,secondary,False,8.216,,"LINESTRING (-39.4750511 -9.8414695, -39.474982 -9.8414982)",,,
297119206,False,,Rua Caratacá,residential,False,44.16,2,"LINESTRING (-39.4750511 -9.8414695, -39.4751825 -9.8415177, -39.4753012 -9.8415594, -39.475432 -9.841599)",,,
361822081,True,Avenida João Borges de Sá,Avenida João Borges de Sá,secondary,False,61.393,,"LINESTRING (-39.4829616 -9.839792, -39.4834929 -9.8396165)",,,
361822192,False,,Avenida Francisco José de Oliveira,tertiary,False,68.905,2,"LINESTRING (-39.4829616 -9.839792, -39.4829475 -9.8397483, -39.4827712 -9.8392014)",,,
297119225,False,,Travessa Jorge Ribeiro de Sa,residential,False,65.774,,"LINESTRING (-39.480089 -9.8382328, -39.4800963 -9.8380293, -39.4800896 -9.8378721, -39.4800762 -9.8377274, -39.4800655 -9.8376428)",,,
297119225,False,,Travessa Jorge Ribeiro de Sa,residential,True,81.82600000000001,,"LINESTRING (-39.480089 -9.8382328, -39.4800581 -9.8386847, -39.4800527 -9.838836, -39.4800568 -9.8389675)",,,
358617756,False,,Rua Jeronimo Rodrigues Ribeiro,residential,False,255.88099999999997,2,"LINESTRING (-39.480089 -9.8382328, -39.4806965 -9.8381495, -39.481367 -9.8380623, -39.481933 -9.837991, -39.4824021 -9.8379159)",30,permit,
358487689,False,,Rua Jorge Ribeiro de Sá,residential,False,131.711,,"LINESTRING (-39.4800655 -9.8376428, -39.4788712 -9.8377782)",,,
