osmid,oneway,name,highway,reversed,length,geometry,width,lanes,maxspeed,ref,bridge
360814660,True,Rua Paula Souza,secondary,False,76.789,"LINESTRING (-47.3035346 -23.2600267, -47.3030253 -23.2605346)",,,,,
83667157,True,Rua 20 de Janeiro,residential,False,91.566,"LINESTRING (-47.3035346 -23.2600267, -47.3040446 -23.2606036, -47.3040997 -23.2606659)",,,,,
997322312,True,Rua Thomaz Simon,residential,False,59.528,"LINESTRING (-47.3040997 -23.2606659, -47.3040262 -23.2607031, -47.3036501 -23.2608932, -47.3035981 -23.2609356)",,,,,
"[802011393, 83667169]",True,Praça Dom Pedro I,secondary,False,83.91900000000001,"LINESTRING (-47.3027138 -23.2608372, -47.3027986 -23.2609199, -47.3028946 -23.261008, -47.3029158 -23.2610314, -47.3029489 -23.2610658, -47.3029841 -23.2611037, -47.303012 -23.2611373, -47.3030372 -23.2611694, -47.3030673 -23.2612186, -47.303085 -23.2612599, -47.3031043 -23.2613166, -47.3031294 -23.2614124, -47.3031435 -23.2614603)",,,,,
424987918,True,Rua Barão do Itaim,residential,False,47.846,"LINESTRING (-47.2981966 -23.2653072, -47.2982282 -23.2652746, -47.2985079 -23.2649857)",,,,,
424987898,True,Praça Padre Miguel,tertiary,False,19.303,"LINESTRING (-47.2995705 -23.2638882, -47.2994172 -23.2637867)",,,,,
83667167,True,Rua Padre Bartolomeu Tadei,residential,False,83.551,"LINESTRING (-47.3026435 -23.2620052, -47.3025964 -23.2619647, -47.3020459 -23.2614922)",3,,,,
424987887,True,Rua dos Andradas,secondary,False,138.482,"LINESTRING (-47.3026435 -23.2620052, -47.3019141 -23.2627766, -47.3017545 -23.2629454)",,,,,
797723298,True,Praça Padre Anchieta,residential,False,1.999,"LINESTRING (-47.3020459 -23.2614922, -47.3020593 -23.2614791)",,,,,
180214666,True,Praça Dom Pedro I,residential,False,75.886,"LINESTRING (-47.3035981 -23.2609356, -47.30355 -23.2608928, -47.3033337 -23.2607004, -47.303175 -23.2605592, -47.303107 -23.2605371, -47.3030253 -23.2605346)",,,,,
424987886,True,Praça Dom Pedro I,residential,False,74.571,"LINESTRING (-47.3035981 -23.2609356, -47.3035309 -23.261013, -47.3032639 -23.2613213, -47.3031435 -23.2614603)",,,,,
424987887,True,Rua dos Andradas,secondary,False,128.188,"LINESTRING (-47.3010536 -23.2636806, -47.3010048 -23.2637318, -47.3002546 -23.2645188, -47.3002268 -23.2645478)",,,,,
424987894,True,Rua 21 de Abril,tertiary,False,104.597,"LINESTRING (-47.3010536 -23.2636806, -47.3011016 -23.2637209, -47.301767 -23.2642797, -47.3018093 -23.2643153)",,,,,
83667170,True,Rua Padre Bartolomeu Tadei,tertiary,False,28.277,"LINESTRING (-47.3042998 -23.2634401, -47.304216 -23.263379, -47.3040918 -23.2632726)",,1,,,
426323423,True,Avenida Prefeito Galileu Bicudo,primary,False,24.183,"LINESTRING (-47.3042998 -23.2634401, -47.3043813 -23.2633185, -47.3044246 -23.2632553)",,2,,,
997322322,False,Rua Padre Bartolomeu Tadei,tertiary,False,111.789,"LINESTRING (-47.3040918 -23.2632726, -47.3033649 -23.2625211)",,2,,,
360814710,True,Rua Padre Bartolomeu Tadei,primary_link,False,36.144999999999996,"LINESTRING (-47.3040918 -23.2632726, -47.304145 -23.263296, -47.3042022 -23.2633091, -47.3042611 -23.2633115, -47.3043194 -23.263303, -47.3043746 -23.263284, -47.3044246 -23.2632553)",,1,,,
997322322,False,Rua Padre Bartolomeu Tadei,tertiary,True,111.789,"LINESTRING (-47.3033649 -23.2625211, -47.3040918 -23.2632726)",,2,,,
360814675,False,Rua Padre Bartolomeu Tadei,tertiary,False,93.28699999999999,"LINESTRING (-47.3033649 -23.2625211, -47.3031423 -23.2623409, -47.3027199 -23.2619988, -47.3026799 -23.2619663)",,2,,,
83667203,False,Rua Doutor José de Paula Leite de Barros,residential,True,205.421,"LINESTRING (-47.2956664 -23.2680956, -47.2957141 -23.268048, -47.296977 -23.266786, -47.2970274 -23.2667356)",,,,,
360814720,True,Rua Floriano Peixoto,secondary,False,241.361,"LINESTRING (-47.2997973 -23.2625301, -47.3004465 -23.2618943, -47.3005374 -23.261805, -47.3013739 -23.2609841, -47.3014136 -23.2609469)",,1,,,
424987895,True,Rua Madre Maria Theodora,residential,False,71.226,"LINESTRING (-47.2997973 -23.2625301, -47.2998541 -23.2625824, -47.3002094 -23.2629239, -47.3002192 -23.2629411, -47.3002081 -23.262986, -47.3002012 -23.2630141)",3,1,,,
180214655,True,Rua 7 de Setembro,tertiary,False,80.148,"LINESTRING (-47.2988821 -23.2633951, -47.2988404 -23.2633589, -47.2983712 -23.2629522, -47.2983115 -23.2629004)",,2,,,
360814720,True,Rua Floriano Peixoto,secondary,False,134.135,"LINESTRING (-47.2988821 -23.2633951, -47.2989319 -23.2633479, -47.2997533 -23.2625727, -47.2997973 -23.2625301)",,1,,,
360814720,True,Rua Floriano Peixoto,secondary,False,200.96,"LINESTRING (-47.2975355 -23.2647126, -47.2975545 -23.264694, -47.2988262 -23.2634498, -47.2988821 -23.2633951)",,1,,,
424987921,True,Praça da Independência,residential,False,94.511,"LINESTRING (-47.2975355 -23.2647126, -47.297623 -23.264791, -47.2981383 -23.2652548, -47.2981966 -23.2653072)",,,,,
