osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,bridge,access,width
26661283,True,2,Avenida Professor Frederico Herman Júnior,tertiary,False,33.384,,"LINESTRING (-46.7039651 -23.5629908, -46.7037258 -23.5627858)",,,
493634438,True,3,Avenida Doutora Ruth Cardoso,trunk,False,25.403,60,"LINESTRING (-46.7039651 -23.5629908, -46.7040811 -23.5627886)",,,
"[692286399, 493634438, 936811959]",True,"['4', '3']",Avenida Doutora Ruth Cardoso,trunk,False,274.205,60,"LINESTRING (-46.7022294 -23.5674648, -46.7022818 -23.5673309, -46.7023242 -23.5672139, -46.7024638 -23.5668132, -46.7026653 -23.5662162, -46.7027213 -23.5660757, -46.7027441 -23.5660143, -46.7030753 -23.5651242)",,,
"[76791576, 416161226]",True,2,"['Rua Butantã', 'Ponte Bernardo Goldfarb']",secondary,False,162.898,50,"LINESTRING (-46.7007651 -23.5714685, -46.7005319 -23.5714296, -46.7004072 -23.5714179, -46.7001176 -23.5714115, -46.7000588 -23.5714118, -46.6997963 -23.5714068, -46.699632 -23.5713859, -46.6994912 -23.5713589, -46.6991901 -23.5712735)",viaduct,,
8140737,True,1,,motorway_link,False,384.6069999999999,60,"LINESTRING (-46.7011858 -23.5707748, -46.7012119 -23.570563, -46.7012608 -23.5704044, -46.7013272 -23.5702194, -46.7014432 -23.5699176, -46.7016772 -23.569244, -46.7021781 -23.567815, -46.7022324 -23.5676104, -46.7022438 -23.5675212, -46.7022294 -23.5674648)",,,
694722549,True,4,Rua Butantã,secondary,False,75.125,50,"LINESTRING (-46.6988248 -23.5710365, -46.6986691 -23.5708934, -46.6985531 -23.5707867, -46.6983064 -23.5705562)",,,
493634438,True,3,Avenida Doutora Ruth Cardoso,trunk,False,254.158,60,"LINESTRING (-46.7030753 -23.5651242, -46.7034497 -23.56415, -46.703478 -23.5640764, -46.7035568 -23.5638851, -46.7036547 -23.5636233, -46.7039095 -23.5631039, -46.7039651 -23.5629908)",,,
39046002,True,2,Rua Gilberto Sabino,residential,False,94.929,,"LINESTRING (-46.7010395 -23.5650535, -46.701042 -23.5651056, -46.7010891 -23.565906)",,,
1024921034,True,2,Rua Sumidouro,secondary,False,21.708,40,"LINESTRING (-46.7010395 -23.5650535, -46.7011528 -23.5650406, -46.7012018 -23.5650345, -46.7012507 -23.5650283)",,,
"[134463721, 933367077]",True,"['1', '2']",Rua Sumidouro,secondary,False,95.375,40,"LINESTRING (-46.7001106 -23.5651572, -46.7007489 -23.5650859, -46.7010395 -23.5650535)",,,
244739248,True,3,Rua Sumidouro,secondary,False,43.466,40,"LINESTRING (-46.6992376 -23.5652726, -46.6993676 -23.5652554, -46.6996597 -23.5652168)",,,
1024921033,True,3,Rua Sumidouro,secondary,False,7.506,40,"LINESTRING (-46.6991647 -23.5652822, -46.6992376 -23.5652726)",,,
39045993,True,,Rua Amaro Cavalheiro,residential,False,94.29899999999999,,"LINESTRING (-46.6991647 -23.5652822, -46.6991668 -23.5653127, -46.699169 -23.5653564, -46.6992059 -23.5660769, -46.6992086 -23.5661293)",,,
39046010,True,2,Rua Ferreira de Araújo,residential,False,117.297,40,"LINESTRING (-46.6981327 -23.5653907, -46.6981263 -23.5652836, -46.6981097 -23.564958, -46.6981007 -23.5648104, -46.6980765 -23.5644154, -46.698072 -23.5643373)",,,
237003876,True,3,Rua Sumidouro,secondary,False,105.895,40,"LINESTRING (-46.6981327 -23.5653907, -46.6982299 -23.5653861, -46.698685 -23.5653355, -46.699045 -23.5652955, -46.6991647 -23.5652822)",,,
39046010,True,2,Rua Ferreira de Araújo,residential,False,74.021,40,"LINESTRING (-46.6981722 -23.5660554, -46.6981378 -23.5654896, -46.6981327 -23.5653907)",,,
39045993,True,,Rua Amaro Cavalheiro,residential,False,168.543,,"LINESTRING (-46.6992135 -23.5662038, -46.6993057 -23.5673398, -46.6993277 -23.5676043, -46.6993336 -23.5677155)",,,
695990469,True,1,Rua Conselheiro Pereira Pinto,residential,False,104.911,,"LINESTRING (-46.6992135 -23.5662038, -46.6991192 -23.5662092, -46.6981855 -23.5662516)",,,
244739205,True,,Rua Amaro Cavalheiro,residential,False,62.97,,"LINESTRING (-46.6992438 -23.5694757, -46.6991714 -23.5700381)",,,
39045994,True,,Rua Pascoal Bianco,residential,False,104.934,,"LINESTRING (-46.6992438 -23.5694757, -46.699302 -23.5694846, -46.7001678 -23.5696165, -46.7002114 -23.56963, -46.7002402 -23.5696639)",,,
244739205,True,,Rua Amaro Cavalheiro,residential,False,60.174,,"LINESTRING (-46.6991673 -23.5705986, -46.6991291 -23.5706736, -46.6990882 -23.5707344, -46.6990413 -23.5707959, -46.6988881 -23.5709701, -46.6988248 -23.5710365)",,,
450898561,False,,Rua Antônio Vieira de Medeiros,residential,True,170.18499999999997,,"LINESTRING (-46.6991673 -23.5705986, -46.6995972 -23.5706539, -46.6996304 -23.5706567, -46.6996623 -23.5706511, -46.699696 -23.5706275, -46.6997078 -23.5705867, -46.6997688 -23.5702043, -46.6997702 -23.5701752, -46.6997601 -23.5701546, -46.6997356 -23.5701441, -46.6996843 -23.5701346, -46.6994919 -23.5700996, -46.6994222 -23.5700811, -46.699337 -23.5700658, -46.6992438 -23.5700473, -46.6991714 -23.5700381)",,,
244739234,True,2,Rua Eugênio de Medeiros,secondary,False,18.111,,"LINESTRING (-46.7002402 -23.5696639, -46.7002281 -23.5698264)",,,
39046010,True,2,Rua Ferreira de Araújo,residential,False,62.458999999999996,40,"LINESTRING (-46.698214 -23.5668127, -46.6982135 -23.5668019, -46.6981855 -23.5662516)",,,
"[450898564, 247519636, 237003871]",True,2,"['Rua Gilberto Sabino', 'Rua Capri']",residential,False,235.79700000000003,40,"LINESTRING (-46.7010891 -23.565906, -46.7011398 -23.5666466, -46.7011592 -23.5671029, -46.7011783 -23.5672754, -46.7011857 -23.5673418, -46.7009765 -23.5674487, -46.7007492 -23.5675581, -46.700722 -23.5675707, -46.7005281 -23.5676601)",,,
818055819,True,2,Rua Conselheiro Pereira Pinto,residential,False,94.43,,"LINESTRING (-46.7010891 -23.565906, -46.7009937 -23.5659286, -46.7002567 -23.5660115, -46.7001719 -23.566021)",,,
450898567,True,2,Rua Eugênio de Medeiros,residential,False,96.25399999999999,,"LINESTRING (-46.7001719 -23.566021, -46.7001678 -23.5659523, -46.7001413 -23.5655833, -46.7001106 -23.5651572)",,,
818055819,True,2,Rua Conselheiro Pereira Pinto,residential,False,98.91699999999999,,"LINESTRING (-46.7001719 -23.566021, -46.7000665 -23.5660329, -46.6993133 -23.5661175, -46.6992086 -23.5661293)",,,
39046010,True,2,Rua Ferreira de Araújo,residential,False,21.859,40,"LINESTRING (-46.6981855 -23.5662516, -46.6981722 -23.5660554)",,,
322471233,True,2,Rua Pais Leme,secondary,False,160.514,,"LINESTRING (-46.7018938 -23.5683553, -46.7010797 -23.5681267, -46.7005638 -23.5679818, -46.700388 -23.5679324)",,,
936811960,True,3,Avenida Doutora Ruth Cardoso,trunk,False,104.764,60,"LINESTRING (-46.7018938 -23.5683553, -46.702022 -23.5680093, -46.7021266 -23.5677269, -46.7021603 -23.5676409, -46.7022294 -23.5674648)",,,
39046010,True,2,Rua Ferreira de Araújo,residential,False,95.16,40,"LINESTRING (-46.6982708 -23.5676669, -46.6982152 -23.5668359, -46.698214 -23.5668127)",,,
128011263,False,,Rua Ferreira de Araújo,residential,True,49.867,,"LINESTRING (-46.6980551 -23.5638891, -46.698072 -23.5643373)",,,
128011263,False,,Rua Ferreira de Araújo,residential,False,49.867,,"LINESTRING (-46.698072 -23.5643373, -46.6980551 -23.5638891)",,,
79292699,True,,Rua Paraopeba,residential,False,114.691,,"LINESTRING (-46.698072 -23.5643373, -46.698164 -23.5643347, -46.6986671 -23.5643246, -46.6991968 -23.564308)",,,
418974913,True,3,Rua Costa Carvalho,residential,False,107.33900000000001,40,"LINESTRING (-46.6991968 -23.564308, -46.6992117 -23.5646584, -46.6992119 -23.5646639, -46.6992324 -23.5651468, -46.6992376 -23.5652726)",,,
694722549,True,4,Rua Butantã,secondary,False,35.919,50,"LINESTRING (-46.6980307 -23.5702946, -46.6977857 -23.5700624)",,,
694297936,True,,Rua Jorge Rizzo,residential,False,73.225,,"LINESTRING (-46.697499 -23.5707375, -46.6980307 -23.5702946)",,,
694722549,True,4,Rua Butantã,secondary,False,30.138,50,"LINESTRING (-46.697469 -23.5697661, -46.6974266 -23.5697074, -46.6973957 -23.5696398, -46.6973548 -23.5695181)",,,
132768351,True,1,Rua Eugênio de Medeiros,secondary,False,92.815,,"LINESTRING (-46.7001637 -23.5703061, -46.7001477 -23.5703522, -46.7001383 -23.5704278, -46.7001269 -23.5705304, -46.7001095 -23.5707953, -46.700078 -23.5711358)",,,
"[244739234, 416161228]",True,2,"['Rua Eugênio de Medeiros', 'Ponte Bernardo Goldfarb']",secondary,False,162.062,,"LINESTRING (-46.7001637 -23.5703061, -46.7002112 -23.5704114, -46.700208 -23.5704978, -46.700202 -23.5705771, -46.7001813 -23.5708663, -46.7001722 -23.5710007, -46.7001763 -23.571054, -46.7001954 -23.5710996, -46.700214 -23.5711399, -46.7002427 -23.571174, -46.7003412 -23.5712512, -46.7004646 -23.5713154, -46.7006256 -23.5713948, -46.7007651 -23.5714685)",viaduct,,
936831273,True,3,Rua Butantã,secondary,False,40.791000000000004,50,"LINESTRING (-46.6991459 -23.5712518, -46.6990491 -23.5712059, -46.6989709 -23.5711573, -46.6989048 -23.5711031, -46.6988248 -23.5710365)",,,
563021890,True,1,Rua Butantã,secondary,False,94.28400000000002,,"LINESTRING (-46.7000638 -23.5713372, -46.6997454 -23.5713286, -46.6996649 -23.5713189, -46.6995628 -23.571305, -46.6993799 -23.5712704, -46.6992901 -23.5712581, -46.6992029 -23.5712507, -46.6991459 -23.5712518)",,,
132768351,True,1,Rua Eugênio de Medeiros,secondary,False,22.442,,"LINESTRING (-46.700078 -23.5711358, -46.7000718 -23.5712416, -46.7000638 -23.5713372)",,,
246510589,True,1,,trunk_link,False,76.10999999999999,,"LINESTRING (-46.700078 -23.5711358, -46.7001296 -23.5712267, -46.7001745 -23.5712692, -46.700257 -23.5713073, -46.7003214 -23.5713239, -46.7004356 -23.5713264, -46.7005339 -23.5713054, -46.7006151 -23.5712672, -46.7007004 -23.5712115)",,,
236899714,True,1,,trunk_link,False,52.971999999999994,,"LINESTRING (-46.6994951 -23.5716021, -46.6995069 -23.5715343, -46.6995033 -23.5715002, -46.6994885 -23.5714689, -46.6994698 -23.5714431, -46.6994456 -23.5714234, -46.699404 -23.5713958, -46.6993578 -23.5713687, -46.6993243 -23.5713546, -46.6992626 -23.5713226, -46.6991901 -23.5712735)",,,
403172621,True,1,,trunk_link,False,78.11500000000001,,"LINESTRING (-46.6994951 -23.5716021, -46.6995536 -23.5715458, -46.6996089 -23.5715183, -46.6996634 -23.5715074, -46.699727 -23.5715035, -46.7002261 -23.5715125)",,,
39046004,True,3,Rua Pais Leme,secondary,False,66.941,40,"LINESTRING (-46.6999783 -23.5678274, -46.6997433 -23.5677769, -46.6995945 -23.5677511, -46.6994677 -23.567729, -46.6993336 -23.5677155)",,,
450898568,False,,Vila Residencial Pais Leme 371,residential,False,31.624000000000002,,"LINESTRING (-46.6999783 -23.5678274, -46.6999707 -23.5678909, -46.6999444 -23.5681101)",,permissive,4
244739205,True,,Rua Amaro Cavalheiro,residential,False,62.363,,"LINESTRING (-46.6991714 -23.5700381, -46.6991647 -23.5701191, -46.6991606 -23.5702747, -46.6991673 -23.5705986)",,,
450898561,False,,Rua Antônio Vieira de Medeiros,residential,False,170.185,,"LINESTRING (-46.6991714 -23.5700381, -46.6992438 -23.5700473, -46.699337 -23.5700658, -46.6994222 -23.5700811, -46.6994919 -23.5700996, -46.6996843 -23.5701346, -46.6997356 -23.5701441, -46.6997601 -23.5701546, -46.6997702 -23.5701752, -46.6997688 -23.5702043, -46.6997078 -23.5705867, -46.699696 -23.5706275, -46.6996623 -23.5706511, -46.6996304 -23.5706567, -46.6995972 -23.5706539, -46.6991673 -23.5705986)",,,
