osmid,lanes,ref,highway,oneway,reversed,length,geometry,bridge,name
736635552,2,BR-420,primary,False,False,21.02,"LINESTRING (-39.5053054 -13.2249276, -39.5051879 -13.2250781)",,
413851953,,,residential,False,True,69.708,"LINESTRING (-39.5053054 -13.2249276, -39.5049208 -13.2250994, -39.5047317 -13.2252104)",,
"[844659380, 844659381, 413851926]",,,tertiary,False,False,89.524,"LINESTRING (-39.5039673 -13.2265002, -39.5040781 -13.2267076, -39.5041773 -13.2269884, -39.5042556 -13.227252)",yes,
736635552,2,BR-420,primary,False,False,148.868,"LINESTRING (-39.5039673 -13.2265002, -39.5033014 -13.2268337, -39.5030862 -13.2269415, -39.5027436 -13.2271112)",,
736635552,2,BR-420,primary,False,True,64.209,"LINESTRING (-39.5039673 -13.2265002, -39.5041068 -13.2264141, -39.5042369 -13.2263005, -39.5044193 -13.2261295)",,
"[385089456, 844659382, 844659383]",2,BR-420,primary,False,False,64.719,"LINESTRING (-39.5027436 -13.2271112, -39.5027182 -13.2271244, -39.5023342 -13.2273314, -39.5022138 -13.2273795)",yes,
715649736,2,BA-540,primary,False,True,85.603,"LINESTRING (-39.5027436 -13.2271112, -39.5024619 -13.2268534, -39.5024016 -13.2267731, -39.5023781 -13.226715, -39.5023687 -13.2266504, -39.5023654 -13.226574, -39.5023835 -13.2264859)",,
736635552,2,BR-420,primary,False,True,148.868,"LINESTRING (-39.5027436 -13.2271112, -39.5030862 -13.2269415, -39.5033014 -13.2268337, -39.5039673 -13.2265002)",,
409045145,,,residential,False,True,78.062,"LINESTRING (-39.5025015 -13.2259375, -39.5030513 -13.2254832)",,
715649736,2,BA-540,primary,False,False,62.376000000000005,"LINESTRING (-39.5025015 -13.2259375, -39.5024686 -13.2260635, -39.5024425 -13.226153, -39.5024136 -13.2262913, -39.5023835 -13.2264859)",,
824033474,,,residential,False,False,5.61,"LINESTRING (-39.5041175 -13.2273367, -39.5040992 -13.2272895)",,
1192760044,,,tertiary,True,False,54.565,"LINESTRING (-39.5041175 -13.2273367, -39.5036743 -13.2273845, -39.5036162 -13.2273817)",,Avenida 12 de Outubro
413851914,,,residential,False,False,40.66,"LINESTRING (-39.5066589 -13.229875, -39.5063489 -13.2300815)",,
413851945,,,residential,False,False,98.516,"LINESTRING (-39.5066589 -13.229875, -39.5066126 -13.2298234, -39.5065972 -13.2297751, -39.5065986 -13.2296929, -39.5066029 -13.2296557, -39.5065982 -13.2296204, -39.5065784 -13.2295839, -39.5062445 -13.2291152)",,
413851945,,,residential,False,True,210.12900000000005,"LINESTRING (-39.5066589 -13.229875, -39.5067729 -13.2299468, -39.5069177 -13.2300264, -39.5070545 -13.2300891, -39.5071806 -13.2301191, -39.5073549 -13.2301008, -39.5077626 -13.229905, -39.507874 -13.2298606, -39.5080087 -13.2298339, -39.5081147 -13.2298215, -39.5082065 -13.2298267, -39.5083252 -13.2298495, -39.508399 -13.2298763, -39.508464 -13.2299063)",,
409526283,,,residential,False,False,68.806,"LINESTRING (-39.5076721 -13.2320585, -39.5070368 -13.2320795)",,
385089459,,,tertiary,False,False,133.981,"LINESTRING (-39.5076721 -13.2320585, -39.5076641 -13.2319351, -39.5076674 -13.23183, -39.5076775 -13.2316759, -39.507707 -13.2313953, -39.5077184 -13.2312908, -39.5077425 -13.231159, -39.50777 -13.231048, -39.507817 -13.2308672)",,
377323448,,,residential,False,False,88.257,"LINESTRING (-39.5036162 -13.2273817, -39.5036991 -13.2281713)",,
