osmid,highway,oneway,reversed,length,geometry,bridge,lanes,name
870400985,residential,False,False,65.78,"LINESTRING (-48.013986 -15.8568121, -48.0142528 -15.8573451)",,,
142109424,residential,False,False,166.321,"LINESTRING (-48.013986 -15.8568121, -48.0140002 -15.8567739, -48.0139989 -15.8567533, -48.0139956 -15.8567333, -48.0139835 -15.8567024, -48.0139594 -15.8566507, -48.0135754 -15.8558704, -48.0133624 -15.8554571)",,,
263113424,residential,False,True,134.942,"LINESTRING (-48.013986 -15.8568121, -48.0134376 -15.8571368, -48.0129002 -15.8574296)",,,
917510545,residential,False,False,13.113,"LINESTRING (-48.011345 -15.8583724, -48.0114302 -15.8584572)",,,
"[263113400, 917585787, 226314255]",residential,False,False,88.193,"LINESTRING (-48.011345 -15.8583724, -48.0116155 -15.8583886, -48.0117934 -15.8583888, -48.0118409 -15.8583752, -48.0118808 -15.8583552, -48.0119249 -15.8582962, -48.0119652 -15.858238, -48.0120336 -15.8581285)",yes,1,
779499170,residential,False,True,198.83499999999998,"LINESTRING (-48.011345 -15.8583724, -48.0112222 -15.8582988, -48.0109365 -15.8581221, -48.0103947 -15.8577699, -48.0097872 -15.857397)",,,SHA Conjunto 5
142063853,tertiary,False,True,14.415,"LINESTRING (-48.0080762 -15.8585271, -48.0080823 -15.8586566)",,2,SHA Conjunto 5
142063853,tertiary,False,False,26.433,"LINESTRING (-48.0080762 -15.8585271, -48.008103 -15.8583826, -48.0081355 -15.8582972)",,2,SHA Conjunto 5
971952260,residential,False,True,9.368,"LINESTRING (-48.0080762 -15.8585271, -48.0081162 -15.8585039, -48.0081376 -15.8584704)",,,
142063853,tertiary,False,False,77.294,"LINESTRING (-48.0081355 -15.8582972, -48.0085576 -15.857733)",,2,SHA Conjunto 5
261540903,residential,False,True,30.615,"LINESTRING (-48.0081355 -15.8582972, -48.0079043 -15.8581349)",,,Chácara 43
142063853,tertiary,False,True,26.433,"LINESTRING (-48.0081355 -15.8582972, -48.008103 -15.8583826, -48.0080762 -15.8585271)",,2,SHA Conjunto 5
133608848,tertiary,False,True,74.544,"LINESTRING (-48.0091295 -15.8569783, -48.008544 -15.8566147)",,2,SHA Conjunto 5
142063853,tertiary,False,True,103.848,"LINESTRING (-48.0091295 -15.8569783, -48.0085576 -15.857733)",,2,SHA Conjunto 5
