osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction
117020509,False,Rua Dom Pedro II,residential,,True,97.005,"LINESTRING (-53.6327928 -26.2616929, -53.6337148 -26.2614147)",,
117020547,False,Rua Rio Grande do Sul,residential,,False,8.668,"LINESTRING (-53.6318467 -26.257017, -53.6318168 -26.2569438)",,
117020547,False,Rua Rio Grande do Sul,residential,,True,137.437,"LINESTRING (-53.6318467 -26.257017, -53.6322695 -26.2581934)",,
120372336,True,Avenida Paraná,tertiary,40,False,73.938,"LINESTRING (-53.6318467 -26.257017, -53.63115 -26.2572445)",,
117020476,True,Avenida Adelino Mangini,tertiary,,False,120.2,"LINESTRING (-53.6348354 -26.2610666, -53.6344456 -26.2600437)",,
117020509,False,Rua Dom Pedro II,residential,,False,118.258,"LINESTRING (-53.6348354 -26.2610666, -53.6337148 -26.2614147)",,
117020509,False,Rua Dom Pedro II,residential,,True,11.38,"LINESTRING (-53.6348354 -26.2610666, -53.6349432 -26.261033)",,
117020504,False,Rua Augusto Guedes Martins,residential,,True,137.96,"LINESTRING (-53.6309973 -26.2586809, -53.6322695 -26.2581934)",,
117020504,False,Rua Augusto Guedes Martins,residential,,False,140.198,"LINESTRING (-53.6309973 -26.2586809, -53.6299888 -26.2590758, -53.6297244 -26.259213)",,
117020538,False,Rua Almirante Barroso,residential,,False,251.513,"LINESTRING (-53.6309973 -26.2586809, -53.6310036 -26.2587664, -53.6311389 -26.2593365, -53.6313128 -26.2600139, -53.6313347 -26.2601455, -53.6313164 -26.2609105)",,
117020538,False,Rua Almirante Barroso,residential,,True,84.557,"LINESTRING (-53.6309973 -26.2586809, -53.6309917 -26.2586188, -53.6309565 -26.2584869, -53.6308169 -26.2579385)",,
117020465,False,Rua Saldanha da Gama,residential,,True,159.785,"LINESTRING (-53.6297997 -26.2636911, -53.6313135 -26.2632199)",,
117020454,True,Avenida Washington Luiz,trunk,,False,26.81,"LINESTRING (-53.6334643 -26.2589421, -53.6336483 -26.2587663)",,
289679431,False,Travessa Júlio de Sá,residential,40,False,114.559,"LINESTRING (-53.6334643 -26.2589421, -53.6331578 -26.2581561, -53.6330832 -26.2579702)",,
289679431,False,Travessa Júlio de Sá,residential,40,True,114.559,"LINESTRING (-53.6330832 -26.2579702, -53.6331578 -26.2581561, -53.6334643 -26.2589421)",,
117020432,False,Rua Vereador João Verona,residential,,False,115.236,"LINESTRING (-53.6386198 -26.2643686, -53.6382446 -26.2633884)",,
379783924,False,Rua Conde d'Eu,residential,40,True,114.506,"LINESTRING (-53.6386198 -26.2643686, -53.637524 -26.2646765)",,
530854043,True,Rua Presidente Vargas,tertiary,40,False,30.69,"LINESTRING (-53.6331037 -26.2565884, -53.6330367 -26.2566157, -53.6329764 -26.2566321, -53.6328133 -26.2566786)",,
530854046,True,,tertiary,40,False,10.244,"LINESTRING (-53.6331037 -26.2565884, -53.6330905 -26.2565743, -53.6330821 -26.2565575, -53.6330794 -26.2565392, -53.6330825 -26.256521, -53.6330912 -26.2565043)",1,roundabout
530854046,True,,tertiary,40,False,3.9899999999999998,"LINESTRING (-53.6331394 -26.2566038, -53.6331204 -26.2565984, -53.6331037 -26.2565884)",1,roundabout
117020493,True,Avenida Prefeito Adelino Mangini,tertiary,,False,69.603,"LINESTRING (-53.6332211 -26.2565589, -53.6332311 -26.2566003, -53.6334316 -26.2571555)",,
