osmid,oneway,name,highway,reversed,length,maxspeed,lanes,geometry,bridge
1060532378,True,Rua Campos Salles,residential,False,101.007,,,"LINESTRING (-49.2217998 -21.4658874, -49.2223671 -21.4666266)",
1060533048,True,Rua São José,residential,False,95.666,,,"LINESTRING (-49.2217998 -21.4658874, -49.2225317 -21.4653618)",
1060532376,True,Rua Tenente Ferreira,residential,False,102.485,,,"LINESTRING (-49.2232986 -21.4648102, -49.223909 -21.465536)",
1060533048,True,Rua São José,residential,False,101.434,,,"LINESTRING (-49.2232986 -21.4648102, -49.2240751 -21.4642535)",
391662131,True,Rua Trajano Machado,residential,False,102.902,,,"LINESTRING (-49.223909 -21.465536, -49.2231198 -21.466099)",
1060532376,True,Rua Tenente Ferreira,residential,False,100.716,,,"LINESTRING (-49.223909 -21.465536, -49.2244934 -21.4662603)",
179955627,True,Rua Rodrigues Alves,residential,False,103.372,,,"LINESTRING (-49.2244949 -21.4708343, -49.2253049 -21.4702902)",
179959013,True,Rua Doutor Altino Arantes,residential,False,98.758,,,"LINESTRING (-49.2244949 -21.4708343, -49.2239244 -21.4701223)",
179955629,True,Rua Campos Salles,residential,False,101.615,,,"LINESTRING (-49.2241225 -21.4688227, -49.2247095 -21.4695553)",
1060533052,True,Rua Sete de Setembro,residential,False,101.883,,,"LINESTRING (-49.2241225 -21.4688227, -49.2249054 -21.4682671)",
391662132,True,Avenida Coronel Junqueira,secondary,False,52.912,,,"LINESTRING (-49.2247634 -21.4649043, -49.2250562 -21.4652944)",
391662133,False,Rua Trajano Machado,secondary,True,16.26,40,,"LINESTRING (-49.2247634 -21.4649043, -49.2248761 -21.4648024)",
758593405,False,Rua Trajano Machado,secondary,False,13.145,40,,"LINESTRING (-49.2247634 -21.4649043, -49.2246672 -21.4649815)",
179955627,True,Rua Rodrigues Alves,residential,False,102.052,,,"LINESTRING (-49.2260883 -21.4697413, -49.2268798 -21.4691938)",
179959007,True,Rua São Sebastião,residential,False,102.15,,,"LINESTRING (-49.2260883 -21.4697413, -49.2255 -21.4690036)",
153973242,True,Rua Prudente de Moraes,residential,False,103.215,,,"LINESTRING (-49.2204245 -21.465727, -49.2198336 -21.4649792)",
153973259,True,Rua Antônio Sabino,residential,False,99.459,,,"LINESTRING (-49.2204245 -21.465727, -49.2196583 -21.466267)",
179955638,True,Rua Tenente Ferreira,residential,False,105.311,,,"LINESTRING (-49.2256753 -21.4677238, -49.226302 -21.46847)",
1060533052,True,Rua Sete de Setembro,residential,False,100.869,,,"LINESTRING (-49.2256753 -21.4677238, -49.2264512 -21.4671747)",
179955627,True,Rua Rodrigues Alves,residential,False,101.893,,,"LINESTRING (-49.2268798 -21.4691938, -49.2276701 -21.4686472)",
179955638,True,Rua Tenente Ferreira,residential,False,101.85,,,"LINESTRING (-49.2268798 -21.4691938, -49.2274767 -21.4699221)",
409536739,False,Avenida Coronel Junqueira,secondary,False,5.358,,2,"LINESTRING (-49.2271176 -21.4679142, -49.2271483 -21.467953)",
409536739,False,Avenida Coronel Junqueira,secondary,True,91.743,,2,"LINESTRING (-49.2271176 -21.4679142, -49.2265921 -21.4672497)",
1060533053,True,Rua Júlio Cotrim,residential,False,104.607,,,"LINESTRING (-49.2271176 -21.4679142, -49.226302 -21.46847)",
179959013,True,Rua Doutor Altino Arantes,residential,False,103.632,,,"LINESTRING (-49.2239244 -21.4701223, -49.2233452 -21.469362)",
1060533053,True,Rua Júlio Cotrim,residential,False,98.107,,,"LINESTRING (-49.2239244 -21.4701223, -49.2231645 -21.4706499)",
179955627,True,Rua Rodrigues Alves,residential,False,101.474,,,"LINESTRING (-49.2253049 -21.4702902, -49.2260883 -21.4697413)",
