osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge,width,junction
388224635,Rua Prefeito José Ribeiro Pereira Filho,residential,False,False,58.002,,,,"LINESTRING (-44.8695054 -22.2840576, -44.8700058 -22.2842978)",,,
388224635,Rua Prefeito José Ribeiro Pereira Filho,residential,False,True,97.212,,,,"LINESTRING (-44.8695054 -22.2840576, -44.8685825 -22.2838704)",,,
1125398174,,trunk,False,False,72.872,2,BR-354,40,"LINESTRING (-44.8695054 -22.2840576, -44.869667 -22.2835087, -44.8696916 -22.2834253)",,,
1125398174,,trunk,False,True,227.448,2,BR-354,40,"LINESTRING (-44.8695054 -22.2840576, -44.8690889 -22.2856228, -44.8689797 -22.2860444)",,,
226933628,Rua Marechal Deodoro,tertiary,False,False,99.646,,,,"LINESTRING (-44.8698357 -22.2829804, -44.8706806 -22.2834184)",,,
226933647,,trunk,False,False,103.785,2,BR-354,40,"LINESTRING (-44.8698357 -22.2829804, -44.870341 -22.2821726)",,,
226933650,Rua Marechal Deodoro,secondary,False,True,101.066,,,,"LINESTRING (-44.8698357 -22.2829804, -44.8691883 -22.2826702, -44.8689456 -22.2826034)",,,
1125398174,,trunk,False,True,51.655,2,BR-354,40,"LINESTRING (-44.8698357 -22.2829804, -44.8697429 -22.2832512, -44.8696916 -22.2834253)",,,
90829619,Rua Aureo Maranhão,tertiary,False,True,23.249,,,30,"LINESTRING (-44.8723729 -22.2816388, -44.8725979 -22.2816196)",,,
226933630,Rua Governador Valadares,residential,False,False,41.001,,,30,"LINESTRING (-44.8723729 -22.2816388, -44.8726423 -22.2813671)",,,
226933630,Rua Governador Valadares,residential,False,True,179.892,,,30,"LINESTRING (-44.8723729 -22.2816388, -44.8712196 -22.2828547)",,,
490749024,Rua dos Expedicionários,tertiary,False,False,265.352,,,30,"LINESTRING (-44.8723729 -22.2816388, -44.8724076 -22.281807, -44.8716888 -22.2829635, -44.8711161 -22.2836673)",,,
226933628,Rua Marechal Deodoro,tertiary,False,False,52.667,,,,"LINESTRING (-44.8706806 -22.2834184, -44.8711161 -22.2836673)",,,
226933628,Rua Marechal Deodoro,tertiary,False,True,99.646,,,,"LINESTRING (-44.8706806 -22.2834184, -44.8698357 -22.2829804)",,,
226933630,Rua Governador Valadares,residential,False,False,83.693,,,30,"LINESTRING (-44.8706806 -22.2834184, -44.8712196 -22.2828547)",,,
226933630,Rua Governador Valadares,residential,False,True,47.091,,,30,"LINESTRING (-44.8706806 -22.2834184, -44.8704723 -22.2837955)",,,
226933645,Rua Januário Leoni,residential,False,True,145.754,,,30,"LINESTRING (-44.8689456 -22.2826034, -44.8685825 -22.2838704)",,,
226933650,Rua Marechal Deodoro,secondary,False,True,19.335,,,,"LINESTRING (-44.8689456 -22.2826034, -44.8687642 -22.282558)",,,
226933650,Rua Marechal Deodoro,secondary,False,False,101.066,,,,"LINESTRING (-44.8689456 -22.2826034, -44.8691883 -22.2826702, -44.8698357 -22.2829804)",,,
447073762,Rua Delfim Pinto,residential,False,True,27.057,,,40,"LINESTRING (-44.8689456 -22.2826034, -44.8688936 -22.2825204, -44.8688137 -22.2823929)",,,
226933592,Rua José Alves de Freitas,residential,False,False,66.167,,,30,"LINESTRING (-44.8738693 -22.2811796, -44.8741189 -22.2806312)",,,
226933632,Rua Professora Adelaide Fleming,residential,False,False,70.437,,,30,"LINESTRING (-44.8738693 -22.2811796, -44.8733349 -22.2807837)",,,
226933632,Rua Professora Adelaide Fleming,residential,False,True,42.877,,,30,"LINESTRING (-44.8738693 -22.2811796, -44.8741534 -22.2814617)",,,
226933592,Rua José Alves de Freitas,residential,False,False,35.625,,,30,"LINESTRING (-44.8741189 -22.2806312, -44.8742891 -22.2803522)",,,
226933592,Rua José Alves de Freitas,residential,False,True,66.167,,,30,"LINESTRING (-44.8741189 -22.2806312, -44.8738693 -22.2811796)",,,
90829619,Rua Aureo Maranhão,tertiary,False,False,30.379,,,30,"LINESTRING (-44.8728919 -22.2815945, -44.8725979 -22.2816196)",,,
