osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,tunnel,maxspeed
254977741,True,Rua Dom Pedro II,residential,False,50.438,"LINESTRING (-46.7987525 -21.9718769, -46.7992292 -21.9719785)",,,,
543604166,False,Avenida Teresiano Valim,tertiary,False,1.825,"LINESTRING (-46.7987525 -21.9718769, -46.7987461 -21.9718616)",,,,
297931189,False,,residential,False,69.525,"LINESTRING (-46.7987525 -21.9718769, -46.7985011 -21.9718262, -46.798581 -21.9714467)",,,,
543604166,False,Avenida Teresiano Valim,tertiary,True,12.283,"LINESTRING (-46.7984789 -21.9713898, -46.798581 -21.9714467)",,,,
216999338,True,Rua General Osório,tertiary,False,61.883,"LINESTRING (-46.7984789 -21.9713898, -46.7983004 -21.9713615, -46.7979727 -21.9713095, -46.7978885 -21.9712909)",,,,
297791655,True,Rua General Osório,tertiary,False,94.151,"LINESTRING (-46.7933036 -21.9701479, -46.7924205 -21.9699329)",,,,
885466080,True,Rua Cristiano Osório,residential,False,106.723,"LINESTRING (-46.7933036 -21.9701479, -46.7930977 -21.9710885)",,,,
254977278,True,Rua Getúlio Vargas,tertiary,False,83.926,"LINESTRING (-46.7968972 -21.9710449, -46.796701 -21.9717774)",,,,
297791655,True,Rua General Osório,tertiary,False,89.475,"LINESTRING (-46.7968972 -21.9710449, -46.7960627 -21.9708245)",,,,
297791655,True,Rua General Osório,tertiary,False,73.855,"LINESTRING (-46.7960627 -21.9708245, -46.7953655 -21.9706725)",,,,
297818525,True,Rua Benedito Araújo,residential,False,51.379,"LINESTRING (-46.7960627 -21.9708245, -46.7963189 -21.9704282)",,,,
297791655,True,Rua General Osório,tertiary,False,138.979,"LINESTRING (-46.7945992 -21.9704922, -46.7933036 -21.9701479)",,,,
"[297688450, 298036483]",True,"['Rua Oscar Janson', 'Praça Monsenhor João Ramalho']",secondary,False,168.859,"LINESTRING (-46.7945992 -21.9704922, -46.7949918 -21.9698035, -46.7950011 -21.9697881, -46.7949651 -21.969625, -46.7949852 -21.9695156, -46.7951475 -21.9692817, -46.7951957 -21.9692183, -46.7952882 -21.9691956)",,,,
216999695,True,Rua Senador Saraiva,secondary,False,5.193,"LINESTRING (-46.798575 -21.9698816, -46.7985326 -21.9698564)",2,,,
297791654,True,Praça Joaquim José,residential,False,191.969,"LINESTRING (-46.798575 -21.9698816, -46.7988892 -21.9700734, -46.7989009 -21.9700889, -46.7988976 -21.9701075, -46.7984789 -21.9713898)",,,,
297791656,False,Rua Marechal Deodoro,secondary,True,111.691,"LINESTRING (-46.798575 -21.9698816, -46.7982121 -21.9704048, -46.7979911 -21.9707276)",,,,
297791655,True,Rua General Osório,tertiary,False,4.398,"LINESTRING (-46.7978885 -21.9712909, -46.7978471 -21.9712814)",,,,
254977330,True,Avenida Dona Gertrudes,secondary,False,81.441,"LINESTRING (-46.7978885 -21.9712909, -46.7978825 -21.9713574, -46.7978562 -21.9715607, -46.7978453 -21.9717161, -46.797836 -21.9719203, -46.7978335 -21.9720211)",,,,
284132399,True,Rua Ademar de Barros,secondary,False,114.728,"LINESTRING (-46.7965449 -21.9686959, -46.7960024 -21.9695967)",,,,
918181964,True,Rua Senador Saraiva,secondary,False,76.485,"LINESTRING (-46.7965449 -21.9686959, -46.7959159 -21.9683314)",2,,,
918181964,True,Rua Senador Saraiva,secondary,False,110.468,"LINESTRING (-46.7959159 -21.9683314, -46.7950072 -21.9678053)",2,,,
918183418,True,Rua Campos Sales,secondary,False,61.556,"LINESTRING (-46.7959159 -21.9683314, -46.7962398 -21.9678664)",,,,
216999695,True,Rua Senador Saraiva,secondary,False,56.742000000000004,"LINESTRING (-46.79723 -21.9690926, -46.7970496 -21.9689875, -46.7970399 -21.9689818, -46.7969214 -21.9689128, -46.7967641 -21.9688211)",2,,,
875108988,True,Rua Joaquim Valim,residential,False,63.879,"LINESTRING (-46.7943715 -21.9674372, -46.7947077 -21.9669547)",,,,
"[836747936, 836747937, 918181964]",True,Rua Senador Saraiva,secondary,False,102.451,"LINESTRING (-46.7943715 -21.9674372, -46.7939439 -21.9671885, -46.7938547 -21.9671375, -46.7935288 -21.9669492)",2,yes,,
254977307,True,Avenida Dona Gertrudes,secondary,False,5.899,"LINESTRING (-46.7976485 -21.9725807, -46.7976567 -21.9725282)",,,,
254977711,True,Rua Floriano Peixoto,residential,False,116.219,"LINESTRING (-46.7976485 -21.9725807, -46.7965476 -21.9723569)",,,,
297818525,True,Rua Benedito Araújo,residential,False,112.956,"LINESTRING (-46.796632 -21.9699437, -46.79723 -21.9690926)",,,,
298033376,True,Rua Professor Hugo Sarmento,residential,False,85.0,"LINESTRING (-46.796632 -21.9699437, -46.7973323 -21.9703469)",,,,
297688462,False,Rua Antonina Junqueira,residential,True,30.663,"LINESTRING (-46.7997409 -21.9699909, -46.7995051 -21.9698229)",,,,
