osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel,width,est_width
"[697677682, 96286039]",L 1042,Hörlebacher Straße,secondary,"['50', '100']",False,False,142.901,"LINESTRING (9.9147375 49.1724621, 9.9151318 49.1721151, 9.9151943 49.1720675, 9.9153555 49.1719554, 9.9157042 49.1717324, 9.9158086 49.1716656, 9.9160512 49.1715105)",,,,
709879104,L 1042,Bahnhofstraße,secondary,50,False,True,7.923,"LINESTRING (9.9218893 49.1682619, 9.9218985 49.1681909)",2,,,
96241899,,Bahnhofstraße,residential,,False,True,36.991,"LINESTRING (9.9218893 49.1682619, 9.9215621 49.1683921, 9.9214682 49.1684468)",,,,
96241901,L 1042,Steinbrunnenstraße,secondary,50,False,False,112.73600000000002,"LINESTRING (9.9218893 49.1682619, 9.9219203 49.1683364, 9.9222081 49.1686257, 9.9223046 49.1687868, 9.9223702 49.1689316, 9.92239 49.1690972, 9.9223895 49.1691986)",,,,
33053275,L 1042,Crailsheimer Straße,secondary,50,False,False,26.827,"LINESTRING (9.9220479 49.1698888, 9.9218485 49.1698277, 9.9217081 49.1697955)",,,,
"[706307115, 706307114, 145149706]",L 1042,Steinbrunnenstraße,secondary,50,False,True,80.868,"LINESTRING (9.9220479 49.1698888, 9.9221666 49.1696766, 9.9221964 49.1696262, 9.922283 49.1694729, 9.9223441 49.1693598, 9.9223895 49.1691986)",,,,
33053275,L 1042,Crailsheimer Straße,secondary,50,False,True,36.184,"LINESTRING (9.9212271 49.1697119, 9.9217081 49.1697955)",,,,
33053274,,Mauerstraße,residential,,False,False,74.39099999999999,"LINESTRING (9.9212271 49.1697119, 9.9210875 49.1699389, 9.9210447 49.1700227, 9.9209265 49.1703497)",,,,
44749082,,Bahnhofstraße,residential,,True,False,56.619,"LINESTRING (9.9212271 49.1697119, 9.9213538 49.1692793, 9.9213736 49.1692118)",,,,
145149699,L 1042,Hauptstraße,secondary,50,False,False,38.012,"LINESTRING (9.9212271 49.1697119, 9.9209586 49.1696691, 9.9207191 49.169631)",,,,
96241905,,Pfarrberg,residential,30,False,False,74.241,"LINESTRING (9.9207191 49.169631, 9.9204894 49.1699665, 9.9203436 49.1701086, 9.9201527 49.1701411)",,,,
145149699,L 1042,Hauptstraße,secondary,50,False,False,37.67,"LINESTRING (9.9207191 49.169631, 9.9203214 49.1695646, 9.9202138 49.1695617)",,,,
145149699,L 1042,Hauptstraße,secondary,50,False,True,38.012,"LINESTRING (9.9207191 49.169631, 9.9209586 49.1696691, 9.9212271 49.1697119)",,,,
96241904,,Am Markt,residential,30,False,False,58.496,"LINESTRING (9.919476 49.1698565, 9.9201527 49.1701411)",,,,
145149699,L 1042,Hauptstraße,secondary,50,False,True,11.047,"LINESTRING (9.919476 49.1698565, 9.9195917 49.1697921)",,,,
