osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,access,bridge
4072790,Westendstraße,residential,30,False,False,70.427,"LINESTRING (11.6080497 48.6870557, 11.6090078 48.6870228)",,,,,
4072785,Hopfenstraße,residential,30,False,True,6.773,"LINESTRING (11.6098561 48.6866292, 11.6097765 48.6865984)",,,,,
4072785,Hopfenstraße,residential,30,False,False,167.706,"LINESTRING (11.6098561 48.6866292, 11.6100571 48.6867129, 11.6103388 48.686892, 11.6105498 48.6870463, 11.6107564 48.6872074, 11.6110621 48.687438, 11.6112789 48.6875732, 11.6114792 48.6876814)",,,,,
4072785,Hopfenstraße,residential,30,False,True,44.042,"LINESTRING (11.6119943 48.6878826, 11.6118289 48.6878291, 11.6116928 48.6877803, 11.6114792 48.6876814)",,,,,
"[986184323, 4071127]",Regensburger Straße,primary,50,False,False,162.567,"LINESTRING (11.6125489 48.6858966, 11.6127777 48.6859423, 11.6136121 48.6861161, 11.614398 48.6862455, 11.6145381 48.6862656, 11.6146834 48.6862812)",2,B 300,,,
29396651,Grabengasse,residential,50,False,True,76.227,"LINESTRING (11.6125489 48.6858966, 11.6123878 48.6858737, 11.6122481 48.6858371, 11.6120906 48.6857698, 11.6116688 48.6855518)",,,,,
867259383,Maximilianstraße,primary,50,False,True,43.957,"LINESTRING (11.6125489 48.6858966, 11.6125697 48.6857791, 11.612619 48.685504)",3,B 300,,,
140042599,Rosenstraße,residential,,False,True,74.778,"LINESTRING (11.6146834 48.6862812, 11.6146667 48.6856088)",,,,,
32592038,Mühlstraße,residential,30,False,False,91.00699999999999,"LINESTRING (11.6146834 48.6862812, 11.6146728 48.6863822, 11.6146811 48.686447, 11.6148373 48.6868841, 11.6149 48.6870829)",,,,,
49142382,Regensburger Straße,primary,50,False,False,48.774,"LINESTRING (11.6146834 48.6862812, 11.6147801 48.6862857, 11.6148904 48.6862842, 11.6149856 48.6862817, 11.6150761 48.6862752, 11.6151545 48.6862631, 11.615236 48.6862415, 11.6153296 48.6862139)",,B 300,,,
"[986184323, 4071127]",Regensburger Straße,primary,50,False,True,162.567,"LINESTRING (11.6146834 48.6862812, 11.6145381 48.6862656, 11.614398 48.6862455, 11.6136121 48.6861161, 11.6127777 48.6859423, 11.6125489 48.6858966)",2,B 300,,,
49142382,Regensburger Straße,primary,50,False,False,24.842,"LINESTRING (11.6153296 48.6862139, 11.6156265 48.6861067)",,B 300,,,
32592045,Hochstattweg,residential,30,False,False,181.485,"LINESTRING (11.6153296 48.6862139, 11.6153765 48.6862586, 11.6154453 48.6863064, 11.6155042 48.6863363, 11.6156628 48.6863818, 11.6158467 48.6864374, 11.6167198 48.6867686, 11.6175105 48.6869428)",,,,,
49142382,Regensburger Straße,primary,50,False,True,48.774,"LINESTRING (11.6153296 48.6862139, 11.615236 48.6862415, 11.6151545 48.6862631, 11.6150761 48.6862752, 11.6149856 48.6862817, 11.6148904 48.6862842, 11.6147801 48.6862857, 11.6146834 48.6862812)",,B 300,,,
4072732,Steinbergstraße,residential,30,False,True,62.487,"LINESTRING (11.6090078 48.6870228, 11.6089819 48.6864611)",,,,,
4072790,Westendstraße,residential,30,False,True,70.427,"LINESTRING (11.6090078 48.6870228, 11.6080497 48.6870557)",,,,,
4072732,Steinbergstraße,residential,30,False,False,62.487,"LINESTRING (11.6089819 48.6864611, 11.6090078 48.6870228)",,,,,
4072785,Hopfenstraße,residential,30,False,False,60.309999999999995,"LINESTRING (11.6089819 48.6864611, 11.6093497 48.6865236, 11.6096323 48.6865689, 11.6097765 48.6865984)",,,,,
8323701,Hopfenstraße,residential,,False,True,61.233,"LINESTRING (11.6089819 48.6864611, 11.6083065 48.6863353, 11.6081766 48.6863185)",,,,,
184610789,Dr.-Bayberger-Straße,residential,,False,True,96.006,"LINESTRING (11.6089819 48.6864611, 11.608942 48.6860535, 11.6089646 48.6858368, 11.609021 48.685602)",,,,,
4078330,Dr.-Bayberger-Straße,residential,,False,False,32.22,"LINESTRING (11.6092848 48.6848083, 11.6093884 48.6848187, 11.6095004 48.6848387, 11.609708 48.6848828)",,,,,
184610789,Dr.-Bayberger-Straße,residential,,False,False,90.382,"LINESTRING (11.6092848 48.6848083, 11.6092718 48.6848723, 11.609021 48.685602)",,,,,
184610789,Dr.-Bayberger-Straße,residential,,False,True,8.967,"LINESTRING (11.6092848 48.6848083, 11.6092753 48.6847673, 11.6092538 48.6847308)",,,,,
8157948,Augsburger Straße,primary,50,False,True,26.352,"LINESTRING (11.6094323 48.6838178, 11.6090757 48.6837907)",,B 300,,,
4210234,Dr.-Bayberger-Straße,residential,,False,False,102.851,"LINESTRING (11.6094323 48.6838178, 11.6093661 48.6841737, 11.6093082 48.6843934, 11.60924 48.6846117, 11.6092357 48.6846773, 11.6092538 48.6847308)",,,,,
