osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,bridge,tunnel
118390069,True,1,Baumgartenstraße,living_street,False,138.975,,"LINESTRING (11.5688847 50.6634186, 11.5700374 50.6624046)",,,
118390135,False,,Querstraße,living_street,False,52.438,,"LINESTRING (11.5688847 50.6634186, 11.5683587 50.6630851)",,,
118293607,False,,Driesemannstraße,unclassified,False,103.648,50,"LINESTRING (11.5711764 50.6620052, 11.5700552 50.6614021)",,,
118390142,False,,,unclassified,True,85.328,50,"LINESTRING (11.5711764 50.6620052, 11.5703995 50.6625937)",,,
"[118293605, 118293607]",False,,Driesemannstraße,unclassified,True,70.219,50,"LINESTRING (11.5711764 50.6620052, 11.5713663 50.6621055, 11.57196 50.662395)",,,
118390074,False,,Blumenstraße,residential,False,33.069,50,"LINESTRING (11.5703995 50.6625937, 11.5700374 50.6624046)",,,
118390142,False,,,unclassified,False,85.328,50,"LINESTRING (11.5703995 50.6625937, 11.5711764 50.6620052)",,,
118390074,False,,Blumenstraße,residential,True,157.93699999999998,50,"LINESTRING (11.5703995 50.6625937, 11.5718062 50.6633144, 11.5719572 50.663392, 11.5720725 50.6634512, 11.5721436 50.6634854)",,,
118390158,False,,Platz der Einheit,residential,True,59.821,50,"LINESTRING (11.5681985 50.6642613, 11.568135 50.6642446, 11.5679022 50.6641832, 11.5676595 50.6640879, 11.5675098 50.6639671)",,,
118390162,False,,Wilhelmsdorfer Straße,unclassified,False,31.628,50,"LINESTRING (11.560976 50.6599514, 11.5608424 50.6601116, 11.5607947 50.6602103)",,,
118390162,False,,Wilhelmsdorfer Straße,unclassified,True,25.225,50,"LINESTRING (11.560976 50.6599514, 11.5610129 50.6598492, 11.561028 50.6597826, 11.5610601 50.6597318)",,,
118390170,False,2,Wöhlsdorfer Straße,tertiary,False,62.75,50,"LINESTRING (11.5621097 50.6605647, 11.561988 50.6605009, 11.561795 50.6604198, 11.5613659 50.6602562)",K 201,,
"[118390168, 118390170, 116946421]",False,2,Wöhlsdorfer Straße,tertiary,True,120.11999999999999,50,"LINESTRING (11.5621097 50.6605647, 11.5622571 50.6606426, 11.5623737 50.6606941, 11.5624592 50.6607272, 11.562763 50.6608314, 11.56289 50.6608639, 11.5631652 50.660906, 11.5632656 50.6609341, 11.5633674 50.660986, 11.5635515 50.661106)",K 201,yes,
"[472330336, 53014002]",False,,Wöhlsdorfer Straße,residential,False,60.735,,"LINESTRING (11.5621097 50.6605647, 11.5623298 50.66057, 11.562365 50.6605689, 11.5624755 50.6605705, 11.5627173 50.6605928, 11.5629657 50.6606168)",,,
116946450,False,2,Lindenstraße,tertiary,False,40.74,50,"LINESTRING (11.56751 50.6625426, 11.5676745 50.6624638, 11.5679716 50.6623221)",K 516,,
116946450,False,2,Lindenstraße,tertiary,True,45.743,50,"LINESTRING (11.56751 50.6625426, 11.5673939 50.6625982, 11.5672736 50.6626541, 11.5671671 50.6627036, 11.5670159 50.6627739, 11.5669959 50.6627919)",K 516,,
118390135,False,,Querstraße,living_street,True,84.955,,"LINESTRING (11.56751 50.6625426, 11.567809 50.6627337, 11.5683587 50.6630851)",,,
116946430,False,,Kirchgasse,residential,False,85.71699999999998,20,"LINESTRING (11.5643956 50.6617314, 11.5643033 50.6617155, 11.5642678 50.6616936, 11.5642207 50.6616721, 11.5641305 50.6616468, 11.5639177 50.6615986, 11.5638532 50.6615856, 11.5638316 50.6615651, 11.563832 50.661547, 11.5638512 50.6614893, 11.5638832 50.6614231, 11.5639086 50.6614044, 11.5639479 50.6613905, 11.5639863 50.6613622, 11.5640072 50.6613145, 11.5640211 50.661273, 11.5640181 50.6612331)",,,
"[116946425, 116946430]",False,,"['Kirchgasse', 'Rathausstraße']",residential,"[False, True]",104.472,20,"LINESTRING (11.5643956 50.6617314, 11.5645199 50.6617591, 11.5646744 50.6617872, 11.5648639 50.6618496, 11.5650069 50.6619088, 11.5651841 50.6619636, 11.5652885 50.6620029, 11.5657004 50.6621673)",,,
116946442,False,,Kirchgasse,living_street,True,45.722,,"LINESTRING (11.5643956 50.6617314, 11.5642638 50.6617676, 11.5642003 50.6617724, 11.5641292 50.6617713, 11.5639457 50.6617418, 11.5637702 50.6617147)",,,
116946416,False,2,Gartenstraße,tertiary,False,123.114,50,"LINESTRING (11.5635515 50.661106, 11.5638446 50.6609698, 11.5639083 50.6609446, 11.5639857 50.6609374, 11.5640363 50.6609403, 11.5641796 50.6609514, 11.5644587 50.6609638, 11.5647335 50.6609738, 11.5648471 50.6609779, 11.564954 50.6609764, 11.5650234 50.6609703, 11.5650958 50.6609587, 11.5651342 50.660953, 11.5652056 50.6609389)",K 201,,
"[118390168, 118390170, 116946421]",False,2,Wöhlsdorfer Straße,tertiary,False,120.11999999999999,50,"LINESTRING (11.5635515 50.661106, 11.5633674 50.660986, 11.5632656 50.6609341, 11.5631652 50.660906, 11.56289 50.6608639, 11.562763 50.6608314, 11.5624592 50.6607272, 11.5623737 50.6606941, 11.5622571 50.6606426, 11.5621097 50.6605647)",K 201,yes,
116946425,False,,Rathausstraße,residential,False,78.864,20,"LINESTRING (11.5657004 50.6621673, 11.5658165 50.6622106, 11.5661456 50.6623067, 11.5664663 50.6623912, 11.5667261 50.6624474)",,,
"[116946425, 116946430]",False,,"['Kirchgasse', 'Rathausstraße']",residential,"[False, True]",104.472,20,"LINESTRING (11.5657004 50.6621673, 11.5652885 50.6620029, 11.5651841 50.6619636, 11.5650069 50.6619088, 11.5648639 50.6618496, 11.5646744 50.6617872, 11.5645199 50.6617591, 11.5643956 50.6617314)",,,
116946427,False,,Schloßberg,residential,False,121.374,20,"LINESTRING (11.5657004 50.6621673, 11.5656629 50.6622799, 11.5656426 50.6623512, 11.5656458 50.6623971, 11.5656954 50.6624258, 11.5658131 50.6624788, 11.5658891 50.6625336, 11.565941 50.6625561, 11.5660559 50.6626024, 11.5661987 50.6626355, 11.566331 50.662662, 11.5664756 50.6626764, 11.566556 50.6626627, 11.5666105 50.6626465, 11.5668005 50.6625461)",,,
"[60450640, 116946444, 116946438, 116946455]",False,,Rathausstraße,residential,True,120.22199999999998,20,"LINESTRING (11.5657004 50.6621673, 11.5650838 50.6621526, 11.5650744 50.6621531, 11.5649141 50.6621407, 11.5647952 50.6621333, 11.5645544 50.6621189, 11.5644638 50.6621035, 11.5643668 50.6620781, 11.5640334 50.6619962)",,,yes
116946442,False,,Kirchgasse,living_street,False,45.722,,"LINESTRING (11.5637702 50.6617147, 11.5639457 50.6617418, 11.5641292 50.6617713, 11.5642003 50.6617724, 11.5642638 50.6617676, 11.5643956 50.6617314)",,,
116946446,False,,Winkel,residential,False,7.982,20,"LINESTRING (11.5653074 50.6614658, 11.5652878 50.6613951)",,,
116946435,True,,August-Bebel-Straße,residential,False,95.026,20,"LINESTRING (11.5653074 50.6614658, 11.5651817 50.66145, 11.565025 50.6614445, 11.5648387 50.6614202, 11.5646297 50.6613827, 11.5645444 50.6613641, 11.5644521 50.6613408, 11.5641369 50.6612624, 11.5640181 50.6612331)",,,
116946446,False,,Winkel,residential,False,22.923,20,"LINESTRING (11.5653054 50.6611351, 11.5652056 50.6609389)",,,
116946446,False,,Winkel,residential,True,43.164,20,"LINESTRING (11.5653054 50.6611351, 11.5655235 50.6612478, 11.5652878 50.6613951)",,,
116946453,False,,Winkel,residential,True,37.375,20,"LINESTRING (11.5653054 50.6611351, 11.5651517 50.661186, 11.5652878 50.6613951)",,,
116946446,False,,Winkel,residential,True,22.923,20,"LINESTRING (11.5652056 50.6609389, 11.5653054 50.6611351)",,,
"[116946416, 116946440]",False,2,Gartenstraße,tertiary,False,60.373,50,"LINESTRING (11.5652056 50.6609389, 11.5653163 50.660916, 11.5654302 50.6608832, 11.5655328 50.6608527, 11.5656048 50.6608346, 11.5656899 50.6608178, 11.565818 50.6608107, 11.5659324 50.6608103, 11.566024 50.660816)",K 201,,
