osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,maxspeed,width,bridge,ref
24559634,1,Teplitzer Straße,tertiary,roundabout,True,False,21.201,"LINESTRING (12.4074674 48.2075903, 12.4075018 48.2075745, 12.4075369 48.207565, 12.4076057 48.2075606, 12.4076666 48.2075717, 12.4077184 48.2075961, 12.4077251 48.2076017)",,,,
24638328,,Teplitzer Straße,tertiary,,False,True,145.92000000000002,"LINESTRING (12.4074674 48.2075903, 12.407367 48.2075269, 12.4067213 48.2071198, 12.4066321 48.2070603, 12.4062014 48.2067564, 12.4060636 48.2066707)",50,,,
24638328,,Teplitzer Straße,tertiary,,False,False,94.39399999999999,"LINESTRING (12.4047119 48.2058403, 12.4048319 48.2058716, 12.4048768 48.2058863, 12.4049721 48.2059387, 12.4054296 48.206243, 12.4054754 48.206274, 12.4056576 48.2063973)",50,,,
"[1058907329, 24697539]",3,Egerländer Straße,tertiary,,False,False,165.496,"LINESTRING (12.4047119 48.2058403, 12.4045384 48.2058016, 12.4042899 48.2057291, 12.4040668 48.2056641, 12.4037672 48.2055843, 12.4033787 48.2054809, 12.4031499 48.2054263, 12.4030717 48.2054076, 12.4030502 48.2054012, 12.4030288 48.2053949, 12.4029613 48.2053715, 12.4026512 48.2052702)",50,,,
"[38074435, 165401093]",,Berliner Straße,unclassified,,False,True,145.49499999999998,"LINESTRING (12.4047119 48.2058403, 12.4045632 48.2059566, 12.40418 48.2062158, 12.4039429 48.2063639, 12.4038653 48.2064141, 12.4034522 48.2066812, 12.403336 48.2067723)",30,6,,
"[24559637, 1058907341]",3,Berliner Straße,tertiary,,False,True,83.188,"LINESTRING (12.4047119 48.2058403, 12.4048076 48.2057654, 12.4048774 48.2057143, 12.4050631 48.2055853, 12.4052469 48.2054686, 12.4053698 48.2053841, 12.4054917 48.2053027)",,,,
24638328,,Teplitzer Straße,tertiary,,False,True,42.772,"LINESTRING (12.4060636 48.2066707, 12.4056576 48.2063973)",50,,,
24638328,,Teplitzer Straße,tertiary,,False,False,145.92000000000002,"LINESTRING (12.4060636 48.2066707, 12.4062014 48.2067564, 12.4066321 48.2070603, 12.4067213 48.2071198, 12.407367 48.2075269, 12.4074674 48.2075903)",50,,,
27036251,,Duxer Straße,unclassified,,False,True,267.006,"LINESTRING (12.4060636 48.2066707, 12.4064945 48.2063836, 12.4070538 48.206011, 12.4072096 48.2059072, 12.407353 48.2058492, 12.4075064 48.2058272, 12.4078346 48.2059762, 12.4085192 48.2062874, 12.4088767 48.2064492)",,,,
24559637,,Berliner Straße,tertiary,,False,False,60.348,"LINESTRING (12.4069667 48.2042408, 12.4064414 48.2046555)",,,,
"[165401091, 24558173, 24559637, 1054090639]",,"['Bayernbrücke', 'Berliner Straße']",tertiary,,False,"[False, True]",183.36499999999998,"LINESTRING (12.4069667 48.2042408, 12.40739 48.2038831, 12.4077153 48.2036184, 12.4080585 48.2033769, 12.4080849 48.2033597, 12.4083994 48.2031514, 12.4084576 48.2031141, 12.4085663 48.2030398, 12.4086077 48.2030095)",,,yes,
24559641,,Ratiborer Straße,residential,,False,False,113.727,"LINESTRING (12.4069667 48.2042408, 12.4070118 48.2042565, 12.407196 48.2043453, 12.4073256 48.2044058, 12.4074322 48.2044575, 12.4075921 48.2045051, 12.4078573 48.2045729, 12.4080729 48.2046424, 12.4083091 48.2047263)",50,,,
24559641,,Ratiborer Straße,residential,,False,False,110.30700000000002,"LINESTRING (12.4083091 48.2047263, 12.4085223 48.2048345, 12.4087561 48.2049677, 12.4089232 48.2050718, 12.409134 48.2052074, 12.4092658 48.2053101, 12.4093054 48.2053488, 12.4093262 48.2053846, 12.4093392 48.205424)",50,,,
24559641,,Ratiborer Straße,residential,,False,True,113.72699999999999,"LINESTRING (12.4083091 48.2047263, 12.4080729 48.2046424, 12.4078573 48.2045729, 12.4075921 48.2045051, 12.4074322 48.2044575, 12.4073256 48.2044058, 12.407196 48.2043453, 12.4070118 48.2042565, 12.4069667 48.2042408)",50,,,
37090843,,Nikolsburger Straße,residential,,False,False,84.338,"LINESTRING (12.4083091 48.2047263, 12.4086894 48.2043658, 12.4089642 48.2041061)",,,,
24559642,,,unclassified,,False,True,127.306,"LINESTRING (12.4088767 48.2064492, 12.4090828 48.2063083, 12.4091643 48.2062561, 12.4092473 48.2061873, 12.4093196 48.2061123, 12.4093501 48.2060631, 12.4093706 48.2060089, 12.4093787 48.2059493, 12.4093805 48.2058226, 12.4093639 48.2055975, 12.4093576 48.2055336, 12.4093392 48.205424)",50,,,
