osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,width,ref
25379743,1,Pingel-Anton-Platz,tertiary,50,roundabout,True,False,21.171,"LINESTRING (8.0476375 52.8451429, 8.0476492 52.8451509, 8.0476898 52.8451885, 8.047707 52.8452322, 8.0476988 52.8452769, 8.0476662 52.8453173)",,,
1158051482,,Emsteker Straße,tertiary,50,,False,False,140.89000000000001,"LINESTRING (8.0476375 52.8451429, 8.0477426 52.8450888, 8.0477734 52.8450721, 8.0479017 52.8450022, 8.0486302 52.8446072, 8.0489177 52.8444597, 8.0492386 52.8443265)",,,
163425079,2,Hagenstraße,tertiary,50,,False,True,37.916,"LINESTRING (8.0476662 52.8453173, 8.0477142 52.8453394, 8.0477929 52.845376, 8.0478248 52.8453909, 8.0478757 52.8454146, 8.048077 52.8455492)",,,
340534705,1,Pingel-Anton-Platz,tertiary,50,roundabout,True,False,25.298,"LINESTRING (8.0476662 52.8453173, 8.0476129 52.8453487, 8.0475713 52.8453621, 8.0475258 52.8453699, 8.0474514 52.8453696, 8.0473816 52.8453541, 8.0473333 52.8453336)",,,
165281899,1,Pingel-Anton-Platz,tertiary,50,roundabout,True,False,28.298000000000002,"LINESTRING (8.0473333 52.8453336, 8.0473243 52.8453254, 8.0472866 52.8452866, 8.0472727 52.8452425, 8.0472876 52.8451944, 8.04732 52.8451587, 8.0473755 52.8451287, 8.0474055 52.8451199)",,,
440651282,2,Bahnhofstraße,residential,50,,False,False,17.909000000000002,"LINESTRING (8.0473333 52.8453336, 8.047289 52.8453764, 8.0472399 52.8454089, 8.047204 52.8454326, 8.0471501 52.8454439)",,,
25379744,2,Pingel-Anton,tertiary,50,,False,False,53.512,"LINESTRING (8.0474055 52.8451199, 8.0473447 52.8450764, 8.0473159 52.845038, 8.0473001 52.845017, 8.0472216 52.8449127, 8.0471025 52.844679)",,,
340534704,1,Pingel-Anton-Platz,tertiary,50,roundabout,True,False,16.603,"LINESTRING (8.0474055 52.8451199, 8.0474445 52.8451119, 8.0475189 52.8451103, 8.0475898 52.8451238, 8.0476375 52.8451429)",,,
"[59704921, 25379745, 103190085, 163425079]","['2', '3']",Hagenstraße,tertiary,50,,False,False,269.988,"LINESTRING (8.0469788 52.84892, 8.0470283 52.8487994, 8.0471703 52.8483957, 8.0471878 52.84835, 8.0471999 52.8483184, 8.0472508 52.8481757, 8.0472884 52.8480668, 8.0473324 52.8479394, 8.0474077 52.8477422, 8.0476149 52.8471995, 8.0476598 52.847094, 8.0478567 52.8465507)",yes,,
"[1247806718, 30499895]","['2', '3']",Osterstraße,tertiary,50,,False,False,127.14699999999999,"LINESTRING (8.0469788 52.84892, 8.047128 52.8489528, 8.0473678 52.8490348, 8.0475326 52.849097, 8.0476674 52.8491576, 8.0477641 52.849201, 8.0485589 52.8495433)",,4,
