osmid,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,ref,name,width
"[695702378, 750931437, 359436958]",tertiary,roundabout,True,False,24.755000000000003,"LINESTRING (7.8217895 50.6616516, 7.8217798 50.6616326, 7.8217744 50.6616144, 7.821773 50.6615956, 7.8217816 50.6615749, 7.8217952 50.6615503, 7.8218232 50.6615243, 7.821861 50.6615055, 7.8219047 50.6614956, 7.8219463 50.6614931)",,,,,
32143608,tertiary,roundabout,True,False,14.065999999999999,"LINESTRING (7.8195419 50.662818, 7.8195158 50.6627988, 7.8195003 50.6627755, 7.8194969 50.6627503, 7.8195059 50.6627257, 7.8195265 50.662704)",1,50,,,
970311295,tertiary,,False,True,103.181,"LINESTRING (7.8195419 50.662818, 7.8192558 50.662971, 7.8191089 50.6630514, 7.8184094 50.6634058)",2,50,K 24,Graf-Heinrich-Straße,
23486336,tertiary,,False,False,59.74,"LINESTRING (7.8195265 50.662704, 7.819411 50.6626569, 7.8187973 50.6624303)",2,50,,Koblenzer Straße,
32143608,tertiary,roundabout,True,False,18.679000000000002,"LINESTRING (7.8195265 50.662704, 7.8195603 50.662686, 7.8196018 50.6626764, 7.819646 50.6626763, 7.8196876 50.6626857, 7.8197216 50.6627036, 7.819744 50.6627277)",1,50,,,
1249411158,residential,,False,True,90.681,"LINESTRING (7.8197134 50.6628141, 7.820523 50.6634479)",,30,,Gartenstraße,4
32143608,tertiary,roundabout,True,False,13.215,"LINESTRING (7.8197134 50.6628141, 7.819683 50.662828, 7.8196475 50.6628357, 7.81961 50.6628366, 7.8195738 50.6628305, 7.8195419 50.662818)",1,50,,,
"[130981329, 23486370]",residential,,False,False,22.652,"LINESTRING (7.8213868 50.6619276, 7.8214066 50.6619443, 7.8214447 50.6619712, 7.8214913 50.6619994, 7.8216204 50.6620665)",,,,Bahnhofstraße,
"[1246827891, 130981331]",tertiary,,True,False,57.772999999999996,"LINESTRING (7.8213868 50.6619276, 7.8213004 50.6619738, 7.8212844 50.6619831, 7.8211597 50.6620486, 7.821121 50.662069, 7.8210784 50.6620888, 7.8209795 50.662122, 7.8209391 50.6621387, 7.8208466 50.6621867, 7.8207259 50.6622318)",1,50,K 24,Graf-Heinrich-Straße,
"[37231251, 1249142235]",living_street,,False,False,51.647,"LINESTRING (7.8231297 50.6619908, 7.8232352 50.6618053, 7.823291 50.6616638, 7.8233375 50.661546)",,,,Nottorstraße,6
"[207164752, 119302433]",tertiary,,False,False,322.52299999999997,"LINESTRING (7.8231297 50.6619908, 7.8241208 50.6622091, 7.8242153 50.6622306, 7.8244308 50.6622796, 7.8245846 50.6623051, 7.8247504 50.6623148, 7.8249501 50.6623133, 7.8251621 50.6623104, 7.8253636 50.6622902, 7.8255584 50.6622504, 7.8257452 50.6621694, 7.8258701 50.662095, 7.8259082 50.6620725, 7.8259608 50.6620419, 7.8260164 50.6619966, 7.8261338 50.6618924, 7.8266474 50.6613794, 7.826708 50.6613181, 7.8267439 50.6612914, 7.8267853 50.6612685, 7.8268325 50.6612511)",2,50,,Alexanderring,
"[207164752, 27498559]",tertiary,,False,"[False, True]",84.156,"LINESTRING (7.8231297 50.6619908, 7.8230813 50.6619782, 7.8228816 50.6619263, 7.8223349 50.6616888, 7.8222842 50.6616685, 7.8222516 50.6616566, 7.8221957 50.6616392, 7.8221694 50.6616312, 7.8221379 50.6616231, 7.8220993 50.6616165)",2,50,,Alexanderring,
30903711,residential,,False,False,10.54,"LINESTRING (7.8261334 50.6607349, 7.8262564 50.6607888)",,30,,Friedrichstraße,
111571193,secondary,,False,False,166.24499999999998,"LINESTRING (7.8198746 50.6650542, 7.8199739 50.6651543, 7.8201843 50.6653521, 7.8203633 50.6655329, 7.8204069 50.665616, 7.8204307 50.6657073, 7.8204353 50.6659656, 7.8204444 50.6660299, 7.8204591 50.6660972, 7.8204739 50.6661413, 7.8204943 50.666188, 7.8205222 50.6662288, 7.8205679 50.6662775, 7.8207212 50.6664036)",2,50,L 288,Nisterstraße,
"[141126114, 141126123]",residential,,False,"[False, True]",422.299,"LINESTRING (7.8198746 50.6650542, 7.819425 50.6652028, 7.8190077 50.665276, 7.818129 50.6655464, 7.8182761 50.6658554, 7.8185342 50.6662539, 7.8185369 50.666258, 7.818895 50.666811, 7.8207212 50.6664036)",,,,"['Zur Tiefenbach', 'Marienstätter Weg']","['4.5', '4']"
166811196,secondary,,False,True,36.952,"LINESTRING (7.8198746 50.6650542, 7.8197663 50.664945, 7.8197063 50.6648826, 7.8195873 50.6647764)",2,50,L 288,Nisterstraße,
68006468,secondary,,False,False,101.22299999999998,"LINESTRING (7.8297897 50.6599147, 7.8296933 50.6599594, 7.8295919 50.6600116, 7.828788 50.6604646, 7.8286987 50.6605057)",,50,L 288,Borngasse,
68006468,secondary,,False,True,115.47900000000001,"LINESTRING (7.8297897 50.6599147, 7.8299179 50.6598625, 7.8300167 50.659829, 7.8304313 50.6597259, 7.8310919 50.6595687, 7.8313088 50.6595362)",,50,L 288,Borngasse,
141482229,living_street,,False,True,173.076,"LINESTRING (7.8297897 50.6599147, 7.8297537 50.6598895, 7.829718 50.6598742, 7.8296722 50.6598631, 7.8287124 50.659722, 7.8284367 50.6597007, 7.8276218 50.6595868, 7.8274097 50.6595871)",,,,Schulstraße,4
38114196,secondary,,True,False,23.526999999999997,"LINESTRING (7.8267986 50.661028, 7.8268273 50.6610749, 7.8268681 50.6611252, 7.8269132 50.6611816, 7.8269425 50.6612187)",,50,L 288,Alpenroder Straße,
68006468,secondary,,False,True,150.588,"LINESTRING (7.8267986 50.661028, 7.8268149 50.6609877, 7.8268316 50.6609596, 7.8268505 50.6609391, 7.8268826 50.6609207, 7.8269281 50.6609056, 7.827642 50.6606896, 7.827729 50.6606688, 7.8278228 50.6606523, 7.8284686 50.6605651, 7.8285506 50.6605508, 7.8286225 50.6605322, 7.8286987 50.6605057)",,50,L 288,Borngasse,
1246819626,residential,,False,True,10.196,"LINESTRING (7.8267986 50.661028, 7.8267698 50.6610197, 7.8267319 50.6610037, 7.8266766 50.6609792)",,30,,Friedrichstraße,
"[207164752, 119302433]",tertiary,,False,True,322.52299999999997,"LINESTRING (7.8268325 50.6612511, 7.8267853 50.6612685, 7.8267439 50.6612914, 7.826708 50.6613181, 7.8266474 50.6613794, 7.8261338 50.6618924, 7.8260164 50.6619966, 7.8259608 50.6620419, 7.8259082 50.6620725, 7.8258701 50.662095, 7.8257452 50.6621694, 7.8255584 50.6622504, 7.8253636 50.6622902, 7.8251621 50.6623104, 7.8249501 50.6623133, 7.8247504 50.6623148, 7.8245846 50.6623051, 7.8244308 50.6622796, 7.8242153 50.6622306, 7.8241208 50.6622091, 7.8231297 50.6619908)",2,50,,Alexanderring,
222561798,secondary,,True,False,25.494999999999997,"LINESTRING (7.8268325 50.6612511, 7.8268057 50.6612098, 7.8267896 50.6611773, 7.8267816 50.6611397, 7.8267799 50.6611098, 7.8267854 50.6610774, 7.8267986 50.661028)",,50,L 288,Alpenroder Straße,
390584233,secondary,,False,False,8.561,"LINESTRING (7.8268325 50.6612511, 7.8268895 50.6612321, 7.8269425 50.6612187)",2,50,L 281,Alexanderring,
222561918,secondary,,False,False,351.36600000000004,"LINESTRING (7.8269425 50.6612187, 7.826996 50.6612099, 7.8270483 50.6612082, 7.827098 50.6612091, 7.8271517 50.6612124, 7.827194 50.6612196, 7.8272668 50.6612364, 7.8273364 50.6612564, 7.8277213 50.6613963, 7.8284105 50.6616529, 7.8286322 50.6617307, 7.8287069 50.6617534, 7.8287724 50.6617703, 7.8288352 50.6617821, 7.8307765 50.6621084, 7.8311126 50.6621654, 7.8313113 50.6622187, 7.8315676 50.6623025)",2,50,L 281,Leipziger Straße,
390584233,secondary,,False,True,8.561,"LINESTRING (7.8269425 50.6612187, 7.8268895 50.6612321, 7.8268325 50.6612511)",2,50,L 281,Alexanderring,
"[451628081, 30712724]",residential,,False,False,17.662,"LINESTRING (7.8315676 50.6623025, 7.8316183 50.6622747, 7.831757 50.6621985)",,30,,Dehlinger Weg,5
"[166811193, 119566069]",secondary,,False,False,17.788,"LINESTRING (7.8315676 50.6623025, 7.8316453 50.6623356, 7.8317826 50.6623861)",2,50,L 281,Leipziger Straße,
222561918,secondary,,False,True,351.366,"LINESTRING (7.8315676 50.6623025, 7.8313113 50.6622187, 7.8311126 50.6621654, 7.8307765 50.6621084, 7.8288352 50.6617821, 7.8287724 50.6617703, 7.8287069 50.6617534, 7.8286322 50.6617307, 7.8284105 50.6616529, 7.8277213 50.6613963, 7.8273364 50.6612564, 7.8272668 50.6612364, 7.827194 50.6612196, 7.8271517 50.6612124, 7.827098 50.6612091, 7.8270483 50.6612082, 7.826996 50.6612099, 7.8269425 50.6612187)",2,50,L 281,Leipziger Straße,
141126116,secondary,,False,False,174.292,"LINESTRING (7.8184094 50.6634058, 7.8185078 50.6634754, 7.8185649 50.6635287, 7.8186062 50.6635775, 7.8189523 50.6641058, 7.8192226 50.6643926, 7.8195229 50.6647112, 7.8195873 50.6647764)",2,50,L 288,Nisterstraße,
970311295,tertiary,,False,False,103.181,"LINESTRING (7.8184094 50.6634058, 7.8191089 50.6630514, 7.8192558 50.662971, 7.8195419 50.662818)",2,50,K 24,Graf-Heinrich-Straße,
30903684,residential,,False,False,35.816,"LINESTRING (7.8215466 50.6610224, 7.8219509 50.6608273)",,30,,Johann-August-Ring,5
84505463,tertiary,,False,False,114.584,"LINESTRING (7.8215466 50.6610224, 7.8214198 50.6609177, 7.8210791 50.6606708, 7.8207931 50.660503, 7.8204063 50.6602921)",2,50,K 24,Steinweg,
"[84505435, 84505463]",tertiary,,False,"[False, True]",60.87499999999999,"LINESTRING (7.8215466 50.6610224, 7.8218389 50.6612835, 7.8219056 50.6613389, 7.8219224 50.6613663, 7.8219319 50.6613894, 7.8219403 50.6614166, 7.8219449 50.6614548, 7.8219463 50.6614931)",2,50,K 24,Steinweg,
23486336,tertiary,,False,True,59.74,"LINESTRING (7.8187973 50.6624303, 7.819411 50.6626569, 7.8195265 50.662704)",2,50,,Koblenzer Straße,
"[141809243, 81016703]",tertiary,,False,False,29.917,"LINESTRING (7.8187973 50.6624303, 7.8185345 50.6623196, 7.8184453 50.66228)",2,50,,Koblenzer Straße,
51740704,residential,,False,True,110.23700000000001,"LINESTRING (7.8183706 50.6621603, 7.8183812 50.6620933, 7.8184166 50.6616928, 7.8184826 50.6614364, 7.8185497 50.6612811, 7.8186455 50.661199)",,30,,Tilmannstraße,
1138499987,tertiary,roundabout,True,False,16.739,"LINESTRING (7.8183706 50.6621603, 7.8184164 50.662174, 7.8184388 50.6621874, 7.8184551 50.6622039, 7.8184659 50.6622295, 7.8184625 50.6622559, 7.8184453 50.66228)",1,,,,
73061719,residential,,True,False,161.538,"LINESTRING (7.8216204 50.6620665, 7.8219682 50.6622541, 7.822389 50.6624163, 7.8227731 50.6626336, 7.8234699 50.6629169)",,30,,Bahnhofstraße,
"[130981329, 23486370]",residential,,False,True,22.652,"LINESTRING (7.8216204 50.6620665, 7.8214913 50.6619994, 7.8214447 50.6619712, 7.8214066 50.6619443, 7.8213868 50.6619276)",,,,Bahnhofstraße,
37014097,residential,,False,False,6.792,"LINESTRING (7.8226444 50.6604653, 7.8226947 50.6604132)",,30,,Johann-August-Ring,5
30903684,residential,,False,True,63.377,"LINESTRING (7.8226444 50.6604653, 7.8225638 50.6605147, 7.8221633 50.660728, 7.8219509 50.6608273)",,30,,Johann-August-Ring,5
31293404,residential,,False,True,25.826,"LINESTRING (7.8318906 50.6585822, 7.831547 50.6585016)",,30,,Gerberweg,
31293405,residential,,False,False,90.055,"LINESTRING (7.8318906 50.6585822, 7.8314671 50.6592223, 7.8313882 50.6593267)",,30,,Alte Frankfurter Straße,3
141126121,residential,,True,False,141.445,"LINESTRING (7.8211038 50.6617974, 7.8209349 50.6616668, 7.8207556 50.6615395, 7.8203484 50.6613544, 7.8202845 50.6613345, 7.8199195 50.661221, 7.8196899 50.6611495, 7.8194694 50.6610954)",,30,,Tilmannstraße,
"[32143482, 695702381]",residential,,False,True,18.329,"LINESTRING (7.8211038 50.6617974, 7.8211737 50.6618525, 7.8212686 50.6619249)",,,,Tilmannstraße,
36998183,residential,,False,False,57.38,"LINESTRING (7.8234699 50.6629169, 7.8228949 50.6632822)",,,,Gartenstraße,4
"[1249413056, 79804009, 1249413057]",residential,,False,False,86.20899999999999,"LINESTRING (7.8234699 50.6629169, 7.8240049 50.6625646, 7.8240901 50.6624328, 7.8241526 50.6623362, 7.8241762 50.6622997)",,,,Jahnstraße,4
"[119155520, 119155521, 119302441, 78490132, 36993950, 119155519]",residential,,False,True,770.633,"LINESTRING (7.8234699 50.6629169, 7.8238611 50.6629824, 7.8244682 50.6630608, 7.8246236 50.6630809, 7.8255787 50.6631833, 7.8262765 50.6632747, 7.826846 50.6633573, 7.8274759 50.6635026, 7.8280613 50.6638387, 7.8290211 50.6642067, 7.8298682 50.6645332, 7.8305271 50.6639355, 7.8306543 50.6638201, 7.8308996 50.6635993, 7.8316473 50.6629415, 7.8316892 50.6628949, 7.8318333 50.6627228, 7.8318908 50.6626496, 7.8320302 50.6624716)",,"['50', '30']",,"['In der Burgbitz', 'Am Burggarten']","['4.5', '4', '4;5']"
