osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,bridge
244776966,2,St.-Josefs-Kirchplatz,tertiary,50,False,False,22.754,"LINESTRING (10.1760272 47.9842991, 10.1757287 47.9842549)",,,
"[20300984, 244776966]",2,St.-Josefs-Kirchplatz,tertiary,50,False,True,107.38700000000001,"LINESTRING (10.1760272 47.9842991, 10.1761467 47.9843147, 10.1762411 47.984327, 10.1764679 47.9843512, 10.1766669 47.9843716, 10.1771204 47.9844151, 10.1771577 47.9844187, 10.1771838 47.9844212, 10.1772002 47.9844223, 10.1773572 47.9844333, 10.1774542 47.9844393)",,,
1262675416,2,Kaisergraben,tertiary,50,False,True,50.559,"LINESTRING (10.178233 47.9823847, 10.1780565 47.9824634, 10.1780337 47.9824735, 10.1780241 47.9824776, 10.1778716 47.9825496, 10.1777993 47.9826044, 10.1777588 47.9826562, 10.1777382 47.9826832)",,,
24641094,,Weberstraße,residential,30,False,False,35.953,"LINESTRING (10.1794905 47.9832476, 10.1795474 47.9832384, 10.1796064 47.9832178, 10.1796506 47.9831843, 10.1797522 47.9831157, 10.1798422 47.983038)",9,,
1093948087,,Lindauer Straße,residential,30,True,False,43.122,"LINESTRING (10.1794905 47.9832476, 10.1794773 47.9832096, 10.1794585 47.9831781, 10.1794343 47.9831412, 10.1794091 47.9831118, 10.1792972 47.9830385, 10.1791374 47.9829547)",5.5,,
248702043,,Herrenstraße,living_street,,False,True,10.174,"LINESTRING (10.1799181 47.9844867, 10.1799595 47.9845739)",6,,
19904489,,Lindauer Straße,living_street,,False,False,11.159,"LINESTRING (10.1799181 47.9844867, 10.1798687 47.9844252, 10.1798474 47.9843982)",6,,
"[85385459, 20300999]",,Schweizerberg,"['living_street', 'residential']",30,False,False,60.098,"LINESTRING (10.1799181 47.9844867, 10.1797656 47.9844824, 10.1796008 47.9844782, 10.1795409 47.9844753, 10.1794688 47.9844718, 10.1793292 47.9844654, 10.1791122 47.984454)",6,,
27507545,,Roßmarkt,living_street,,False,False,42.286,"LINESTRING (10.1799181 47.9844867, 10.1799747 47.9844908, 10.1800587 47.9844969, 10.1801603 47.9845042, 10.1803773 47.9845225, 10.1804823 47.9845314)",6,,
"[20300984, 244776966]",2,St.-Josefs-Kirchplatz,tertiary,50,False,False,107.387,"LINESTRING (10.1774542 47.9844393, 10.1773572 47.9844333, 10.1772002 47.9844223, 10.1771838 47.9844212, 10.1771577 47.9844187, 10.1771204 47.9844151, 10.1766669 47.9843716, 10.1764679 47.9843512, 10.1762411 47.984327, 10.1761467 47.9843147, 10.1760272 47.9842991)",,,
497474706,2,Königsgraben,tertiary,50,False,True,180.104,"LINESTRING (10.1774542 47.9844393, 10.1774067 47.9845594, 10.1773904 47.9846006, 10.1773441 47.984718, 10.1772409 47.9849651, 10.1772055 47.9850544, 10.1771585 47.9851426, 10.1771099 47.9852226, 10.1770535 47.9852946, 10.1770027 47.9853501, 10.1769459 47.9853989, 10.1768463 47.9854671, 10.1767938 47.9854985, 10.1767276 47.9855381, 10.1766626 47.9855796, 10.1766 47.9856356, 10.1765601 47.985687, 10.1765306 47.9857531, 10.1764954 47.9858305, 10.1764758 47.9858833)",,,
"[598643513, 1266399276]",,Schweizerberg,residential,30,False,True,103.122,"LINESTRING (10.1774542 47.9844393, 10.1776567 47.9844345, 10.1777293 47.9844344, 10.1778388 47.9844342, 10.1781701 47.9844295, 10.1785552 47.9844303, 10.1786956 47.9844333, 10.1788392 47.9844393)",10,,
1262675416,2,Kaisergraben,tertiary,50,False,False,201.83800000000002,"LINESTRING (10.1774542 47.9844393, 10.1775118 47.9842357, 10.1775224 47.9842029, 10.1775316 47.9841741, 10.1776298 47.9839109, 10.1777143 47.9837087, 10.1778054 47.9834902, 10.1778783 47.9833044, 10.1778911 47.9832432, 10.1778954 47.9832014, 10.1778905 47.9831419, 10.1778725 47.9830947, 10.1778392 47.9830343, 10.1777714 47.9829399, 10.1777299 47.9828621, 10.1777187 47.9828178, 10.1777169 47.9827523, 10.1777382 47.9826832)",,,
19904492,2,Königsgraben,tertiary,50,False,True,113.551,"LINESTRING (10.1764758 47.9858833, 10.176461 47.9859461, 10.1764562 47.9859914, 10.1764528 47.9860238, 10.1764597 47.9860927, 10.1764917 47.9862235, 10.176533 47.9863468, 10.1766052 47.9865328, 10.1766485 47.9866551, 10.1766842 47.9867595, 10.1766943 47.9868197, 10.1767053 47.9868855)",,,
95967905,,Buxacher Straße,unclassified,30,False,True,76.89699999999999,"LINESTRING (10.1764758 47.9858833, 10.1762519 47.9858597, 10.1762122 47.9858555, 10.1757784 47.9857934, 10.1754596 47.9857597)",9.5,,
497474706,2,Königsgraben,tertiary,50,False,False,180.10399999999998,"LINESTRING (10.1764758 47.9858833, 10.1764954 47.9858305, 10.1765306 47.9857531, 10.1765601 47.985687, 10.1766 47.9856356, 10.1766626 47.9855796, 10.1767276 47.9855381, 10.1767938 47.9854985, 10.1768463 47.9854671, 10.1769459 47.9853989, 10.1770027 47.9853501, 10.1770535 47.9852946, 10.1771099 47.9852226, 10.1771585 47.9851426, 10.1772055 47.9850544, 10.1772409 47.9849651, 10.1773441 47.984718, 10.1773904 47.9846006, 10.1774067 47.9845594, 10.1774542 47.9844393)",,,
"[209143259, 209143260, 497474711]",,"['Zangmeisterstraße', 'Buxacher Straße']",residential,30,False,False,149.719,"LINESTRING (10.1764758 47.9858833, 10.1766278 47.9858993, 10.1774141 47.9859732, 10.1776368 47.9859889, 10.1777819 47.9859959, 10.1784718 47.9860487)","['4', '8', '6.5']",building_passage,
19904492,2,Königsgraben,tertiary,50,False,False,113.55099999999999,"LINESTRING (10.1767053 47.9868855, 10.1766943 47.9868197, 10.1766842 47.9867595, 10.1766485 47.9866551, 10.1766052 47.9865328, 10.176533 47.9863468, 10.1764917 47.9862235, 10.1764597 47.9860927, 10.1764528 47.9860238, 10.1764562 47.9859914, 10.176461 47.9859461, 10.1764758 47.9858833)",,,
19904492,2,Königsgraben,tertiary,50,False,True,46.984,"LINESTRING (10.1767053 47.9868855, 10.1767284 47.9870222, 10.1767484 47.9871582, 10.1767616 47.9872328, 10.1767708 47.9872697, 10.1767844 47.9873043)",,,
19904492,2,Königsgraben,tertiary,50,False,False,46.983999999999995,"LINESTRING (10.1767844 47.9873043, 10.1767708 47.9872697, 10.1767616 47.9872328, 10.1767484 47.9871582, 10.1767284 47.9870222, 10.1767053 47.9868855)",,,
"[19904492, 1214830351]",2,Königsgraben,tertiary,50,False,True,328.704,"LINESTRING (10.1767844 47.9873043, 10.1768324 47.9873543, 10.1769493 47.9874075, 10.1770764 47.987449, 10.177293 47.9875035, 10.1775068 47.9875542, 10.1776971 47.9876007, 10.1777982 47.9876288, 10.1778756 47.9876624, 10.1779302 47.9876978, 10.1779727 47.987736, 10.1780015 47.9877755, 10.1780232 47.9878369, 10.1780212 47.9878967, 10.1780137 47.9879643, 10.1780001 47.9880663, 10.1779858 47.988139, 10.1779779 47.9882374, 10.1779953 47.9883308, 10.1780291 47.9884517, 10.1780576 47.9885926, 10.1780619 47.9887687, 10.1780488 47.9888653, 10.1780533 47.9889705, 10.1780816 47.9890189, 10.1781577 47.9890968, 10.1783853 47.9892822, 10.1785141 47.9893632, 10.1785625 47.9893936, 10.178844 47.9895379)",,,
"[27004134, 19904494]",,"['Schererstraße', 'Zeppelinstraße']","['living_street', 'residential']",,False,"[False, True]",148.30700000000002,"LINESTRING (10.1767844 47.9873043, 10.1766426 47.9873487, 10.1765626 47.9873804, 10.1765129 47.9874189, 10.1764814 47.9874654, 10.1764544 47.9875239, 10.1764382 47.9875867, 10.1764216 47.9876416, 10.1763982 47.987719, 10.1763565 47.9878249, 10.1763232 47.9879043, 10.1762857 47.9879893, 10.1762292 47.9880772, 10.1761587 47.9881454, 10.1760859 47.9882168, 10.1759027 47.988183, 10.1757106 47.988153)","['7', '6']",,
598643508,,Zangmeisterstraße,residential,30,False,False,11.062,"LINESTRING (10.1784718 47.9860487, 10.1786192 47.9860615)",4.5,,
"[209143259, 209143260, 497474711]",,"['Zangmeisterstraße', 'Buxacher Straße']",residential,30,False,True,149.719,"LINESTRING (10.1784718 47.9860487, 10.1777819 47.9859959, 10.1776368 47.9859889, 10.1774141 47.9859732, 10.1766278 47.9858993, 10.1764758 47.9858833)","['4', '8', '6.5']",building_passage,
