osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,access
"[74002568, 237368576]",K 10,Triftstraße,tertiary,50,False,False,57.889,1,"LINESTRING (6.1314623 51.7818302, 6.1314734 51.7818431, 6.1314838 51.7818557, 6.1315155 51.7818802, 6.1318841 51.7821659, 6.1319758 51.782242)",
162276808,,Triftstraße,residential,50,False,True,67.035,,"LINESTRING (6.1314623 51.7818302, 6.1314239 51.7818449, 6.1313921 51.7818636, 6.1312718 51.7820087, 6.1311798 51.7820836, 6.1310228 51.7821878, 6.1309089 51.7822578, 6.1308502 51.7822905)",
"[13046216, 707398644]",,Hagsche Straße,residential,50,False,False,60.396,4,"LINESTRING (6.1311602 51.782603, 6.1313256 51.7826914, 6.1316322 51.7828626, 6.131817 51.7829634)",
"[173535085, 136854335]",L 484,Hoffmannallee,secondary,50,False,True,39.793000000000006,3,"LINESTRING (6.1311602 51.782603, 6.1309731 51.7824775, 6.1307648 51.7823418)",
323137727,,Lindenallee,secondary,50,False,True,69.00399999999999,4,"LINESTRING (6.1311602 51.782603, 6.1313283 51.7825294, 6.1319436 51.7822597, 6.1319758 51.782242)",
"[44007518, 529019093, 529019094]",L 484,Lindenallee,secondary,50,False,False,83.838,"['4', '3']","LINESTRING (6.1311602 51.782603, 6.1309385 51.7827081, 6.1308968 51.7827264, 6.1306372 51.7828553, 6.1305328 51.7829143, 6.1304269 51.7829945, 6.1303555 51.7830612, 6.1302987 51.7831247)",
"[1040360730, 186071419, 13046212]",L 484,Ringstraße,secondary,50,False,False,57.745000000000005,2,"LINESTRING (6.1302987 51.7831247, 6.1302852 51.7832165, 6.1303035 51.7833184, 6.1303696 51.7834876, 6.1304557 51.7836284)",
"[186071417, 529019092, 22724799]",K 15,Lindenallee,secondary,50,False,True,186.114,3,"LINESTRING (6.1302987 51.7831247, 6.1301277 51.7831428, 6.1300627 51.7831495, 6.1299753 51.7831684, 6.1297737 51.7832283, 6.1296013 51.7833007, 6.1295745 51.7833195, 6.1293844 51.7834066, 6.1286708 51.7837549, 6.1285985 51.7837895, 6.1284079 51.78388, 6.1282324 51.7839629, 6.1280705 51.7840387)",
"[529019093, 44007518, 529019094]",L 484,Lindenallee,secondary,50,False,True,83.838,"['4', '3']","LINESTRING (6.1302987 51.7831247, 6.1303555 51.7830612, 6.1304269 51.7829945, 6.1305328 51.7829143, 6.1306372 51.7828553, 6.1308968 51.7827264, 6.1309385 51.7827081, 6.1311602 51.782603)",
156645317,L 484,Ringstraße,secondary,50,False,False,68.748,,"LINESTRING (6.1306508 51.7840707, 6.130673 51.7843961, 6.1306621 51.7846886)",
