osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,junction
18371808,Heimstettner Weg,residential,False,False,71.28999999999999,"LINESTRING (11.7185083 48.1712954, 11.7185079 48.1712352, 11.7185274 48.171161, 11.7186697 48.1709399, 11.7188326 48.1706982)",,,,
25920334,Erdinger Straße,tertiary,False,False,244.11100000000002,"LINESTRING (11.7185083 48.1712954, 11.7187197 48.1713399, 11.7188124 48.1713595, 11.7192348 48.1714476, 11.7198501 48.1715759, 11.7206443 48.1717447, 11.721323 48.171877, 11.7216543 48.1719412)",2,50,,
25920334,Erdinger Straße,tertiary,False,True,139.403,"LINESTRING (11.7185083 48.1712954, 11.7182568 48.1712547, 11.7179668 48.1712136, 11.7179413 48.1712103, 11.7178193 48.1711954, 11.7177492 48.1711867, 11.7174514 48.1711488, 11.7172971 48.1711292, 11.7172853 48.1711277, 11.7169805 48.1710952, 11.7169275 48.1710896, 11.7167942 48.1710816, 11.7166596 48.1710868)",2,50,,
31342610,Sonnenstraße,residential,False,True,287.574,"LINESTRING (11.7185083 48.1712954, 11.7184623 48.171409, 11.7184167 48.1714671, 11.718145 48.171813, 11.7180735 48.1719051, 11.7180047 48.1719982, 11.7179694 48.1720459, 11.7179444 48.1720791, 11.7177042 48.1723796, 11.7173986 48.1727485, 11.7167708 48.1735064, 11.7166916 48.1735753)",,30,,
4046590,Rotwandstraße,residential,False,True,57.371,"LINESTRING (11.7216543 48.1719412, 11.7217052 48.1718883, 11.7217937 48.1718013, 11.7218394 48.1717512, 11.7219252 48.1716677, 11.7220841 48.1715123)",,30,,
"[284109061, 4046719]",Saturnstraße,residential,False,False,39.408,"LINESTRING (11.7216543 48.1719412, 11.721565 48.1720667, 11.7214385 48.172265)",,30,,
25920334,Erdinger Straße,tertiary,False,True,244.11099999999996,"LINESTRING (11.7216543 48.1719412, 11.721323 48.171877, 11.7206443 48.1717447, 11.7198501 48.1715759, 11.7192348 48.1714476, 11.7188124 48.1713595, 11.7187197 48.1713399, 11.7185083 48.1712954)",2,50,,
8238317,Marsstraße,residential,False,False,106.636,"LINESTRING (11.7166916 48.1735753, 11.716815 48.173614, 11.7171294 48.1737086, 11.717238 48.1737413, 11.7179344 48.173957, 11.7179976 48.1739767)",,30,,
8238317,Marsstraße,residential,False,True,97.401,"LINESTRING (11.7166916 48.1735753, 11.7161324 48.1732876, 11.7159356 48.1731898, 11.7158585 48.1731515, 11.7157192 48.1730893, 11.7156339 48.1730571)",,30,,
31342610,Sonnenstraße,residential,False,False,287.574,"LINESTRING (11.7166916 48.1735753, 11.7167708 48.1735064, 11.7173986 48.1727485, 11.7177042 48.1723796, 11.7179444 48.1720791, 11.7179694 48.1720459, 11.7180047 48.1719982, 11.7180735 48.1719051, 11.718145 48.171813, 11.7184167 48.1714671, 11.7184623 48.171409, 11.7185083 48.1712954)",,30,,
31342610,Sonnenstraße,residential,False,True,153.51599999999996,"LINESTRING (11.7166916 48.1735753, 11.7166185 48.1736449, 11.7164644 48.1737529, 11.7163639 48.1738056, 11.716223 48.1738794, 11.7160503 48.1739661, 11.7156473 48.1741685, 11.7154751 48.1742424, 11.7154558 48.1742464, 11.7153668 48.1742646, 11.7152864 48.1742676, 11.7151414 48.1742484, 11.7150057 48.174214)",,30,,
14011629,Sternstraße,residential,False,False,210.60700000000003,"LINESTRING (11.7166215 48.1756323, 11.7171343 48.1750313, 11.7174133 48.1747157, 11.7176891 48.1744037, 11.7177518 48.1743129, 11.717848 48.1741819, 11.7179757 48.1740037, 11.7179976 48.1739767)",,30,,
202649641,Industriestraße,unclassified,False,False,173.614,"LINESTRING (11.7166215 48.1756323, 11.7150998 48.1750475, 11.7146945 48.1748917, 11.7145929 48.1748527)",,30,,
160781017,Münchner Straße,tertiary,False,True,7.346,"LINESTRING (11.7146338 48.1705541, 11.7146145 48.1704893)",2,50,,
14019666,Hofstattstraße,residential,False,False,193.45300000000003,"LINESTRING (11.7146338 48.1705541, 11.7145401 48.1705776, 11.7144627 48.170597, 11.7143646 48.1705729, 11.7137668 48.1703076, 11.713722 48.1702877, 11.7135613 48.1702164, 11.7135047 48.1701913, 11.7132376 48.1700979, 11.7128776 48.1699806, 11.7125675 48.1699316, 11.712306 48.1698941)",,,,
160781017,Münchner Straße,tertiary,False,False,21.317,"LINESTRING (11.7146338 48.1705541, 11.7146597 48.1706, 11.714686 48.1706377, 11.7147587 48.1707264)",2,50,,
144523525,Römerstraße,residential,False,True,124.069,"LINESTRING (11.7119746 48.1669502, 11.7118816 48.1670169, 11.7115941 48.1672653, 11.7115429 48.1673106, 11.7112142 48.1675798, 11.7110389 48.1677234, 11.7110257 48.1677551, 11.7110244 48.1678025, 11.7109965 48.1678396)",,30,,
30731353,Tassilostraße,residential,False,True,120.232,"LINESTRING (11.713594 48.1673673, 11.7136124 48.1673763, 11.7137534 48.1674453, 11.7150242 48.1678731)",,,,
14013284,Wallbergstraße,residential,False,True,134.473,"LINESTRING (11.7175983 48.1696266, 11.7186333 48.1699329, 11.7188984 48.1700026, 11.7192547 48.1700341, 11.719291 48.1700373)",,,,
