osmid,oneway,lanes,highway,maxspeed,width,reversed,length,geometry,ref,name,bridge
10714556,True,1,motorway_link,100,5.3,False,81.87800000000001,"LINESTRING (9.8252596 53.6481758, 9.8251187 53.6483197, 9.8250299 53.6483855, 9.8249891 53.6484268, 9.8249592 53.6484677, 9.8249439 53.6485081, 9.8249352 53.6485486, 9.824946 53.6485926, 9.8249662 53.6486254, 9.8249959 53.6486619, 9.8250366 53.6486967, 9.8251985 53.6488104)",,,
194080448,True,2,motorway,100,11,False,124.192,"LINESTRING (9.8252596 53.6481758, 9.8250144 53.6483189, 9.8246678 53.6485423, 9.8244121 53.6487151, 9.8240123 53.6490116)",A 23,,
10714563,True,1,motorway_link,,5.3,False,87.36500000000001,"LINESTRING (9.8239619 53.6488978, 9.8240048 53.6488184, 9.824087 53.6487324, 9.8241928 53.6486493, 9.824234 53.6486055, 9.8242653 53.6485586, 9.8242782 53.6485274, 9.8242852 53.6484952, 9.8242908 53.6484636, 9.8242891 53.6484316, 9.8242677 53.6483803, 9.8242303 53.6483342, 9.8241939 53.6483006, 9.8241476 53.6482689, 9.824049 53.6482078)",,,
28335134,True,2,motorway,100,11,False,128.834,"LINESTRING (9.8239619 53.6488978, 9.8242895 53.6486567, 9.8245545 53.6484814, 9.8248762 53.6482767, 9.8249131 53.6482479, 9.8252729 53.6480401)",A 23,,
126611609,False,3,secondary,50,,False,63.616,"LINESTRING (9.8288796 53.6536071, 9.8290427 53.6534914, 9.8291475 53.6533949, 9.8292367 53.6533166, 9.8292918 53.6532627, 9.8293399 53.6532261, 9.8293825 53.6531723, 9.8294053 53.6531312)",L 99,Hauptstraße,
"[24331120, 595638446]",False,2,residential,30,,False,189.731,"LINESTRING (9.8288796 53.6536071, 9.8289591 53.6536314, 9.8290018 53.6536598, 9.8290372 53.6537082, 9.8290524 53.6537832, 9.8290868 53.6539536, 9.8293058 53.6552625)",,Lohe,
"[975029716, 860653013, 267510844]",False,"['2', '3']",secondary,50,,True,133.671,"LINESTRING (9.8288796 53.6536071, 9.8288188 53.6536446, 9.828743 53.6536934, 9.8286171 53.6537629, 9.8284608 53.6538351, 9.8280299 53.6540078, 9.8278409 53.6540701, 9.8275407 53.6541531, 9.8274507 53.6541685, 9.8271652 53.6542172)",L 99,Hauptstraße,
"[209354768, 4043945]",False,"['2', '3']",secondary,50,,"[False, True]",110.826,"LINESTRING (9.8294053 53.6531312, 9.8295227 53.6531853, 9.8296912 53.6532468, 9.8298204 53.6533407, 9.8299534 53.6534571, 9.8302288 53.6536974, 9.8304447 53.6538993)",K 6,Tangstedter Chaussee,
126611609,False,3,secondary,50,,True,63.616,"LINESTRING (9.8294053 53.6531312, 9.8293825 53.6531723, 9.8293399 53.6532261, 9.8292918 53.6532627, 9.8292367 53.6533166, 9.8291475 53.6533949, 9.8290427 53.6534914, 9.8288796 53.6536071)",L 99,Hauptstraße,
"[203126465, 604407077]",False,2,secondary,50,,False,37.775999999999996,"LINESTRING (9.8294053 53.6531312, 9.8294229 53.6530715, 9.8294356 53.6530199, 9.8294466 53.652968, 9.8294687 53.6529075, 9.8294743 53.6528921, 9.8294803 53.6528605, 9.8294927 53.6527957)",L 99,Hauptstraße,
