osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,ref,junction
35182205,True,Feldstraße,residential,50,False,182.624,"LINESTRING (14.7126051 51.9491832, 14.712569 51.9492065, 14.7125376 51.9492489, 14.7124686 51.9493422, 14.7114779 51.9506695)",,,,
"[304318905, 144177947]",False,Gasstraße,secondary,50,True,259.72700000000003,"LINESTRING (14.7126051 51.9491832, 14.7116252 51.9486228, 14.7114744 51.9485333, 14.711451 51.9485245, 14.7113404 51.9484563, 14.7111646 51.9483556, 14.7109264 51.9482463, 14.7106129 51.9481419, 14.7104347 51.9480969, 14.7100891 51.9480388, 14.7098691 51.9480245, 14.7098231 51.94802, 14.7094786 51.9479908)","['2', '3']",,,
"[314888200, 135776619]",False,Gasstraße,secondary,50,False,73.718,"LINESTRING (14.7126051 51.9491832, 14.7130187 51.9494301, 14.7132345 51.9495545, 14.713264 51.9495705, 14.7133882 51.9496375)","['2', '3']",,,
5315813,True,Wilkestraße,residential,50,False,37.776,"LINESTRING (14.7139855 51.9493026, 14.7139906 51.9493574, 14.7139016 51.9496369)",1,,,
135776673,False,Wilkestraße,residential,50,False,214.14499999999998,"LINESTRING (14.7139855 51.9493026, 14.7144831 51.9482715, 14.7149191 51.947465)",2,,,
"[135776624, 117458026, 117457998, 702102674]",False,Gubiner Straße,secondary,50,True,266.4920000000001,"LINESTRING (14.7181171 51.9494423, 14.7179707 51.9494265, 14.7178017 51.9494338, 14.7170185 51.9495357, 14.7166605 51.9495788, 14.7161119 51.9496408, 14.7155177 51.9497184, 14.7154019 51.9497231, 14.7152564 51.9497247, 14.715113 51.9497212, 14.7149873 51.9497037, 14.7148618 51.9496791, 14.7146952 51.9496376, 14.7144981 51.9495976, 14.7143113 51.9495907)","['2', '1']",yes,,
702102670,True,Gubiner Straße,secondary,50,False,73.089,"LINESTRING (14.7181171 51.9494423, 14.7182827 51.9494717, 14.7183549 51.9495176, 14.7184266 51.949727, 14.718445 51.9497876, 14.7184881 51.949908, 14.7185684 51.949981)",2,,,
1231664973,False,Berthold-Lissner-Straße,residential,,False,119.447,"LINESTRING (14.7181171 51.9494423, 14.7182188 51.9493179, 14.7182568 51.9492525, 14.7182334 51.9491658, 14.7181731 51.9490259, 14.7179661 51.9484061)",,,,
755635844,False,Gubiner Straße,secondary,10,False,4.329,"LINESTRING (14.7196459 51.9504127, 14.7196104 51.9503805)",,,,
"[176937959, 71357449, 702102672, 135776625, 1231659991, 165716120]",False,"['Gubeńska', 'Gubiner Straße']",secondary,"['50', '30', '10']",False,259.97599999999994,"LINESTRING (14.7196459 51.9504127, 14.7197645 51.9505093, 14.7200906 51.9507737, 14.7201852 51.950855, 14.7202611 51.9509209, 14.7205545 51.9511853, 14.7206365 51.9512682, 14.7206602 51.9513109, 14.7206656 51.9513596, 14.720656 51.9514075, 14.7206183 51.9515093, 14.7206135 51.951557, 14.7206365 51.9516209, 14.7206729 51.9516804, 14.7207194 51.951711, 14.7207738 51.9517314, 14.7208413 51.9517422, 14.7208759 51.9517451, 14.7214104 51.9517784, 14.7219313 51.9518176, 14.7220325 51.951825)",2,yes,138,
