osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,ref,maxspeed,width
"[642205825, 916405209, 916405210, 110582845]",Lieschbach,residential,False,False,460.3560000000001,yes,"LINESTRING (7.5484601 48.9958103, 7.5484771 48.995831, 7.5485599 48.9958691, 7.5486495 48.9959088, 7.5487497 48.995953, 7.5488622 48.9959865, 7.5499877 48.996221, 7.5501532 48.9962519, 7.550283 48.9962639, 7.5503784 48.996268, 7.5504603 48.9962669, 7.5505327 48.9962595, 7.5506621 48.9962361, 7.5509143 48.9961618, 7.5509979 48.9961318, 7.5510815 48.9961009, 7.551174 48.9960557, 7.5512432 48.9960263, 7.5513328 48.9959792, 7.5513844 48.995945, 7.5513987 48.9959342, 7.5514289 48.9959116, 7.5514854 48.9958603, 7.5515284 48.9958098, 7.5515591 48.9957584, 7.551606 48.9956717, 7.5517524 48.9954073, 7.5519664 48.9950209, 7.5521215 48.9947406, 7.5522976 48.9944226, 7.552345 48.9942861, 7.5523448 48.9942589, 7.5523384 48.9942316, 7.5523198 48.9941961, 7.5522901 48.994163, 7.5522279 48.9941173, 7.5521681 48.9940734)",,,,
764548703,,primary,False,False,335.072,,"LINESTRING (7.5484601 48.9958103, 7.5488084 48.9957168, 7.5491019 48.9956224, 7.5493899 48.9955155, 7.5496784 48.9953957, 7.5498946 48.9952981, 7.5500951 48.9951977, 7.5505426 48.9949522, 7.551421 48.9943918, 7.5516261 48.9942821, 7.5518118 48.9941992, 7.5519695 48.9941386, 7.5521681 48.9940734)",2,D 662,70,7
"[642205825, 916405210, 916405209, 110582845]",Lieschbach,residential,False,True,460.356,yes,"LINESTRING (7.5521681 48.9940734, 7.5522279 48.9941173, 7.5522901 48.994163, 7.5523198 48.9941961, 7.5523384 48.9942316, 7.5523448 48.9942589, 7.552345 48.9942861, 7.5522976 48.9944226, 7.5521215 48.9947406, 7.5519664 48.9950209, 7.5517524 48.9954073, 7.551606 48.9956717, 7.5515591 48.9957584, 7.5515284 48.9958098, 7.5514854 48.9958603, 7.5514289 48.9959116, 7.5513987 48.9959342, 7.5513844 48.995945, 7.5513328 48.9959792, 7.5512432 48.9960263, 7.551174 48.9960557, 7.5510815 48.9961009, 7.5509979 48.9961318, 7.5509143 48.9961618, 7.5506621 48.9962361, 7.5505327 48.9962595, 7.5504603 48.9962669, 7.5503784 48.996268, 7.550283 48.9962639, 7.5501532 48.9962519, 7.5499877 48.996221, 7.5488622 48.9959865, 7.5487497 48.995953, 7.5486495 48.9959088, 7.5485599 48.9958691, 7.5484771 48.995831, 7.5484601 48.9958103)",,,,
764548703,,primary,False,True,335.072,,"LINESTRING (7.5521681 48.9940734, 7.5519695 48.9941386, 7.5518118 48.9941992, 7.5516261 48.9942821, 7.551421 48.9943918, 7.5505426 48.9949522, 7.5500951 48.9951977, 7.5498946 48.9952981, 7.5496784 48.9953957, 7.5493899 48.9955155, 7.5491019 48.9956224, 7.5488084 48.9957168, 7.5484601 48.9958103)",2,D 662,70,7
