osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
294028776,L 451,Bückeburger Straße,secondary,50,False,True,26.076,"LINESTRING (9.0991161 52.2398281, 9.0991622 52.2395953)",,
97859536,,Wilhelmstraße,residential,50,False,True,112.09,"LINESTRING (9.0991161 52.2398281, 9.0989102 52.2398144, 9.0988649 52.2398114, 9.0985982 52.2397937, 9.0982338 52.2397207, 9.0981582 52.2397018, 9.0975923 52.2394936)",,
294028776,L 451,Bückeburger Straße,secondary,50,False,False,158.492,"LINESTRING (9.0991161 52.2398281, 9.0990738 52.2400542, 9.0990489 52.2401869, 9.0990072 52.2404378, 9.0989969 52.240753, 9.0989881 52.2412497)",,
28437374,,Julianenstraße,residential,50,False,False,10.369,"LINESTRING (9.1010841 52.2445161, 9.1009478 52.2445577)",,
45071961,,Brunnenpromenade,residential,,False,False,121.055,"LINESTRING (9.1010841 52.2445161, 9.1012091 52.2444799, 9.1012669 52.2444632, 9.101436 52.2444211, 9.101613 52.244339, 9.1016248 52.2443335, 9.1018077 52.2442182, 9.1019943 52.2440737, 9.1020648 52.2440004, 9.1020996 52.2439641, 9.1021383 52.2438468, 9.1021308 52.2437306)",,
302567217,L 451,Bückeburger Straße,secondary,50,False,True,391.827,"LINESTRING (9.1010841 52.2445161, 9.1009954 52.2443896, 9.1007553 52.2440561, 9.1003718 52.2435197, 9.1002719 52.2433805, 9.0993674 52.2421244, 9.0991421 52.2417887, 9.0990673 52.2416122, 9.0990125 52.2414038, 9.0990041 52.2413717, 9.0989881 52.2412497)",,
"[28297122, 300955605]",,Arensburger Straße,tertiary,"['50', '30']",False,False,174.45,"LINESTRING (9.1068708 52.2383103, 9.1067505 52.2385539, 9.1066897 52.2387708, 9.106651 52.2390243, 9.1066372 52.2392909, 9.1066299 52.2394865, 9.1066138 52.239655, 9.106623 52.2397802, 9.1066344 52.2398631)",,
28351786,,Jahnstraße,residential,,False,False,53.762,"LINESTRING (9.1068708 52.2383103, 9.1066477 52.238253, 9.1065619 52.2382113, 9.1064964 52.238156, 9.1063766 52.23797)",,
294028776,L 451,Bückeburger Straße,secondary,50,False,False,26.076,"LINESTRING (9.0991622 52.2395953, 9.0991161 52.2398281)",,
24739453,,Bahnhofstraße,tertiary,30,False,False,59.554,"LINESTRING (9.0991622 52.2395953, 9.0994536 52.2396271, 9.0997204 52.2396622, 9.1000193 52.2397016)",,
"[70916744, 70916706, 24739453, 395000590]",,Bahnhofstraße,tertiary,30,False,False,302.44999999999993,"LINESTRING (9.1000193 52.2397016, 9.1003716 52.2397437, 9.1006465 52.2397651, 9.1014379 52.2397812, 9.1023893 52.2397665, 9.1024803 52.2397612, 9.1025856 52.2397489, 9.1028231 52.2397198, 9.1028564 52.2397157, 9.1028861 52.2397106, 9.102941 52.2397013, 9.1030321 52.2396858, 9.1032103 52.2396794, 9.1033024 52.2396737, 9.1041733 52.2396448, 9.1044336 52.2396622)",yes,
