osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,lanes,width
25996523,Am Steinkamp,residential,False,False,135.626,"LINESTRING (11.1896387 54.4413897, 11.1897319 54.4416934, 11.1898577 54.4421768, 11.1898941 54.4423056, 11.1900009 54.4425907)",,,,,
83805264,Bahnhofstraße,secondary,False,False,104.34400000000001,"LINESTRING (11.1896387 54.4413897, 11.1908962 54.4412463, 11.1912224 54.4412098)",L 209,50,,,
83805264,Bahnhofstraße,secondary,False,True,104.34400000000001,"LINESTRING (11.1912224 54.4412098, 11.1908962 54.4412463, 11.1896387 54.4413897)",L 209,50,,,
444415095,,secondary,True,False,13.139,"LINESTRING (11.1912224 54.4412098, 11.1912159 54.4411911, 11.1912177 54.4411746, 11.1912248 54.4411587, 11.1912419 54.441139, 11.1912668 54.4411224, 11.191298 54.4411099)",,50,roundabout,,
15038699,Wilhelmstraße,residential,False,False,107.34400000000001,"LINESTRING (11.191298 54.4411099, 11.1912373 54.441037, 11.1912091 54.44099, 11.191146 54.4405422, 11.1911753 54.4403044, 11.191226 54.4401605)",,,,,
444415095,,secondary,True,False,18.752,"LINESTRING (11.191298 54.4411099, 11.1913261 54.4411035, 11.1913558 54.4411003, 11.1913846 54.4411006, 11.1914128 54.441104, 11.1914387 54.4411102, 11.1914622 54.4411191, 11.1914816 54.4411297, 11.1914975 54.4411422, 11.191511 54.4411586, 11.1915185 54.4411763)",,50,roundabout,,
35329627,Bahnhofstraße,secondary,False,False,112.14000000000001,"LINESTRING (11.1915185 54.4411763, 11.1919093 54.4411242, 11.1920517 54.4411097, 11.192179 54.4410976, 11.1925489 54.4410434, 11.1926784 54.4410232, 11.192944 54.4409655, 11.1931809 54.4409023)",L 209,50,,,
444415095,,secondary,True,False,29.751000000000005,"LINESTRING (11.1915185 54.4411763, 11.1915192 54.4411972, 11.1915141 54.4412129, 11.1915042 54.4412277, 11.1914888 54.4412421, 11.191469 54.4412545, 11.1914444 54.4412649, 11.1914168 54.4412722, 11.1913869 54.4412762, 11.1913562 54.4412766, 11.1913267 54.4412736, 11.1912987 54.4412672, 11.1912746 54.4412583, 11.1912537 54.4412469, 11.1912376 54.441234, 11.1912224 54.4412098)",,50,roundabout,,
28078088,Kaestnerstraße,residential,False,False,141.18399999999997,"LINESTRING (11.1931809 54.4409023, 11.1932459 54.4409827, 11.1933999 54.4411703, 11.1935049 54.4412983, 11.1936372 54.4414321, 11.1938309 54.4415079, 11.1941109 54.4415291, 11.1947576 54.4415052)",,,,,
35329627,Bahnhofstraße,secondary,False,True,112.14,"LINESTRING (11.1931809 54.4409023, 11.192944 54.4409655, 11.1926784 54.4410232, 11.1925489 54.4410434, 11.192179 54.4410976, 11.1920517 54.4411097, 11.1919093 54.4411242, 11.1915185 54.4411763)",L 209,50,,,
