osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,access
220137373,2,L 27,Sandstraße,secondary,50,False,True,48.55,"LINESTRING (11.3896698 52.5273076, 11.3896271 52.5273913, 11.3895712 52.5274666, 11.3895082 52.5275268, 11.3894628 52.5275564, 11.3894206 52.527578, 11.389379 52.5275972, 11.3893158 52.5276189, 11.3892478 52.5276367)",,,
499534604,2,L 27,Sandstraße,secondary,50,False,False,61.65,"LINESTRING (11.3896698 52.5273076, 11.3897292 52.5271886, 11.3898001 52.5269125, 11.3898231 52.5268273, 11.3898448 52.5267644)",,,
"[1233496676, 22725358, 30782727]",2,K 1101,Ernst-Thälmann-Straße,tertiary,50,False,False,161.481,"LINESTRING (11.3942314 52.5241711, 11.3942519 52.5241566, 11.3942817 52.5241258, 11.3944879 52.5238802, 11.3948014 52.5234571, 11.3948976 52.5233048, 11.3949378 52.5232411, 11.3950819 52.5229492, 11.3951221 52.5228304)",,,
22725514,2,L 27,Philipp-Müller-Straße,secondary,50,False,False,41.822,"LINESTRING (11.3942314 52.5241711, 11.3945665 52.5242725, 11.3947848 52.5243387)",,,
"[222389533, 1148663517, 1148663518]",2,L 27,Sandstraße,secondary,50,False,True,199.492,"LINESTRING (11.3942314 52.5241711, 11.3942036 52.5241815, 11.3941691 52.5241866, 11.3940896 52.5241854, 11.3939323 52.5241685, 11.3938154 52.5241609, 11.3936913 52.5241583, 11.3935612 52.5241662, 11.3934439 52.5241761, 11.3931926 52.5242055, 11.3929716 52.5242404, 11.3926502 52.5243111, 11.3923954 52.5243839, 11.3921628 52.5244811, 11.391987 52.5245758, 11.3916358 52.524814)",,,
22725454,2,L 27,Rudolf-Breitscheid-Straße,secondary,50,False,False,74.943,"LINESTRING (11.3966301 52.5262753, 11.3966471 52.5262828, 11.3966666 52.5262893, 11.3966971 52.5262952, 11.3967222 52.5262981, 11.3969087 52.5263075, 11.3971203 52.5263263, 11.3972171 52.5263395, 11.3973192 52.5263581, 11.3975094 52.5263974, 11.3976932 52.5264444)",,,
22725514,2,L 27,Philipp-Müller-Straße,secondary,50,False,True,121.33100000000002,"LINESTRING (11.3966301 52.5262753, 11.3966191 52.5262683, 11.3966105 52.5262609, 11.3966027 52.5262521, 11.396595 52.5262417, 11.3965765 52.5261789, 11.396481 52.5258943, 11.3964172 52.5257297, 11.3963198 52.5255281, 11.3962361 52.525394, 11.3961123 52.5252371)",,,
28584381,2,,Rudolf-Breitscheid-Straße,residential,50,False,True,98.51100000000001,"LINESTRING (11.3966301 52.5262753, 11.3964569 52.5262849, 11.3954574 52.5263763, 11.3951889 52.5264009)",,,
"[221874250, 22725453]",3,L 27,Stendaler Straße,secondary,50,False,False,104.31099999999999,"LINESTRING (11.3990875 52.5271103, 11.3992515 52.5272076, 11.3994499 52.5273156, 11.3998675 52.527541, 11.4001327 52.5276802, 11.4002374 52.527735)",,,
"[30782724, 22725454, 1148588719, 1148588720, 221872278]","['2', '3']",L 27,Rudolf-Breitscheid-Straße,secondary,50,False,True,121.419,"LINESTRING (11.3990875 52.5271103, 11.3989417 52.5270204, 11.3989324 52.5270146, 11.3988208 52.526946, 11.3987929 52.5269294, 11.3987875 52.5269261, 11.3986754 52.5268519, 11.3983517 52.526654, 11.3982288 52.5266055, 11.3979126 52.5265076, 11.3976932 52.5264444)",,,
