osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge
"[4050897, 775258626, 981869049]","['2', '3']",Erdinger Straße,tertiary,30,False,True,240.07099999999997,"LINESTRING (12.1485935 48.2747159, 12.1486321 48.2747296, 12.1495388 48.2750955, 12.1500814 48.2753565, 12.1502308 48.2754183, 12.1504181 48.2755007, 12.1508284 48.2756665, 12.1509916 48.2757325, 12.1511243 48.2757847, 12.1511821 48.2758199, 12.1513049 48.2758947)",,,
1128015896,,Johannisplatz,residential,30,False,True,46.851,"LINESTRING (12.1485935 48.2747159, 12.1488841 48.2743503, 12.1488887 48.2743432)",,,
"[528794676, 542485263]",2,Erdinger Straße,primary,50,False,"[False, True]",135.463,"LINESTRING (12.1471619 48.2771391, 12.1470666 48.2771938, 12.1469998 48.2772406, 12.1469561 48.2772862, 12.1469104 48.2773398, 12.1468317 48.277458, 12.1467694 48.2775554, 12.1466743 48.2777305, 12.1465989 48.2779645, 12.1465013 48.2782508)",B 15,,
542485264,,Ruprechtsberg,residential,30,False,True,54.922000000000004,"LINESTRING (12.1471619 48.2771391, 12.1471332 48.2770985, 12.1471187 48.2770739, 12.1471683 48.2769012, 12.1471652 48.2766916, 12.1471571 48.2766548)",,,
"[617673489, 24229161]",2,Erdinger Straße,primary,50,False,True,260.471,"LINESTRING (12.1471619 48.2771391, 12.1472358 48.2771137, 12.1473241 48.2770915, 12.1474206 48.2770748, 12.1475482 48.2770637, 12.147696 48.2770581, 12.1478944 48.2770596, 12.1481325 48.2770578, 12.1483011 48.2770493, 12.1484658 48.2770364, 12.148628 48.2770219, 12.1487695 48.2769962, 12.1499561 48.2766664, 12.1502508 48.2765816, 12.1505018 48.2765037)",B 15,,
542492385,2,Buchbacher Straße,secondary,50,False,True,14.346,"LINESTRING (12.1534845 48.2770254, 12.153629 48.2771114)",,,
291799254,,Dammerlberg,residential,30,False,True,328.732,"LINESTRING (12.1534845 48.2770254, 12.1531288 48.2773592, 12.1530424 48.2774184, 12.1529851 48.2774314, 12.1529098 48.2774274, 12.1528406 48.2774088, 12.1527486 48.2773822, 12.1525462 48.2773297, 12.152361 48.2772935, 12.1521808 48.2772705, 12.1520549 48.2772754, 12.1519364 48.2773182, 12.1518524 48.2773905, 12.1518123 48.2774473, 12.1517381 48.2775558, 12.1517487 48.2776534, 12.1517935 48.2777138, 12.151924 48.2777996, 12.1520499 48.2778505, 12.1523581 48.2779281, 12.1525392 48.2779924, 12.1526988 48.2780692, 12.1528557 48.278178, 12.1529683 48.2782682, 12.1530528 48.2783539, 12.153077 48.278403, 12.1530864 48.2784556, 12.1530837 48.2785235)",,,
"[542492386, 747447418]","['2', '3']",Buchbacher Straße,secondary,50,False,False,204.78500000000003,"LINESTRING (12.1534845 48.2770254, 12.1533682 48.2769715, 12.1528292 48.2767217, 12.1526519 48.2766395, 12.151914 48.2762495, 12.1515524 48.2760498, 12.1514451 48.2759906, 12.1513049 48.2758947)",,,
24229371,,Justus-von-Liebig-Straße,residential,,False,False,108.12,"LINESTRING (12.1521122 48.2752788, 12.1523596 48.275409, 12.152765 48.2756133, 12.1533097 48.2758332)",,,
25143168,2,Jahnstraße,primary,50,False,False,36.375,"LINESTRING (12.1521122 48.2752788, 12.1523099 48.2751437, 12.1523702 48.2750982, 12.1524362 48.2750339)",B 15,,
