osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,geometry,ref,bridge
666321029,1,Feuerwehrstraße,residential,30,3.5,False,False,47.23,"LINESTRING (12.5553408 51.1672844, 12.5553359 51.1673494, 12.5552011 51.167699)",,
666321029,1,Feuerwehrstraße,residential,30,3.5,False,False,55.410999999999994,"LINESTRING (12.5552011 51.167699, 12.5551329 51.1678945, 12.5550806 51.1680614, 12.5550263 51.1681849)",,
666321029,1,Feuerwehrstraße,residential,30,3.5,False,True,47.23,"LINESTRING (12.5552011 51.167699, 12.5553359 51.1673494, 12.5553408 51.1672844)",,
41675906,1,Gartenstraße,residential,30,4,True,False,44.381,"LINESTRING (12.5518862 51.1683304, 12.5524809 51.1684727)",,
25823797,1,Trageser Straße,residential,30,6,False,False,55.175,"LINESTRING (12.5518862 51.1683304, 12.5520816 51.1679731, 12.5521384 51.1678601)",,
25823797,1,Trageser Straße,residential,30,6,False,False,52.712,"LINESTRING (12.552377 51.1673703, 12.5525977 51.1669169)",,
25823797,1,Trageser Straße,residential,30,6,False,True,56.94799999999999,"LINESTRING (12.552377 51.1673703, 12.5521563 51.1678251, 12.5521384 51.1678601)",,
41675905,,Birkenstraße,residential,30,,True,False,200.95299999999997,"LINESTRING (12.552377 51.1673703, 12.5525109 51.1673954, 12.5526793 51.1674202, 12.5534837 51.1675179, 12.5536202 51.1675221, 12.5537601 51.1675101, 12.5552011 51.167699)",,
25823797,1,Trageser Straße,residential,30,6,False,True,52.712,"LINESTRING (12.5525977 51.1669169, 12.552377 51.1673703)",,
41675903,1,Pappelstraße,residential,30,4,True,False,197.64800000000002,"LINESTRING (12.5525977 51.1669169, 12.5527351 51.1669402, 12.5528871 51.166966, 12.5537045 51.1670609, 12.5538164 51.1670685, 12.5540358 51.1670562, 12.5552192 51.1672275, 12.5553142 51.1672585, 12.5553408 51.1672844)",,
666321019,1,Trageser Straße,residential,30,6,False,False,57.12,"LINESTRING (12.5525977 51.1669169, 12.5526452 51.1668202, 12.5528196 51.1664484, 12.5528293 51.1664242)",,
664750396,1,Trageser Straße,residential,30,6,False,True,28.374,"LINESTRING (12.5532659 51.1654619, 12.5531538 51.1657072)",,
664750396,1,Trageser Straße,residential,30,6,False,False,131.058,"LINESTRING (12.5532659 51.1654619, 12.5533679 51.1652223, 12.5534351 51.165046, 12.5535835 51.164666, 12.5536515 51.1644834, 12.5536615 51.1644363, 12.5536674 51.1643993, 12.5536386 51.1643153)",,
