osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry
36928363,2,K 30,Wolgaster Straße,tertiary,50,6,False,True,169.973,"LINESTRING (13.8417645 53.9487886, 13.8420836 53.9481647, 13.8423494 53.9478798, 13.8428782 53.947463, 13.8429102 53.9474373)"
"[264582730, 264582731]",2,,"['Siedlung-West', 'Neustadt']",residential,50,,False,False,303.046,"LINESTRING (13.8417645 53.9487886, 13.8419099 53.9488049, 13.8422029 53.9488377, 13.8422847 53.9488468, 13.8425431 53.9489414, 13.8428292 53.9490988, 13.8434268 53.9494274, 13.843652 53.9495513, 13.8437582 53.9496097, 13.8438109 53.9496387, 13.844376 53.9492983, 13.8448093 53.9490372, 13.8450629 53.9488844, 13.8452191 53.9487904, 13.8452517 53.9487707)"
36928363,2,K 30,Wolgaster Straße,tertiary,50,6,False,False,169.973,"LINESTRING (13.8429102 53.9474373, 13.8428782 53.947463, 13.8423494 53.9478798, 13.8420836 53.9481647, 13.8417645 53.9487886)"
36928363,2,K 30,Wolgaster Straße,tertiary,50,6,False,True,184.868,"LINESTRING (13.8429102 53.9474373, 13.8433403 53.9471072, 13.8436804 53.946832, 13.8438729 53.946677, 13.8439884 53.9465917, 13.8444412 53.9462027, 13.8445322 53.9460802)"
23064705,2,K 32,Anklamer Straße,secondary,50,,False,False,27.74,"LINESTRING (13.8445322 53.9460802, 13.8441154 53.9460348)"
36928363,2,K 30,Wolgaster Straße,tertiary,50,6,False,False,184.868,"LINESTRING (13.8445322 53.9460802, 13.8444412 53.9462027, 13.8439884 53.9465917, 13.8438729 53.946677, 13.8436804 53.946832, 13.8433403 53.9471072, 13.8429102 53.9474373)"
"[865267434, 23009339, 23009277, 371898925]",,,"['Hohenthorstraße', 'Vahlstraße']",residential,30,,False,False,327.72399999999993,"LINESTRING (13.8445322 53.9460802, 13.8448384 53.9461111, 13.8454617 53.9461741, 13.8460648 53.946235, 13.8462807 53.9462568, 13.8465426 53.9462873, 13.8467607 53.9463321, 13.8470003 53.9464348, 13.8470289 53.9464524, 13.8475903 53.9467544, 13.8482831 53.947037, 13.8484545 53.9471188, 13.8488538 53.9473613)"
45893306,,,Lange Straße,residential,30,,False,True,11.719,"LINESTRING (13.8519164 53.9492197, 13.8517765 53.9491539)"
"[23009337, 1066791954]",,,Marktplatz,residential,30,,True,False,70.583,"LINESTRING (13.8519164 53.9492197, 13.8516741 53.9493759, 13.851189 53.9496884)"
45893306,,,Lange Straße,residential,30,,False,False,195.338,"LINESTRING (13.8519164 53.9492197, 13.8524915 53.9495017, 13.8529721 53.9497507, 13.8537123 53.9501465, 13.8540858 53.9504199)"
