osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,ref,access,tunnel
"[123891747, 1171100871, 1171221129, 1102794391, 1102794392]","['Albertinenstraße', 'Amalienstraße']",residential,30,"['7', '5']",False,"[False, True]",401.06600000000003,"LINESTRING (13.458093 52.5548556, 13.4581735 52.5548231, 13.4581992 52.5548116, 13.4589223 52.5545157, 13.4595065 52.5542833, 13.4595542 52.5542643, 13.4601243 52.5540379, 13.4601683 52.5540054, 13.460208 52.5539561, 13.4602198 52.5538632, 13.4601931 52.5535466, 13.4600066 52.5531039, 13.459906 52.5528727, 13.4598407 52.5527221, 13.4597317 52.5524704, 13.4595877 52.5521359, 13.4595199 52.5519808)",,,,
"[1171221129, 1102794393, 1172079541, 141225839]",Amalienstraße,residential,30,5,False,True,146.998,"LINESTRING (13.458093 52.5548556, 13.457998 52.5548934, 13.4579709 52.5549043, 13.4577685 52.5549848, 13.4574455 52.5551133, 13.4565374 52.5554748, 13.4563701 52.5555403, 13.4562691 52.555575)",,,,
"[1171246331, 752226435]",Parkstraße,tertiary,50,,False,True,82.743,"LINESTRING (13.458093 52.5548556, 13.4581566 52.5549385, 13.4582768 52.5550918, 13.4585964 52.555491, 13.4586244 52.5555259)",2,,,
6007924,Große Seestraße,residential,30,,False,False,192.551,"LINESTRING (13.4600378 52.5570033, 13.460156 52.5569977, 13.4601693 52.5569972, 13.4606702 52.5570027, 13.4609618 52.557006, 13.4612457 52.5570091, 13.4617355 52.5570145, 13.4618119 52.5570154, 13.4626933 52.5570251, 13.4628852 52.5570273)",,,,
6007924,Große Seestraße,residential,30,,False,True,129.111,"LINESTRING (13.4600378 52.5570033, 13.4599439 52.5570449, 13.459866 52.5570795, 13.4597801 52.5571176, 13.4594394 52.5572723, 13.4589389 52.5574997, 13.4588136 52.5575566, 13.4587945 52.5575653, 13.4586681 52.5576227, 13.4585988 52.5576545, 13.4585062 52.5576969)",,,,
"[752226436, 306713741]",Parkstraße,tertiary,"['50', '30']",,False,False,190.196,"LINESTRING (13.4600378 52.5570033, 13.4599934 52.5569591, 13.4599609 52.5569281, 13.4598116 52.556782, 13.4596187 52.5565932, 13.4595212 52.5564979, 13.4593702 52.5563501, 13.4593088 52.5562901, 13.4591587 52.5561432, 13.4590804 52.5560666, 13.4590431 52.5560226, 13.4589846 52.5559544, 13.4586764 52.5555877, 13.4586244 52.5555259)",2,,,
"[1165436299, 40158596]",Parkstraße,tertiary,50,,False,True,254.453,"LINESTRING (13.4600378 52.5570033, 13.460132 52.5570944, 13.4602883 52.5572456, 13.4616037 52.5585259, 13.4616316 52.5585527, 13.4619293 52.5588393, 13.4619405 52.5588501, 13.4620233 52.5589305, 13.4620364 52.5589424)",2,,,
432205754,Berliner Allee,primary,50,,True,False,21.445,"LINESTRING (13.4655015 52.5520601, 13.4652395 52.5519514)",1,B 2,,
10564808,Indira-Gandhi-Straße,secondary,50,,True,False,13.668,"LINESTRING (13.4655015 52.5520601, 13.465484 52.5520373, 13.4654705 52.5520155, 13.4654504 52.5519893, 13.4654389 52.5519625, 13.465434 52.5519449)",2,,no,
4783501,Buschallee,secondary,50,,True,False,23.483000000000004,"LINESTRING (13.467447 52.5540155, 13.4674837 52.5539695, 13.4675012 52.5539482, 13.4675218 52.5539233, 13.4675294 52.5539144, 13.4675949 52.553838, 13.4676042 52.5538272)",1,,,
