osmid,lanes,ref,highway,maxspeed,width,oneway,reversed,length,geometry,name,bridge
22776065,2,L 775,secondary,100,7.5,False,True,141.2,"LINESTRING (8.4793648 52.2508428, 8.479445 52.2506111, 8.4795123 52.2504588, 8.4796214 52.2503107, 8.4797576 52.2501708, 8.4799199 52.2500853, 8.4801058 52.2500083, 8.4803335 52.249965, 8.4805502 52.2499378)",,
"[225659217, 225656532, 22776062, 22776063]","['2', '3']",L 876,secondary,,"['11', '8', '10.5', '11.4']",False,"[False, True]",383.34799999999996,"LINESTRING (8.4793648 52.2508428, 8.4795204 52.2508624, 8.4802869 52.2509416, 8.4809189 52.2509802, 8.4814544 52.2510037, 8.4820511 52.2509851, 8.4827986 52.2509083, 8.4830928 52.2508628, 8.4834879 52.250777, 8.4838731 52.2506767, 8.4841873 52.2505786, 8.4847736 52.2503754)",Bünder Straße,yes
22766676,2,,residential,30,3.4,False,True,151.39499999999998,"LINESTRING (8.476847 52.2555182, 8.4769575 52.2555095, 8.4775452 52.2554279, 8.4779713 52.2553728, 8.4780957 52.2553463, 8.4782212 52.2553175, 8.4783454 52.2552755, 8.4783715 52.2552656, 8.4785038 52.2551808, 8.4786304 52.2551019, 8.4786817 52.2550702, 8.4787594 52.2550462, 8.4788524 52.2550175)",Kirchweg,
29053647,2,,unclassified,100,3.5,False,True,65.572,"LINESTRING (8.476847 52.2555182, 8.4767125 52.2555327, 8.4758901 52.2555847)",,
"[230471312, 22767180]",2,,residential,30,3.5,False,True,148.692,"LINESTRING (8.476847 52.2555182, 8.4767253 52.2550647, 8.4767327 52.2549953, 8.4767432 52.2549711, 8.4767608 52.2549305, 8.4767877 52.2548894, 8.47684 52.2548558, 8.4771028 52.2546899, 8.47719 52.2546374, 8.4772551 52.2546019, 8.4772879 52.254584, 8.4774663 52.254552, 8.477709 52.254529)",Kirchweg,
60101729,2,L 876,secondary,50,7,False,False,52.031,"LINESTRING (8.4883078 52.2494414, 8.4889913 52.249232)",Bünder Straße,
22767197,2,,residential,100,3.5,False,False,46.842,"LINESTRING (8.4883078 52.2494414, 8.488282 52.249516, 8.4884263 52.2498495)",Bünder Straße,
"[232797522, 232797523, 160507869]",2,L 876,secondary,70,"['7', '8', '10']",False,True,262.723,"LINESTRING (8.4883078 52.2494414, 8.4876273 52.2496049, 8.4873305 52.2496727, 8.4865574 52.2498351, 8.4862088 52.2499161, 8.4857244 52.2500465, 8.485348 52.2501756, 8.4847736 52.2503754)",Bünder Straße,
22766616,2,,living_street,,8,False,False,132.739,"LINESTRING (8.4842238 52.2548951, 8.4840104 52.2549204, 8.4838669 52.2549087, 8.4832182 52.2546965, 8.4824049 52.2545402)",Parkstraße,
"[230444155, 223822157]",2,,"['living_street', 'residential']",30,"['6', '4.2']",False,True,203.552,"LINESTRING (8.4842238 52.2548951, 8.4841135 52.2545721, 8.4840061 52.2543258, 8.4838955 52.2540758, 8.4838491 52.253949, 8.4838511 52.2538636, 8.4839221 52.2532686, 8.4839042 52.2530942)",Hambachweg,
"[231338872, 223822158]",2,,living_street,,3,False,False,105.754,"LINESTRING (8.4842238 52.2548951, 8.4844145 52.2551283, 8.4845425 52.2552511, 8.484621 52.2553368, 8.4847332 52.2555193, 8.4848038 52.2556865, 8.4848258 52.255764)",Hambachweg,
22766752,2,,residential,30,6,False,True,57.05799999999999,"LINESTRING (8.4839042 52.2530942, 8.4836686 52.2530907, 8.4834656 52.2530777, 8.4832697 52.2530532, 8.483078 52.2530217)",Westerbergstraße,
"[22766964, 232633349]",2,,residential,30,"['5.5', '4']",False,"[False, True]",74.09100000000001,"LINESTRING (8.4839042 52.2530942, 8.4838969 52.2529634, 8.4838897 52.2529311, 8.4838472 52.2528304, 8.4837933 52.2527408, 8.4835902 52.2524641)",Hambachweg,
"[230444155, 223822157]",2,,"['residential', 'living_street']",30,"['6', '4.2']",False,False,203.55200000000002,"LINESTRING (8.4839042 52.2530942, 8.4839221 52.2532686, 8.4838511 52.2538636, 8.4838491 52.253949, 8.4838955 52.2540758, 8.4840061 52.2543258, 8.4841135 52.2545721, 8.4842238 52.2548951)",Hambachweg,
"[249768814, 223960326]",2,,unclassified,30,5.6,False,False,145.011,"LINESTRING (8.4839042 52.2530942, 8.4842912 52.253077, 8.4846628 52.2530468, 8.4849023 52.2530126, 8.4851455 52.2529656, 8.4854258 52.2529096, 8.4855285 52.2528801, 8.4857252 52.2528229, 8.4859378 52.2527542)",Westerbergstraße,
227671810,2,,unclassified,30,3.7,False,True,50.296,"LINESTRING (8.4817607 52.2560815, 8.4810711 52.255919)",Alte Dorfstraße,
227671810,2,,unclassified,30,3.7,False,False,63.39,"LINESTRING (8.4817607 52.2560815, 8.4820602 52.2561599, 8.4823602 52.2562531, 8.4825953 52.2563333)",Alte Dorfstraße,
233487466,2,,residential,30,4.5,False,True,108.729,"LINESTRING (8.4817607 52.2560815, 8.4821828 52.2555068, 8.4822728 52.2553541, 8.4822318 52.2552901, 8.4820696 52.2552289)",Im Osterfeld,
