osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,lanes
102157341,,An Merckenheim,residential,False,False,133.84,"LINESTRING (6.1235298 50.9666879, 6.123764 50.9666199, 6.1239389 50.9665675, 6.1241846 50.9664938, 6.1242199 50.9664832, 6.1243287 50.9664515, 6.1244174 50.9664257, 6.1244374 50.9664198, 6.1246231 50.9663651, 6.1248352 50.9663025, 6.1250325 50.9662443, 6.1251568 50.9662077, 6.1252624 50.96618)",,,,
12995784,,Martin-Heyden-Straße,residential,False,False,152.721,"LINESTRING (6.1224145 50.9655095, 6.1224388 50.9655323, 6.1226892 50.9657672, 6.1227154 50.9657918, 6.1230939 50.9661691, 6.1232146 50.9663009, 6.1233189 50.9664369, 6.1233764 50.9665053, 6.1235298 50.9666879)",50,,,
42880737,,Herzog-Wilhelm-Straße,tertiary,False,True,59.794,"LINESTRING (6.1213603 50.9634085, 6.1212193 50.9633474, 6.1206049 50.96316)",30,,,
505375090,,Synagogenplatz,tertiary,True,False,16.939,"LINESTRING (6.1213603 50.9634085, 6.1213846 50.9633883, 6.1214173 50.9633734, 6.1214554 50.9633651, 6.1214957 50.9633641, 6.1215346 50.9633706, 6.121569 50.9633839)",30,,roundabout,
23137467,,Konrad-Adenauer-Straße,tertiary,False,False,42.413,"LINESTRING (6.1195902 50.9645247, 6.1193424 50.9645972, 6.1192601 50.9646192, 6.1190421 50.9646868)",30,,,
616170878,,Heinsberger Straße,tertiary,True,False,28.187,"LINESTRING (6.1195902 50.9645247, 6.1196398 50.9645973, 6.1196582 50.9646318, 6.1196764 50.9647133, 6.1196664 50.9647687)",30,,,
"[745625736, 244060290, 24943830]",,Konrad-Adenauer-Straße,tertiary,False,True,171.36999999999998,"LINESTRING (6.1195902 50.9645247, 6.1197693 50.9644811, 6.1199138 50.9644143, 6.1202127 50.9642385, 6.1204441 50.9641062, 6.1205389 50.9640732, 6.1206553 50.9640279, 6.1208166 50.9639535, 6.1209783 50.9638463, 6.1211065 50.9637591, 6.121258 50.9636423, 6.1213014 50.9636035, 6.1214246 50.9635289)",30,,,
12995738,,An der Linde,tertiary,False,False,75.177,"LINESTRING (6.1157656 50.9665829, 6.1157172 50.9665353, 6.1156804 50.966499, 6.1156242 50.9664438, 6.1155926 50.9664126, 6.1153618 50.9661855, 6.1152587 50.9661052, 6.1151362 50.96604)",,,,
12995738,,An der Linde,tertiary,False,True,115.61099999999999,"LINESTRING (6.1157656 50.9665829, 6.1157802 50.9665965, 6.1158146 50.966626, 6.1159762 50.9667788, 6.1160124 50.9668124, 6.1160531 50.9668503, 6.1160715 50.9668674, 6.1162159 50.9669927, 6.116236 50.9670101, 6.116242 50.9670154, 6.1163321 50.9670935, 6.1163391 50.9670996, 6.1163518 50.9671106, 6.1163782 50.9671336, 6.1164039 50.9671561, 6.1164767 50.96722, 6.1165608 50.9672938, 6.116659 50.96738, 6.1167182 50.9674319)",,,,
55454784,,Eburonenstraße,residential,True,False,101.65500000000002,"LINESTRING (6.1157656 50.9665829, 6.1159425 50.9665183, 6.1165127 50.9663589, 6.1165533 50.9663429, 6.1167361 50.9662704, 6.1169873 50.9661709, 6.1170403 50.9661499)",30,,,
