osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,width,junction,est_width
"[24682920, 23498982]",Pariser Straße,"['residential', 'living_street']",False,False,52.852999999999994,"LINESTRING (8.1148127 49.8368121, 8.1148485 49.8368359, 8.1149669 49.8369001, 8.115111 49.8370474, 8.1151699 49.8370868, 8.1153006 49.8371628)",,,,,,,
37329380,Pariser Straße,primary,False,True,76.57400000000001,"LINESTRING (8.1148127 49.8368121, 8.114865 49.8367527, 8.114873 49.8365922, 8.1148526 49.8362946, 8.1148415 49.8361329)",2,B 420,50,,,,
"[928941899, 928941900, 928941895, 601272547]",Kreuznacher Straße,primary,False,False,137.735,"LINESTRING (8.1148127 49.8368121, 8.11468 49.8368679, 8.114571 49.8369034, 8.1141602 49.8370576, 8.1136185 49.837286, 8.1131812 49.8374645)","['2', '3']",B 420,50,,,,
"[928941896, 928941897]",Kreuznacher Straße,primary,False,True,164.09199999999998,"LINESTRING (8.110716 49.8385011, 8.1117769 49.8380568, 8.112635 49.8376974)","['2', '3']",B 420,50,,,,
"[23276160, 977124572]",Rommersheimer Straße,residential,False,False,72.865,"LINESTRING (8.110716 49.8385011, 8.1107553 49.8385201, 8.1110955 49.8386843, 8.1112292 49.8387488, 8.111319 49.8387921, 8.1115295 49.8388937)",2,,50,,,,
"[8694304, 977124573]",Rommersheimer Straße,tertiary,False,False,39.758,"LINESTRING (8.110716 49.8385011, 8.1106865 49.8384799, 8.1104528 49.8383119, 8.1103457 49.838235)",2,K 16,50,,,,
"[23267035, 1239665879]",Friedrich-Ebert-Straße,residential,False,False,106.626,"LINESTRING (8.1146972 49.840238, 8.1147085 49.8403421, 8.1146877 49.8403922, 8.1146271 49.8404851, 8.1144977 49.8406144, 8.1143614 49.8408297, 8.1142375 49.8410425, 8.114233 49.8411306)",2,,"['20', '30']",,,,
37329383,Rommersheimer Straße,residential,False,True,126.495,"LINESTRING (8.1146972 49.840238, 8.1139398 49.8399649, 8.1131809 49.8396575)",1,,30,,,,
8694306,Friedrich-Ebert-Straße,living_street,True,False,28.977,"LINESTRING (8.1150953 49.8397896, 8.1149555 49.8400341)",1,,,,,,
23498977,Hermannstraße,living_street,False,False,30.69,"LINESTRING (8.1150953 49.8397896, 8.1154724 49.8399201)",,,,,,,
