osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,ref,bridge,lanes,tunnel,access
167536029,Lindenstraße,residential,30,5,False,False,144.974,"LINESTRING (9.7819331 48.4134997, 9.7820451 48.4134879, 9.7821721 48.4135025, 9.7822608 48.4135694, 9.7823454 48.4136682, 9.7824706 48.4138144, 9.7827694 48.4141086, 9.782892 48.4142295, 9.7831136 48.4144577)",,,,,
306742697,Sonderbucher Steige,tertiary,,,False,False,86.226,"LINESTRING (9.7819331 48.4134997, 9.7817878 48.4134529, 9.7816453 48.413407, 9.7814108 48.4133639, 9.7813567 48.4133528, 9.7812158 48.4133238, 9.7811061 48.4132809, 9.780994 48.4132027, 9.7809489 48.4131354)",K 7406,,,,
24794375,Klosterstraße,residential,30,,True,False,60.044999999999995,"LINESTRING (9.7833851 48.4139549, 9.7833468 48.4140552, 9.7832932 48.4141814, 9.7832531 48.4142907, 9.7832057 48.4143756, 9.7831136 48.4144577)",,,,,
167667693,Mauergasse,residential,30,5,False,False,58.739,"LINESTRING (9.7833851 48.4139549, 9.7836232 48.4139544, 9.7838127 48.4139593, 9.7839685 48.4139293, 9.784155 48.4138714)",,,,,
"[167796920, 33132979, 33132981]",Mauergasse,residential,30,5.25,False,False,86.586,"LINESTRING (9.7864158 48.413861, 9.7863436 48.413857, 9.7862465 48.4138613, 9.7859869 48.4138854, 9.7858742 48.4138953, 9.7856928 48.4139028, 9.7855984 48.4139003, 9.7855273 48.4138896, 9.7854734 48.4138728, 9.7854187 48.4138335, 9.7853968 48.4137955, 9.7853858 48.4137449)",,yes,,,
"[684339416, 739085034, 693145374, 865717543]",Auf dem Graben,residential,30,,False,False,117.062,"LINESTRING (9.7864158 48.413861, 9.7864096 48.4138269, 9.7863717 48.413625, 9.7863413 48.4134927, 9.7863311 48.4134485, 9.7861976 48.4129186, 9.7861831 48.4128609, 9.786173 48.4128208)",,,,,
"[167531362, 15230286, 865717543]","['Auf dem Graben', 'Dodelweg']",residential,30,,False,"[False, True]",51.888000000000005,"LINESTRING (9.7864158 48.413861, 9.7864225 48.4138897, 9.7864518 48.4139526, 9.7865109 48.4140055, 9.7865826 48.4140417, 9.7866458 48.4140834, 9.786684 48.4141344, 9.7867047 48.4141964, 9.7867039 48.4142629)",,,,,
"[25917283, 208043766]",Karlstraße,residential,50,,False,False,116.954,"LINESTRING (9.7851648 48.4110926, 9.7851947 48.4110374, 9.7852209 48.4109853, 9.7852369 48.4109591, 9.7853205 48.410826, 9.7853564 48.4107639, 9.7854796 48.4105508, 9.7856364 48.4102794, 9.7856694 48.4102223, 9.7857219 48.41014, 9.7857394 48.4101126)",,yes,2,,
27183915,Weilerstraße,residential,30,,False,True,74.46199999999999,"LINESTRING (9.7851648 48.4110926, 9.7850291 48.4110644, 9.7850111 48.4110586, 9.7847071 48.4109658, 9.7842433 48.4108218)",,,,,
"[40100680, 40100681, 167667683, 1135526492]",Auf dem Graben,residential,30,,False,True,94.42999999999999,"LINESTRING (9.7851648 48.4110926, 9.7852734 48.4111173, 9.7853156 48.411126, 9.7853772 48.4111405, 9.7854783 48.411172, 9.7855131 48.4111954, 9.7856073 48.4112551, 9.7856863 48.4113665, 9.7857231 48.411466, 9.7858092 48.4117414)",,yes,,,
167536027,Eduard-von-Lang-Straße,residential,30,5,False,False,195.93900000000002,"LINESTRING (9.7883448 48.411343, 9.7883183 48.4112184, 9.7882813 48.4098126, 9.7882687 48.4097123, 9.7882448 48.4096502, 9.7881876 48.4095968)",,,,,
"[1135526490, 1267893115]",Eduard-von-Lang-Straße,residential,30,"['6', '5']",False,True,144.609,"LINESTRING (9.7883448 48.411343, 9.7883207 48.4114131, 9.7883005 48.4115143, 9.7883444 48.4122521, 9.7884057 48.4126381)",,,,,
167536027,Eduard-von-Lang-Straße,residential,30,5,False,True,195.939,"LINESTRING (9.7881876 48.4095968, 9.7882448 48.4096502, 9.7882687 48.4097123, 9.7882813 48.4098126, 9.7883183 48.4112184, 9.7883448 48.411343)",,,,,
395942458,Ulmer Straße,residential,30,,False,False,116.634,"LINESTRING (9.7881876 48.4095968, 9.7879085 48.4096498, 9.7874491 48.4096815, 9.7870491 48.4096792, 9.7866216 48.4096658)",,,,,
494855917,Ulmer Straße,residential,30,,False,True,41.811,"LINESTRING (9.7881876 48.4095968, 9.7882667 48.4095631, 9.7886726 48.4094026)",,,,,
384067549,Marktstraße,residential,30,,False,False,14.391,"LINESTRING (9.7819224 48.4129381, 9.7817291 48.4129551)",,,,,
1135932358,Küfergasse,living_street,,4,True,False,97.989,"LINESTRING (9.7819224 48.4129381, 9.7819006 48.4127581, 9.7819188 48.4127353, 9.7820603 48.4125575, 9.7822174 48.4123602, 9.7822751 48.4122877, 9.7823813 48.4122355, 9.7824792 48.4121873)",,,,,
27183914,Weilerstraße,residential,30,,False,True,25.082,"LINESTRING (9.7842433 48.4108218, 9.7839368 48.4107244)",,,,,
27183915,Weilerstraße,residential,30,,False,False,74.46199999999999,"LINESTRING (9.7842433 48.4108218, 9.7847071 48.4109658, 9.7850111 48.4110586, 9.7850291 48.4110644, 9.7851648 48.4110926)",,,,,
84209500,Webergasse,living_street,,,False,False,46.98500000000001,"LINESTRING (9.7842433 48.4108218, 9.7841225 48.4109777, 9.7840833 48.4110787, 9.7840779 48.4111163, 9.784063 48.411221)",,,,,
27183914,Weilerstraße,residential,30,,False,False,25.082,"LINESTRING (9.7839368 48.4107244, 9.7842433 48.4108218)",,,,,
26179237,Weilerstraße,residential,30,,False,False,84.84,"LINESTRING (9.7839368 48.4107244, 9.7840019 48.4105774, 9.7840727 48.4103806, 9.7842267 48.4099862)",,,,,
384067547,Bergstraße,residential,30,,False,True,57.34,"LINESTRING (9.7839368 48.4107244, 9.7836223 48.4107252, 9.7834461 48.410738, 9.7831759 48.4107984)",,,,,
