osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,width,junction
25204646,Urbanstraße,residential,30,False,False,71.02300000000001,"LINESTRING (9.2881448 49.1502842, 9.2888706 49.1501535, 9.2889263 49.1501435, 9.288956 49.1501374, 9.2890821 49.1501062)",,,,,
97208042,Bahnhofstraße,tertiary,30,False,True,45.943999999999996,"LINESTRING (9.2881448 49.1502842, 9.2882125 49.1505328, 9.288233 49.1506066, 9.2882554 49.150691)",,,,,
170333646,Bahnhofstraße,tertiary,30,False,False,43.497,"LINESTRING (9.2881448 49.1502842, 9.2880815 49.150084, 9.2880239 49.1499011)",,,,,
83735980,Stadtseestraße,residential,30,False,True,144.892,"LINESTRING (9.2928094 49.1459514, 9.2926521 49.1460748, 9.2925738 49.1461555, 9.292541 49.146197, 9.2924337 49.1463326, 9.2923297 49.1464639, 9.292171 49.1466719, 9.2920127 49.1468445, 9.2917919 49.1470676)",,,,,
5789852,Linsenbergstraße,residential,30,False,False,141.321,"LINESTRING (9.2827755 49.1478261, 9.2830031 49.147811, 9.28311 49.1477933, 9.2832406 49.1477534, 9.2835833 49.1476046, 9.2837736 49.1474983, 9.2839096 49.1474004, 9.2839685 49.147358, 9.2840861 49.1472332, 9.284234 49.1470744)",,,,,
40686384,Friedhofstraße,residential,30,False,False,144.107,"LINESTRING (9.2827755 49.1478261, 9.2827496 49.1477473, 9.2827045 49.1476458, 9.2826576 49.1475892, 9.2823233 49.1471739, 9.2821114 49.1469281, 9.2819095 49.1466657)",,,,,
905845826,Rossäckerstraße,residential,30,False,True,108.698,"LINESTRING (9.2827755 49.1478261, 9.282667 49.1478316, 9.2825624 49.1478358, 9.2824227 49.1478344, 9.2821561 49.1478206, 9.2819893 49.1478091, 9.2818566 49.1478083, 9.2817194 49.1478227, 9.2815101 49.1478797, 9.2813643 49.1479323, 9.2813295 49.1479466)",,,,,
1018276458,Friedhofstraße,residential,30,False,True,98.428,"LINESTRING (9.2827755 49.1478261, 9.2828165 49.1479573, 9.2828609 49.1481463, 9.282938 49.1483983, 9.2830808 49.1486866)",,,,,
50551071,Haller Straße,secondary,50,False,False,24.481,"LINESTRING (9.2930201 49.1516492, 9.2931662 49.1515968, 9.2933022 49.1515301)",2,L 1101,,,
"[1182925640, 1182925639, 50551071]",Haller Straße,secondary,50,False,True,309.395,"LINESTRING (9.2930201 49.1516492, 9.2927616 49.151708, 9.2924809 49.1517392, 9.2921516 49.1517426, 9.2918156 49.1517426, 9.2913552 49.1517371, 9.291336 49.1517369, 9.2909631 49.151727, 9.2900464 49.1517259, 9.2898658 49.1517234, 9.2897344 49.1517241, 9.2891941 49.151714, 9.2890536 49.151705, 9.2889481 49.1516983, 9.288792 49.1516724)","['2', '3']",L 1101,,,
