osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge
"[358387873, 172332235]",True,"['2', '1']",Gutenbergstraße,residential,30,False,112.62599999999999,"LINESTRING (8.76866 50.8070228, 8.7687004 50.8069191, 8.7689504 50.8061757, 8.7690026 50.8060334)",,
"[286082368, 386628929, 358387880, 248545707, 42766259, 386628924]",False,"['4', '3']",Universitätsstraße,secondary,50,False,219.67300000000006,"LINESTRING (8.76866 50.8070228, 8.7688026 50.807043, 8.7688482 50.8070495, 8.768989 50.8070694, 8.7692949 50.8071128, 8.7696548 50.8071638, 8.7699216 50.8072016, 8.7701225 50.8072301, 8.7701886 50.8072395, 8.7703643 50.8072644, 8.7705004 50.8072866, 8.7705418 50.8072926, 8.7708023 50.8073357, 8.7710779 50.8073768, 8.7712326 50.8073965, 8.7713942 50.8074211, 8.771441 50.8074308, 8.7716954 50.8074894)",K 68,
"[87026585, 87026586, 358387877, 369638270]",False,"['2', '3']",Universitätsstraße,secondary,50,True,266.935,"LINESTRING (8.76866 50.8070228, 8.7685602 50.8070087, 8.7684771 50.8069969, 8.7680033 50.8069297, 8.7679495 50.8069221, 8.7679079 50.8069162, 8.767724 50.8068901, 8.7675567 50.8068664, 8.7674539 50.8068518, 8.767415 50.8068463, 8.767183 50.8068134, 8.7668791 50.8067802, 8.7664918 50.8067329, 8.766414 50.8067249, 8.766345 50.8067188, 8.7659639 50.8066846, 8.7656015 50.8066591, 8.7651919 50.806627, 8.7649239 50.8066)",K 68,
102794241,False,4,Rudolphsplatz,secondary,50,True,8.732,"LINESTRING (8.772249 50.8077352, 8.772217 50.8077037, 8.7721758 50.8076719)",K 68,
"[172273070, 157377079]",False,4,Pilgrimstein,secondary,50,False,109.66000000000003,"LINESTRING (8.772249 50.8077352, 8.7722679 50.8077704, 8.7722796 50.8078022, 8.7722871 50.8078376, 8.7723222 50.8079966, 8.7723357 50.808075, 8.7723474 50.8081177, 8.7723698 50.8081636, 8.7724104 50.8082229, 8.7724455 50.8082701, 8.7724784 50.8083107, 8.7725013 50.8083424, 8.7725193 50.8083782, 8.7725616 50.8084874, 8.7725903 50.8085902, 8.7726033 50.8086355, 8.7726263 50.8086857)",L 3381,
"[157677177, 372437881, 113329386, 206392671]",False,3,"['Erlenring', 'Weidenhäuser Brücke']",secondary,50,True,108.223,"LINESTRING (8.772249 50.8077352, 8.7723458 50.8077067, 8.772361 50.8077018, 8.772397 50.8076901, 8.772456 50.8076777, 8.7724763 50.8076749, 8.7725008 50.8076714, 8.7725884 50.8076653, 8.7728595 50.80764, 8.7734738 50.8075873, 8.7734869 50.8075858, 8.7735194 50.8075831, 8.7735489 50.8075814, 8.7736698 50.8075742, 8.7737583 50.8075741)",L 3381,yes
26739822,True,,Gutenbergstraße,residential,30,False,110.997,"LINESTRING (8.7690026 50.8060334, 8.7690173 50.8059847, 8.769221 50.8053684, 8.7692447 50.8052965, 8.7693242 50.8050561)",,
172332237,True,,Wilhelmstraße,residential,30,False,64.401,"LINESTRING (8.7690026 50.8060334, 8.7688306 50.8060069, 8.7687328 50.8059927, 8.7684171 50.8059433, 8.7681122 50.8058962)",,
"[37391076, 839383982]",True,,Schulstraße,residential,30,False,201.48300000000003,"LINESTRING (8.7690026 50.8060334, 8.769164 50.8060592, 8.7694705 50.8061083, 8.7699489 50.8061872, 8.7702719 50.8062357, 8.7708528 50.8063281, 8.7713588 50.8064074, 8.7717858 50.8064686)",,
186975601,True,,Jägerstraße,residential,30,False,114.99599999999998,"LINESTRING (8.7693242 50.8050561, 8.7694108 50.805058, 8.7699819 50.8050105, 8.7705 50.8049594, 8.7707672 50.8049124, 8.7709212 50.8048639)",,
