osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,bridge,access
"[116356088, 117455743]",August-Bilstein-Straße,residential,False,True,244.444,30,"LINESTRING (7.3667996 51.2971016, 7.3664883 51.2971282, 7.3660377 51.2971718, 7.3656461 51.2972389, 7.3650668 51.2974133, 7.3649797 51.2974295, 7.3648683 51.2974502, 7.3647517 51.2974635, 7.364246 51.297524, 7.364187 51.2975542, 7.3643145 51.2980353)",,,,
199696203,Neustraße,secondary,False,False,18.741,50,"LINESTRING (7.3667996 51.2971016, 7.3668379 51.2971326, 7.3669757 51.2972291)",3,L 702,,
"[199696198, 199696203, 199696206, 229799606, 229799607]",Neustraße,secondary,False,True,175.19899999999996,50,"LINESTRING (7.3667996 51.2971016, 7.3665423 51.2968806, 7.3660925 51.2964496, 7.3659479 51.296308, 7.3658343 51.2961989, 7.3656639 51.2960526, 7.3655717 51.295992, 7.3654251 51.2959356, 7.3652543 51.2958875)","['2', '3']",L 702,yes,
"[121410320, 6281074, 933948971]","['Waldstraße', 'Bismarckstraße']",residential,False,True,619.3420000000001,"['50', '30']","LINESTRING (7.3677337 51.2975834, 7.3678269 51.2975196, 7.3683292 51.2972138, 7.3684535 51.2971333, 7.3688015 51.2968927, 7.3691489 51.2966524, 7.3693686 51.296515, 7.3698196 51.296233, 7.3699136 51.296169, 7.370164 51.2960671, 7.3702841 51.2960643, 7.3704768 51.296092, 7.3705897 51.2961286, 7.3708207 51.2962785, 7.3708873 51.2963179, 7.3709711 51.2963462, 7.3710402 51.2963512, 7.3711021 51.2963494, 7.371252 51.2963215, 7.3715633 51.2962174, 7.371656 51.296212, 7.3717391 51.2962318, 7.3718064 51.2962694, 7.3718564 51.2963134, 7.3718778 51.2963647, 7.3718794 51.2964163, 7.3718608 51.296453, 7.3718349 51.2964819, 7.3717939 51.2965112, 7.3716907 51.2965585, 7.3715509 51.2965957, 7.3709041 51.2966963, 7.3701331 51.2968724, 7.3695058 51.2971679, 7.368965 51.2973377)",,,,
9717954,Loher Straße,secondary,False,True,65.929,50,"LINESTRING (7.3677337 51.2975834, 7.3675439 51.2974801, 7.3672435 51.2973575, 7.3671139 51.297302, 7.3669757 51.2972291)",3,L 702,,
"[199696189, 199696190]",Loher Straße,secondary,False,False,78.348,50,"LINESTRING (7.3677337 51.2975834, 7.3681096 51.2978232, 7.3681347 51.2978385, 7.3682903 51.2979323, 7.3683978 51.2979929, 7.3685497 51.2980683)","['2', '3']",L 702,,
"[199696189, 199696190]",Loher Straße,secondary,False,True,78.348,50,"LINESTRING (7.3685497 51.2980683, 7.3683978 51.2979929, 7.3682903 51.2979323, 7.3681347 51.2978385, 7.3681096 51.2978232, 7.3677337 51.2975834)","['2', '3']",L 702,,
6281073,Waldstraße,residential,True,False,121.25500000000001,50,"LINESTRING (7.368965 51.2973377, 7.3687452 51.2973701, 7.3685117 51.2974422, 7.3683417 51.2975264, 7.3682609 51.2975887, 7.368248 51.2975986, 7.3682323 51.2976342, 7.3682308 51.2976697, 7.3682528 51.297709, 7.3685041 51.2978896, 7.3685862 51.2979491, 7.3685972 51.2979788, 7.3685917 51.2980098, 7.3685497 51.2980683)",,,,
6281079,Finkenberger Weg,residential,False,False,47.766,50,"LINESTRING (7.368965 51.2973377, 7.3688547 51.2975185, 7.368837 51.2975751, 7.368845 51.2976489, 7.3688652 51.2976906, 7.3689229 51.2977396)",,,,
"[121410320, 6281074, 933948971]","['Waldstraße', 'Bismarckstraße']",residential,False,False,619.3420000000001,"['50', '30']","LINESTRING (7.368965 51.2973377, 7.3695058 51.2971679, 7.3701331 51.2968724, 7.3709041 51.2966963, 7.3715509 51.2965957, 7.3716907 51.2965585, 7.3717939 51.2965112, 7.3718349 51.2964819, 7.3718608 51.296453, 7.3718794 51.2964163, 7.3718778 51.2963647, 7.3718564 51.2963134, 7.3718064 51.2962694, 7.3717391 51.2962318, 7.371656 51.296212, 7.3715633 51.2962174, 7.371252 51.2963215, 7.3711021 51.2963494, 7.3710402 51.2963512, 7.3709711 51.2963462, 7.3708873 51.2963179, 7.3708207 51.2962785, 7.3705897 51.2961286, 7.3704768 51.296092, 7.3702841 51.2960643, 7.370164 51.2960671, 7.3699136 51.296169, 7.3698196 51.296233, 7.3693686 51.296515, 7.3691489 51.2966524, 7.3688015 51.2968927, 7.3684535 51.2971333, 7.3683292 51.2972138, 7.3678269 51.2975196, 7.3677337 51.2975834)",,,,
6281079,Finkenberger Weg,residential,False,False,189.085,50,"LINESTRING (7.3689229 51.2977396, 7.3689917 51.2977917, 7.369076 51.297824, 7.3695399 51.2978988, 7.3700077 51.2979807, 7.3706194 51.2982353, 7.3713311 51.298481)",,,,
6281079,Finkenberger Weg,residential,False,True,47.766,50,"LINESTRING (7.3689229 51.2977396, 7.3688652 51.2976906, 7.368845 51.2976489, 7.368837 51.2975751, 7.3688547 51.2975185, 7.368965 51.2973377)",,,,
27371136,Herkenegge,residential,False,False,215.32,50,"LINESTRING (7.3689229 51.2977396, 7.369447 51.297572, 7.3697871 51.2975139, 7.3701819 51.2975172, 7.3707584 51.2974663, 7.3709375 51.2974611, 7.3712823 51.2973726, 7.3714667 51.2973616, 7.3716321 51.2973841, 7.3717144 51.2974094, 7.3718938 51.2974213)",,,,
9717953,Mittelstraße,residential,False,False,131.65599999999998,30,"LINESTRING (7.3626684 51.2987984, 7.3629138 51.2986697, 7.3629549 51.2986481, 7.3630148 51.298617, 7.3631117 51.2985702, 7.3631951 51.298531, 7.3635961 51.2983587, 7.3637103 51.2983123, 7.363842 51.298256, 7.3641887 51.2980941)",,,,
25322213,Milsper Straße,tertiary,False,False,31.22,50,"LINESTRING (7.3626684 51.2987984, 7.362946 51.2988157, 7.3631152 51.2988264)",2,,,
9717953,Mittelstraße,residential,False,False,10.92,30,"LINESTRING (7.3641887 51.2980941, 7.3643145 51.2980353)",,,,
116296173,Gerhart-Hauptmann-Straße,residential,True,False,56.933,50,"LINESTRING (7.3641887 51.2980941, 7.3645979 51.2985376)",,,,
9717953,Mittelstraße,residential,False,True,131.656,30,"LINESTRING (7.3641887 51.2980941, 7.363842 51.298256, 7.3637103 51.2983123, 7.3635961 51.2983587, 7.3631951 51.298531, 7.3631117 51.2985702, 7.3630148 51.298617, 7.3629549 51.2986481, 7.3629138 51.2986697, 7.3626684 51.2987984)",,,,
9717953,Mittelstraße,residential,False,True,206.13699999999997,30,"LINESTRING (7.3669757 51.2972291, 7.3668284 51.2972887, 7.3666536 51.2973566, 7.3666066 51.2973719, 7.3666063 51.297372, 7.3663048 51.2974619, 7.3661213 51.2975165, 7.3657206 51.2976263, 7.365324 51.2977387, 7.3651449 51.2977854, 7.3650753 51.2977921, 7.3648723 51.2978476, 7.3646877 51.297902, 7.3644843 51.2979702, 7.3643145 51.2980353)",,,,
9717954,Loher Straße,secondary,False,False,65.929,50,"LINESTRING (7.3669757 51.2972291, 7.3671139 51.297302, 7.3672435 51.2973575, 7.3675439 51.2974801, 7.3677337 51.2975834)",3,L 702,,
199696203,Neustraße,secondary,False,True,18.741,50,"LINESTRING (7.3669757 51.2972291, 7.3668379 51.2971326, 7.3667996 51.2971016)",3,L 702,,
"[986662354, 986662355, 629194005, 1108353020, 1108353021, 1108353022]",Mittelstraße,tertiary,False,True,607.188,50,"LINESTRING (7.3669757 51.2972291, 7.3671536 51.2971334, 7.367304 51.2970462, 7.367893 51.2966798, 7.3684921 51.2963055, 7.3691297 51.2959663, 7.3692802 51.2958852, 7.3696351 51.2956939, 7.3698936 51.2955546, 7.3709385 51.2949924, 7.3712609 51.2948191, 7.3715153 51.2947009, 7.3717643 51.2945878, 7.3723066 51.2943756, 7.3730686 51.2941188, 7.3732098 51.294075, 7.3734604 51.2939972, 7.3738172 51.2938863)",2,L 699,,
