osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width,bridge,tunnel
23778315,St 2241,Sulzbacher Straße,secondary,50,False,False,12.811,,"LINESTRING (11.2472291 49.487083, 11.247315 49.4871838)",,,
144868519,St 2241,Rückersdorfer Straße,secondary,50,False,False,23.616,,"LINESTRING (11.2472291 49.487083, 11.2470637 49.4868998)",,,
"[144868520, 1104455945]",St 2405,Rückersdorfer Straße,secondary,50,False,True,87.12399999999998,2,"LINESTRING (11.2472291 49.487083, 11.247117 49.4871312, 11.2470663 49.4871786, 11.247003 49.4873041, 11.2468761 49.4875709, 11.2467866 49.4877593, 11.2467713 49.4877876)",,,
131623946,St 2241,Sulzbacher Straße,secondary,50,False,True,9.389,,"LINESTRING (11.2481616 49.4880647, 11.2480817 49.4879981)",,,
4873903,LAU 19,Goethestraße,tertiary,50,False,False,83.58500000000001,,"LINESTRING (11.2481616 49.4880647, 11.2484128 49.4879803, 11.2487239 49.4879354, 11.2492624 49.4878464)",,,
"[131623946, 994090651]",St 2241,Sulzbacher Straße,secondary,50,False,False,72.66399999999999,,"LINESTRING (11.2481616 49.4880647, 11.2484394 49.4883796, 11.248484 49.4884436, 11.2486241 49.4886442)",,,
16598537,,Wiesenstraße,residential,30,False,True,7.366,,"LINESTRING (11.250208 49.4876678, 11.2502522 49.4877275)",8,,
"[994091711, 143183052, 16597428, 4873903]",LAU 19,"['Himmelgartenstraße', 'Goethestraße']",tertiary,50,False,False,323.788,2,"LINESTRING (11.250208 49.4876678, 11.2502458 49.4876498, 11.2503781 49.4875866, 11.2508159 49.487355, 11.2512241 49.4871064, 11.25132 49.4870421, 11.2516538 49.4867956, 11.2518349 49.4866627, 11.2520541 49.486448, 11.2522233 49.4862307, 11.252372 49.486067, 11.2524643 49.4859652, 11.2527212 49.485788, 11.252916 49.4856812, 11.253208 49.4855497)",,yes,
4873903,LAU 19,Goethestraße,tertiary,50,False,True,71.218,,"LINESTRING (11.250208 49.4876678, 11.2498929 49.4877428, 11.2495564 49.4877981, 11.2492624 49.4878464)",,,
24439665,,Goethestraße,residential,30,True,False,116.652,1,"LINESTRING (11.250208 49.4876678, 11.2501863 49.48757, 11.2504485 49.4874588, 11.2506724 49.487347, 11.2509175 49.487207, 11.2512196 49.4870136, 11.2512606 49.4869863, 11.2513019 49.4869598)",,,
162043315,St 2241,Rückersdorfer Straße,secondary,50,False,False,6.537,2,"LINESTRING (11.2426073 49.4840086, 11.2425232 49.4839869)",,,
23778320,,Grabenstraße,residential,,True,False,82.589,,"LINESTRING (11.2426073 49.4840086, 11.2424692 49.4842344, 11.2423689 49.4844337, 11.2422076 49.4847042)",,,
162043315,St 2241,Rückersdorfer Straße,secondary,50,False,True,123.227,2,"LINESTRING (11.2426073 49.4840086, 11.2431059 49.4841428, 11.2434386 49.4842576, 11.2436636 49.4843537, 11.2438405 49.4844289, 11.2439401 49.4844686, 11.2440944 49.4845427)",,,
5115393,,Grabenstraße,living_street,,False,False,41.444,,"LINESTRING (11.2437643 49.482169, 11.2435141 49.4825044)",,,
144964643,,Karlstraße,living_street,,False,True,34.995,,"LINESTRING (11.2409599 49.4813411, 11.2407699 49.4816306)",,,
162043315,St 2241,Rückersdorfer Straße,secondary,50,False,False,65.104,2,"LINESTRING (11.2447315 49.4849549, 11.2443031 49.4846521, 11.2442069 49.4846012, 11.2440944 49.4845427)",,,
162043315,St 2241,Rückersdorfer Straße,secondary,50,False,True,105.13,2,"LINESTRING (11.2447315 49.4849549, 11.2450283 49.4851975, 11.2451737 49.4853163, 11.2456442 49.4856913)",,,
"[144872968, 374521155]",,Schönberger Straße,residential,"['50', '30']",False,True,104.681,,"LINESTRING (11.2447315 49.4849549, 11.2449691 49.4848144, 11.2458232 49.4843359)",,,
29599795,,Kronenstraße,living_street,,False,False,45.169,,"LINESTRING (11.2413393 49.4817984, 11.2407699 49.4816306)",,,
29599795,,Kronenstraße,living_street,,False,True,36.384,,"LINESTRING (11.2413393 49.4817984, 11.2417973 49.4819345)",,,
144964651,,Am Bahndamm,living_street,,False,False,16.303,,"LINESTRING (11.2413393 49.4817984, 11.2412531 49.4819339)",,,
