osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,name,width,geometry,bridge
262717868,3,B 212,primary,50,False,True,6.113,,,"LINESTRING (8.4540263 53.2320936, 8.453992 53.2320426)",
9888415,2,K 213,tertiary,50,False,False,167.244,Nordermoorer Hellmer,4.5,"LINESTRING (8.4540263 53.2320936, 8.4534416 53.2322367, 8.4530394 53.2323258, 8.4516258 53.2325249)",
"[261422721, 823988910, 628078190, 823988911]","['2', '3']",B 212,primary,50,False,False,116.16099999999999,,,"LINESTRING (8.4540263 53.2320936, 8.4543441 53.2325665, 8.454393 53.2326393, 8.4544595 53.2327382, 8.4544812 53.2327705, 8.45454 53.232858, 8.4546776 53.2330628)",
24655340,,,residential,30,False,False,74.742,Parkstraße,,"LINESTRING (8.4599523 53.2322486, 8.4588688 53.2324252)",
24655446,,,residential,30,False,True,164.095,Deichstraße,,"LINESTRING (8.4599523 53.2322486, 8.4608598 53.23286, 8.4616066 53.2333427)",
24655446,,,residential,30,False,False,41.708,Deichstraße,,"LINESTRING (8.4620851 53.2335849, 8.4616066 53.2333427)",
24655446,,,residential,30,False,True,143.01899999999998,Deichstraße,,"LINESTRING (8.4620851 53.2335849, 8.4624272 53.2338115, 8.4625123 53.2341418, 8.4627407 53.2344836, 8.4626941 53.2346775, 8.4626905 53.2347048, 8.4626996 53.2347597)",
"[733331651, 733331652]",,,residential,,False,True,46.471,Bahnhofsplatz,,"LINESTRING (8.4620851 53.2335849, 8.4623346 53.2334825, 8.4626428 53.2333924, 8.4626884 53.2333766)",
363603392,,,living_street,,False,True,16.162,Rathausplatz,,"LINESTRING (8.4636974 53.2358226, 8.46394 53.235816)",
24655446,,,residential,30,False,False,137.578,Deichstraße,,"LINESTRING (8.4636974 53.2358226, 8.4634481 53.2353513, 8.4630533 53.2350105, 8.4626996 53.2347597)",
28231253,,,living_street,,False,False,78.918,Rathausplatz,,"LINESTRING (8.4636974 53.2358226, 8.4638113 53.2359168, 8.4639099 53.236188, 8.4639162 53.2362298, 8.463931 53.2363275, 8.4639576 53.2365026)",
