osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,lanes,access
197174396,Aßbruchweg,residential,False,True,55.049,"LINESTRING (8.3381208 52.322806, 8.3380727 52.3227889, 8.3379811 52.3227835, 8.3373238 52.3228332)",,,,,
247378269,Gartenstraße,tertiary,False,False,179.2,"LINESTRING (8.3381208 52.322806, 8.3382167 52.3227176, 8.3385775 52.322489, 8.3390436 52.3221798, 8.3394157 52.3219453, 8.3398146 52.3217555, 8.3399848 52.3216746)",K 410,50,,,
247378269,Gartenstraße,tertiary,False,True,147.443,"LINESTRING (8.3381208 52.322806, 8.3378495 52.323114, 8.3377097 52.3234483, 8.3375025 52.3240666)",K 410,50,,,
24757172,Harpenfelder Weg,tertiary,False,False,136.063,"LINESTRING (8.3399848 52.3216746, 8.3401003 52.3217888, 8.3407659 52.3224464, 8.3410753 52.3226997)",K 424,,,,
197174394,Nikolaistraße,residential,False,False,113.574,"LINESTRING (8.3399848 52.3216746, 8.3399226 52.321645, 8.3398283 52.3215978, 8.3397875 52.3215581, 8.3396759 52.3214496, 8.3395495 52.3212767, 8.3394389 52.3211104, 8.3393366 52.3209818, 8.3392091 52.3208762, 8.3391053 52.3208266)",,30,,,
227216468,Gartenstraße,tertiary,False,False,167.964,"LINESTRING (8.3399848 52.3216746, 8.3401648 52.3216044, 8.3403911 52.3215176, 8.3405886 52.3214332, 8.3406267 52.3214171, 8.3408364 52.321323, 8.3411146 52.3212023, 8.341173 52.321177, 8.3414158 52.3210674, 8.3416453 52.3209529, 8.3418551 52.3208338, 8.3419612 52.3207725)",K 410,50,,,
247378269,Gartenstraße,tertiary,False,True,179.20000000000002,"LINESTRING (8.3399848 52.3216746, 8.3398146 52.3217555, 8.3394157 52.3219453, 8.3390436 52.3221798, 8.3385775 52.322489, 8.3382167 52.3227176, 8.3381208 52.322806)",K 410,50,,,
24757187,Elbeweg,residential,False,False,10.447,"LINESTRING (8.3419612 52.3207725, 8.3420648 52.3208419)",,,,,
"[854416308, 227216468, 412996886]",Gartenstraße,tertiary,False,False,100.797,"LINESTRING (8.3419612 52.3207725, 8.3421449 52.3206633, 8.342814 52.3202989, 8.3428623 52.3202733, 8.3430635 52.3201663)",K 410,"['50', '30']",,,
227216468,Gartenstraße,tertiary,False,True,167.964,"LINESTRING (8.3419612 52.3207725, 8.3418551 52.3208338, 8.3416453 52.3209529, 8.3414158 52.3210674, 8.341173 52.321177, 8.3411146 52.3212023, 8.3408364 52.321323, 8.3406267 52.3214171, 8.3405886 52.3214332, 8.3403911 52.3215176, 8.3401648 52.3216044, 8.3399848 52.3216746)",K 410,50,,,
412996884,Gartenstraße,tertiary,False,False,87.061,"LINESTRING (8.3430635 52.3201663, 8.3432476 52.3200718, 8.3434443 52.319978, 8.3438385 52.3198008, 8.3439094 52.3197579, 8.3439403 52.319736, 8.3439665 52.319708, 8.3440067 52.3196508)",K 410,30,,,
"[854416305, 854416306, 24757186, 854416303]",Niedersachsenstraße,residential,False,False,324.476,"LINESTRING (8.3430635 52.3201663, 8.3431162 52.3202863, 8.343132 52.3203222, 8.3433357 52.3207813, 8.3433815 52.3208851, 8.3437171 52.3216531, 8.3438188 52.3218848, 8.3439814 52.3223079, 8.3441954 52.3227411, 8.3443086 52.3229829)",,,,,
"[854416308, 412996886, 227216468]",Gartenstraße,tertiary,False,True,100.797,"LINESTRING (8.3430635 52.3201663, 8.3428623 52.3202733, 8.342814 52.3202989, 8.3421449 52.3206633, 8.3419612 52.3207725)",K 410,"['50', '30']",,,
24757216,Lindenstraße,residential,False,False,161.692,"LINESTRING (8.3381779 52.3199894, 8.3383178 52.3199158, 8.3384021 52.3198693, 8.3385863 52.3197826, 8.3386605 52.3197628, 8.339105 52.3197397, 8.3394865 52.3197575, 8.3399501 52.3196926, 8.34037 52.3195733)",,30,,,
24757244,Lindenstraße,tertiary,True,False,27.305,"LINESTRING (8.3439344 52.3195584, 8.3439485 52.3195326, 8.3439834 52.3195057, 8.3440227 52.319491, 8.3440738 52.3194844, 8.3441228 52.3194888, 8.344167 52.3195031, 8.3442022 52.3195272, 8.3442204 52.3195559)",K 410,30,roundabout,,
436057731,Lindenstraße,residential,False,True,76.939,"LINESTRING (8.3439344 52.3195584, 8.3437739 52.3195641, 8.3435946 52.3195835, 8.3435679 52.3195872, 8.3433574 52.3196166, 8.3431385 52.3196354, 8.3428186 52.3196697)",,30,,,
24757244,Lindenstraße,tertiary,True,False,12.091000000000001,"LINESTRING (8.3440067 52.3196508, 8.343968 52.3196316, 8.3439475 52.3196128, 8.3439338 52.3195859, 8.3439344 52.3195584)",K 410,30,roundabout,,
412996884,Gartenstraße,tertiary,False,True,87.061,"LINESTRING (8.3440067 52.3196508, 8.3439665 52.319708, 8.3439403 52.319736, 8.3439094 52.3197579, 8.3438385 52.3198008, 8.3434443 52.319978, 8.3432476 52.3200718, 8.3430635 52.3201663)",K 410,30,,,
299644517,Lindenstraße,tertiary,False,False,22.153,"LINESTRING (8.349868 52.3180711, 8.3495752 52.3181586)",K 410,30,,2,
24757201,Kirchbreite,residential,False,True,95.77499999999999,"LINESTRING (8.349868 52.3180711, 8.3498256 52.3180137, 8.3495611 52.3176743, 8.3493412 52.3173831, 8.3492888 52.3172866)",,,,,
24757177,Schwalbenstraße,living_street,False,False,73.211,"LINESTRING (8.3495752 52.3181586, 8.3498556 52.3187943)",,,,,
299644517,Lindenstraße,tertiary,False,False,112.712,"LINESTRING (8.3495752 52.3181586, 8.3481102 52.3186335)",K 410,30,,2,
299644517,Lindenstraße,tertiary,False,True,22.153,"LINESTRING (8.3495752 52.3181586, 8.349868 52.3180711)",K 410,30,,2,
