osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel
81522121,2,St 2191,Pezoldstraße,secondary,30,False,False,104.36600000000001,"LINESTRING (11.3316871 49.7663326, 11.3318214 49.7663725, 11.3319622 49.7664337, 11.3321167 49.7665177, 11.3321413 49.766533, 11.3324597 49.7667317, 11.3327683 49.7669492)",
"[207548962, 35548703]",,St 2191,Pezoldstraße,secondary,30,False,True,127.16999999999999,"LINESTRING (11.3348205 49.7687029, 11.3345989 49.7685611, 11.3344385 49.7684321, 11.3343483 49.7683426, 11.3341772 49.7681727, 11.333761 49.7677905)",
"[207548959, 80868343]",,,Gartenstraße,residential,30,False,True,139.949,"LINESTRING (11.3348205 49.7687029, 11.3349147 49.7686507, 11.3349731 49.7686131, 11.3350006 49.7685834, 11.3350576 49.7684463, 11.3351147 49.7682821, 11.3351442 49.7681719, 11.3351509 49.7681173, 11.3351389 49.7680618, 11.3351223 49.7680251, 11.3350959 49.7679932, 11.3350408 49.7679447, 11.3349508 49.7678579, 11.3348628 49.7677796, 11.3347916 49.7677053, 11.3347591 49.7676466, 11.3347541 49.7675745)",
207549838,,St 2191,Pezoldstraße,secondary,30,False,False,33.104,"LINESTRING (11.3348205 49.7687029, 11.3351178 49.7688366, 11.3351988 49.768873)",
4047995,,St 2191,Balthasar-Neumann-Straße,secondary,30,False,False,6.113,"LINESTRING (11.3370618 49.7703559, 11.336988 49.7703285)",
"[35548704, 25697610]",1,St 2191,Balthasar-Neumann-Straße,secondary,30,False,True,102.203,"LINESTRING (11.3370618 49.7703559, 11.3373377 49.7704498, 11.3374295 49.770481, 11.3377709 49.7705972, 11.33797 49.7706751, 11.3381333 49.770756, 11.3382663 49.7708372)",
"[399403401, 287099378, 1225839099, 399403402]",1,,Viktor-von-Scheffel-Straße,living_street,,False,True,122.352,"LINESTRING (11.3370618 49.7703559, 11.3371084 49.7703233, 11.337131 49.7703075, 11.3374559 49.7700805, 11.337478 49.7700174, 11.3377052 49.7698727, 11.3379998 49.7696839, 11.3380688 49.7696359, 11.3381017 49.7696142, 11.3381544 49.7695826, 11.3382045 49.7695525)",yes
207547236,1,St 2191,Behringersmühler Straße,secondary,30,False,True,40.473,"LINESTRING (11.3382663 49.7708372, 11.3385834 49.7711381)",
"[207470688, 35548705, 757029316, 25697609, 207470687]",1,,Balthasar-Neumann-Straße,residential,30,False,False,352.1170000000001,"LINESTRING (11.3382663 49.7708372, 11.3383629 49.7708406, 11.338471 49.7708484, 11.3386659 49.7708723, 11.3390491 49.7709486, 11.3392565 49.7709858, 11.3394021 49.7710058, 11.3395567 49.7710222, 11.3396663 49.7710259, 11.3398338 49.7710273, 11.3398944 49.7710295, 11.3400222 49.7710372, 11.3401049 49.7710498, 11.3401878 49.771068, 11.340393 49.7711255, 11.340549 49.7711828, 11.3407341 49.7712418, 11.3407945 49.7712624, 11.3408913 49.7713049, 11.3412846 49.7714564, 11.3415522 49.7715598, 11.3416202 49.7715825, 11.3417356 49.7716237, 11.3417753 49.7716379, 11.3418907 49.7716727, 11.3420205 49.7716767, 11.3421984 49.7716502, 11.3423558 49.7716146, 11.3425919 49.7715272, 11.342732 49.7714713, 11.3428071 49.7714613)",
"[35548704, 25697610]",1,St 2191,Balthasar-Neumann-Straße,secondary,30,False,False,102.203,"LINESTRING (11.3382663 49.7708372, 11.3381333 49.770756, 11.33797 49.7706751, 11.3377709 49.7705972, 11.3374295 49.770481, 11.3373377 49.7704498, 11.3370618 49.7703559)",
24018169,,,Burgstraße,residential,,False,False,20.733,"LINESTRING (11.3364318 49.7698291, 11.3363762 49.7698482, 11.336202 49.7699409)",
207549839,,St 2191,Pezoldstraße,secondary,30,False,True,141.151,"LINESTRING (11.3364318 49.7698291, 11.3361541 49.7694477, 11.3360498 49.7693558, 11.3360013 49.7693231, 11.3359935 49.7693178, 11.3357011 49.7691205, 11.3355057 49.7690169, 11.3353558 49.7689435, 11.3351988 49.768873)",
"[87053776, 287099371]",,St 2191,Balthasar-Neumann-Straße,secondary,30,False,True,70.329,"LINESTRING (11.3364318 49.7698291, 11.3365378 49.7700036, 11.3365903 49.7700793, 11.3366327 49.770118, 11.3366806 49.7701593, 11.3367468 49.7702115, 11.3368 49.7702462, 11.3368702 49.7702798, 11.336988 49.7703285)",
25697298,,,Badangerstraße,residential,30,False,False,89.145,"LINESTRING (11.3404226 49.7729214, 11.3402486 49.7730208, 11.3400204 49.7732015, 11.3396698 49.7734639, 11.3395743 49.7735009)",
"[713409202, 201280907]",2,St 2191,Behringersmühler Straße,secondary,"['50', '30']",False,False,238.572,"LINESTRING (11.3404226 49.7729214, 11.3401596 49.7727219, 11.3398632 49.7724439, 11.3394441 49.7720102, 11.3393442 49.7719069, 11.3388708 49.7714002, 11.3385834 49.7711381)",
207551300,,St 2191,Behringersmühler Straße,secondary,50,False,True,144.959,"LINESTRING (11.3404226 49.7729214, 11.3412324 49.7734622, 11.3412498 49.7734736, 11.3418084 49.773838, 11.3418312 49.7738551)",
"[207470689, 298267743]",,,Heinrich-Faust-Straße,residential,30,False,True,50.475,"LINESTRING (11.3404226 49.7729214, 11.3405644 49.7728453, 11.3409679 49.772635)",
98413157,,,Burgstraße,residential,,False,True,28.853,"LINESTRING (11.3357806 49.7702915, 11.3360257 49.7700859)",
290173415,,,Burgstraße,residential,,False,True,31.92,"LINESTRING (11.3357806 49.7702915, 11.3355959 49.7700304)",
"[112318466, 35416285]",,,Burgstraße,residential,,False,True,68.512,"LINESTRING (11.3357806 49.7702915, 11.3358475 49.7703747, 11.3359989 49.7705721, 11.3360056 49.7706732, 11.3362815 49.770766)",
24018173,,,An der Wagnershöhe,residential,,False,False,17.24,"LINESTRING (11.3363661 49.7709111, 11.3362815 49.770766)",
24018173,,,An der Wagnershöhe,residential,,False,True,17.24,"LINESTRING (11.3362815 49.770766, 11.3363661 49.7709111)",
24018171,,,Burgstraße,residential,,False,False,70.851,"LINESTRING (11.3362815 49.770766, 11.3365075 49.7706652, 11.3366139 49.7705634, 11.336988 49.7703285)",
"[112318466, 35416285]",,,Burgstraße,residential,,False,False,68.512,"LINESTRING (11.3362815 49.770766, 11.3360056 49.7706732, 11.3359989 49.7705721, 11.3358475 49.7703747, 11.3357806 49.7702915)",
207547236,1,St 2191,Behringersmühler Straße,secondary,30,False,False,40.473,"LINESTRING (11.3385834 49.7711381, 11.3382663 49.7708372)",
"[24018172, 43075686]",,,Badangerstraße,residential,30,False,True,316.075,"LINESTRING (11.3385834 49.7711381, 11.3380028 49.7715091, 11.3379521 49.7716299, 11.3379178 49.7717049, 11.3379218 49.7717516, 11.3379392 49.7717996, 11.338224 49.7720802, 11.3385282 49.77238, 11.3386106 49.7724612, 11.3387796 49.7726501, 11.3390049 49.7729206, 11.3394344 49.7734363, 11.3394844 49.7734742, 11.3395743 49.7735009)",
"[713409202, 201280907]",2,St 2191,Behringersmühler Straße,secondary,"['50', '30']",False,True,238.572,"LINESTRING (11.3385834 49.7711381, 11.3388708 49.7714002, 11.3393442 49.7719069, 11.3394441 49.7720102, 11.3398632 49.7724439, 11.3401596 49.7727219, 11.3404226 49.7729214)",
25697299,,,Heinrich-Faust-Straße,residential,30,False,False,59.22,"LINESTRING (11.3416067 49.7722982, 11.3409679 49.772635)",
35416294,,,Heinrich-Faust-Straße,residential,30,False,True,93.686,"LINESTRING (11.3416067 49.7722982, 11.3426519 49.7728024)",
"[29206933, 1179764838]",,,Heinrich-Faust-Straße,residential,30,False,False,201.18,"LINESTRING (11.3416067 49.7722982, 11.3417137 49.7721955, 11.3418019 49.7720389, 11.3418775 49.7718946, 11.3420459 49.771985, 11.3423749 49.7721802, 11.3426346 49.7723155, 11.3430423 49.7724995, 11.3429479 49.7726184, 11.342792 49.7727302, 11.3426519 49.7728024)",
25697299,,,Heinrich-Faust-Straße,residential,30,False,True,59.22,"LINESTRING (11.3409679 49.772635, 11.3416067 49.7722982)",
25697608,,,Thomas-Kirchner-Straße,residential,30,False,False,160.86700000000002,"LINESTRING (11.3409679 49.772635, 11.3420286 49.7731603, 11.3421364 49.7731872, 11.3426519 49.7728024)",
"[207470689, 298267743]",,,Heinrich-Faust-Straße,residential,30,False,False,50.475,"LINESTRING (11.3409679 49.772635, 11.3405644 49.7728453, 11.3404226 49.7729214)",
35416294,,,Heinrich-Faust-Straße,residential,30,False,False,93.686,"LINESTRING (11.3426519 49.7728024, 11.3416067 49.7722982)",
"[29206933, 1179764838]",,,Heinrich-Faust-Straße,residential,30,False,True,201.18,"LINESTRING (11.3426519 49.7728024, 11.342792 49.7727302, 11.3429479 49.7726184, 11.3430423 49.7724995, 11.3426346 49.7723155, 11.3423749 49.7721802, 11.3420459 49.771985, 11.3418775 49.7718946, 11.3418019 49.7720389, 11.3417137 49.7721955, 11.3416067 49.7722982)",
25697608,,,Thomas-Kirchner-Straße,residential,30,False,True,160.86700000000002,"LINESTRING (11.3426519 49.7728024, 11.3421364 49.7731872, 11.3420286 49.7731603, 11.3409679 49.772635)",
"[1210133257, 207549251]",,,Viktor-von-Scheffel-Straße,"['living_street', 'residential']",30,False,True,64.43599999999999,"LINESTRING (11.3382045 49.7695525, 11.3382649 49.7695256, 11.3386333 49.7693043, 11.3386964 49.7692546, 11.3387665 49.7691993, 11.3388288 49.7691403)",
290173504,,,Am Kreuzberg,living_street,,False,False,37.716,"LINESTRING (11.3382045 49.7695525, 11.3379464 49.7693774, 11.3379085 49.7692831)",
"[399403401, 399403402, 1225839099, 287099378]",1,,Viktor-von-Scheffel-Straße,living_street,,False,False,122.352,"LINESTRING (11.3382045 49.7695525, 11.3381544 49.7695826, 11.3381017 49.7696142, 11.3380688 49.7696359, 11.3379998 49.7696839, 11.3377052 49.7698727, 11.337478 49.7700174, 11.3374559 49.7700805, 11.337131 49.7703075, 11.3371084 49.7703233, 11.3370618 49.7703559)",yes
25697635,,,Am Kreuzberg,residential,30,False,False,230.76000000000002,"LINESTRING (11.3379085 49.7692831, 11.3378765 49.7692123, 11.3378593 49.7691843, 11.3378236 49.7691392, 11.3374068 49.7686909, 11.3374303 49.768551, 11.3375979 49.7683081, 11.3377203 49.7681117, 11.3377828 49.7679937, 11.3378105 49.7678333, 11.3378498 49.7673406)",
