osmid,lanes,ref,highway,oneway,reversed,length,maxspeed,geometry,name,bridge,access,width
52826822,5,B 8,primary,False,True,17.055,,"LINESTRING (9.8753398 49.7882202, 9.875506 49.7881106)",,,,
4476993,,,primary_link,True,False,77.529,50,"LINESTRING (9.8753398 49.7882202, 9.8755687 49.7879329, 9.8756009 49.7878801, 9.875616 49.7878274, 9.8756198 49.7877736, 9.8756049 49.7877231, 9.8754717 49.7875899)",,,,
27466243,,,living_street,False,False,147.634,,"LINESTRING (9.8773517 49.7830376, 9.8774524 49.7830476, 9.8778611 49.7830731, 9.8781911 49.7830613, 9.8785015 49.7830337, 9.8786336 49.783015, 9.8789131 49.7829748, 9.8791097 49.7829331, 9.8793523 49.7828545)",Wallweg,,,
27770799,,,residential,False,True,81.33600000000001,30,"LINESTRING (9.8773517 49.7830376, 9.8772416 49.783058, 9.8770967 49.7830876, 9.8764091 49.7832905, 9.8763119 49.7833242)",Roter Rain,,,
"[365518840, 401837225, 4462858, 30927438]",,,"['residential', 'living_street']",False,False,223.675,30,"LINESTRING (9.8773517 49.7830376, 9.8773707 49.7828694, 9.877366 49.7827167, 9.8773287 49.7825516, 9.8772776 49.7824389, 9.8772249 49.7823641, 9.876807 49.7819496, 9.8767769 49.7819222, 9.8763207 49.7815074, 9.8762063 49.7814393, 9.8761071 49.7814112, 9.8760432 49.7813816, 9.8759429 49.7813919)","['Herrenweg', 'Friedrich-Ebert-Straße']",,,
30927438,,,residential,False,True,230.538,30,"LINESTRING (9.8773517 49.7830376, 9.8774274 49.7831023, 9.8775539 49.7831792, 9.8777828 49.7833199, 9.8780186 49.783479, 9.8781704 49.7835814, 9.8783485 49.7837168, 9.8786577 49.7840469, 9.8788321 49.7842157, 9.8790107 49.7843408, 9.8792262 49.7844665, 9.8794356 49.7846)",Friedrich-Ebert-Straße,,,
4462859,,,residential,False,True,40.938,30,"LINESTRING (9.8750975 49.7824111, 9.8755206 49.7826579)",Schwedenweg,,,
365518863,,,residential,False,True,30.567,30,"LINESTRING (9.8750975 49.7824111, 9.8753108 49.7821732)",Herrenweg,,,
27770799,,,residential,False,False,134.276,30,"LINESTRING (9.8746382 49.7838629, 9.8762661 49.7833365, 9.8763119 49.7833242)",Roter Rain,,,
27770840,,,residential,False,False,56.939,30,"LINESTRING (9.8746382 49.7838629, 9.8747424 49.7839487, 9.8749338 49.7840648, 9.8752382 49.7841908)",Heinrich-Lübke-Straße,,,
4462860,,,residential,False,False,47.098,30,"LINESTRING (9.8761846 49.7847771, 9.8756182 49.7849908)",Theodor-Heuss-Straße,,,
4462860,,,residential,False,True,2.272,30,"LINESTRING (9.8761846 49.7847771, 9.8762161 49.7847751)",Theodor-Heuss-Straße,,,
27770840,,,residential,False,True,94.55799999999999,30,"LINESTRING (9.8761846 49.7847771, 9.8760759 49.7846855, 9.8758559 49.7845257, 9.8755923 49.7843697, 9.8753149 49.7842283, 9.8752382 49.7841908)",Heinrich-Lübke-Straße,,,
4462860,,,residential,False,False,48.601,30,"LINESTRING (9.8756182 49.7849908, 9.8750337 49.7852113)",Theodor-Heuss-Straße,,,
4462860,,,residential,False,True,47.098,30,"LINESTRING (9.8756182 49.7849908, 9.8761846 49.7847771)",Theodor-Heuss-Straße,,,
27870956,,,residential,False,False,31.238,30,"LINESTRING (9.8756182 49.7849908, 9.8758086 49.7852434)",Theodor-Heuss-Straße,,,
4462860,,,residential,False,True,58.824,30,"LINESTRING (9.8744537 49.7856294, 9.8747722 49.7853637, 9.8749939 49.7852342)",Theodor-Heuss-Straße,,,
"[1062397064, 799360704]",,,residential,False,True,136.412,"['50', '30']","LINESTRING (9.8744537 49.7856294, 9.874637 49.7856958, 9.8748176 49.7857781, 9.8751462 49.785936, 9.875384 49.7860985, 9.8756127 49.7862864, 9.8758319 49.7864566)",Fasanenstraße,,,
