osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,lanes,access,bridge,tunnel,width
592850919,True,Bahnhofstraße,residential,30,False,117.803,,"LINESTRING (8.0117749 48.4054032, 8.0105354 48.4047359)",,,,,
"[934658700, 934658703]",False,Leutkirchstraße,secondary,30,True,19.481,L 99,"LINESTRING (8.0117749 48.4054032, 8.0118283 48.405312, 8.0118705 48.4052399)",,,,,
"[814244480, 934658702]",False,Leutkirchstraße,secondary,30,False,144.85,L 99,"LINESTRING (8.0117749 48.4054032, 8.0117666 48.4054183, 8.0116837 48.4055738, 8.0116632 48.4056122, 8.0114638 48.4059876, 8.0113917 48.4061215, 8.0113303 48.4062375, 8.0112837 48.4063251, 8.0112543 48.4063905, 8.0111256 48.4066324)",,,,,
40873097,False,Hauptstraße,residential,20,True,93.10600000000001,,"LINESTRING (8.0129168 48.40394, 8.0130316 48.4039367, 8.0131332 48.403924, 8.0133909 48.4038888, 8.013513 48.403874, 8.0136657 48.4038611, 8.0138698 48.4038583, 8.0140091 48.4038634, 8.0141656 48.4038786)",,,,,
80476807,False,Leutkirchstraße,secondary,30,False,63.309,L 99,"LINESTRING (8.0129168 48.40394, 8.0128906 48.403955, 8.0127918 48.4040064, 8.0126418 48.4040785, 8.0123678 48.4042413, 8.0122757 48.4043153)",,,,,
992274758,True,Grabenstraße,unclassified,30,False,102.721,,"LINESTRING (8.0129168 48.40394, 8.0129469 48.4040281, 8.0130716 48.4043336, 8.0131495 48.4045216, 8.0132673 48.4047008, 8.0133596 48.4048114)",,,,,
"[62220464, 1241218971, 1259369566]",False,Friedrichstraße,secondary,"['50', '30']",False,328.699,L 99,"LINESTRING (8.0129168 48.40394, 8.0129113 48.4038807, 8.0128822 48.4038266, 8.0128082 48.4037399, 8.0127449 48.4036104, 8.0126396 48.4033952, 8.0125934 48.4032704, 8.0125887 48.403207, 8.0126057 48.4031548, 8.0126536 48.4031049, 8.0126858 48.4030771, 8.0127297 48.4030514, 8.0128491 48.4030035, 8.0129999 48.4029532, 8.0131495 48.4029073, 8.0132957 48.4028703, 8.0135192 48.4028173, 8.0138105 48.4027627, 8.014028 48.4027281, 8.0142733 48.4026975, 8.0144438 48.4026824, 8.014784 48.4026619, 8.0150489 48.4026619, 8.0152954 48.402667, 8.0156334 48.402704)",2,,,,
24218362,False,Friedrichstraße,tertiary,50,False,137.432,K 5336,"LINESTRING (8.0160111 48.4027301, 8.0161044 48.4027645, 8.0161939 48.4027808, 8.0163592 48.402805, 8.017409 48.4029012, 8.0178395 48.4029329)",,,,,
"[62220464, 42484756]",False,Friedrichstraße,secondary,50,True,28.495,L 99,"LINESTRING (8.0160111 48.4027301, 8.0159183 48.4027434, 8.0158459 48.402735, 8.0156334 48.402704)",,,,,
"[155455874, 934658710]",False,Brückenhäuserstraße,secondary,50,True,31.772000000000002,L 99,"LINESTRING (8.0160111 48.4027301, 8.0160348 48.4027095, 8.0160605 48.4026657, 8.0160813 48.4026285, 8.0161383 48.4025165, 8.0161615 48.4024638)",,yes,,,
"[550488506, 51527790]",False,Brückenhäuserstraße,secondary,50,"[False, True]",51.924,L 99,"LINESTRING (8.0168912 48.4010225, 8.0169234 48.4009605, 8.0172058 48.4006056)",,,,,
155451264,False,Berghauptener Straße,tertiary,50,False,317.62,,"LINESTRING (8.0168912 48.4010225, 8.0157903 48.4007842, 8.0148487 48.4005804, 8.014475 48.400499, 8.0139649 48.4004321, 8.0134454 48.4003762, 8.0129222 48.4003384, 8.0127353 48.4003235)",,,,,
"[22921445, 934658697, 894142095, 894142096, 22921460, 934658710]",False,Brückenhäuserstraße,secondary,50,False,169.09299999999996,L 99,"LINESTRING (8.0168912 48.4010225, 8.0168649 48.4010684, 8.0167194 48.4013571, 8.016708 48.401377, 8.0167006 48.4013894, 8.016258 48.4022552, 8.0162454 48.4022833, 8.0161615 48.4024638)",2,yes,yes,,
"[550488507, 125409542]",False,Im Fischerfeld,residential,30,True,40.208999999999996,,"LINESTRING (8.0183874 48.3991755, 8.0184542 48.3992006, 8.0188288 48.3993415, 8.0188614 48.3993536)",,,,,
