osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction
52901677,True,3,L 130,Tholeyer Straße,secondary,50,False,110.619,"LINESTRING (7.1645363 49.4684471, 7.1649552 49.4684431, 7.1652219 49.4684037, 7.1657898 49.4683046, 7.1658553 49.4682908, 7.1660263 49.4682513)",,
"[81252934, 81275311]",False,3,L 131,Tholeyer Straße,secondary,50,True,208.54000000000005,"LINESTRING (7.1645363 49.4684471, 7.1643403 49.4684255, 7.1642978 49.4684208, 7.1641892 49.4684088, 7.1639998 49.4683677, 7.1638936 49.4683242, 7.1638181 49.4682779, 7.1637693 49.4682143, 7.1637123 49.4681271, 7.1636288 49.4678779, 7.1635503 49.4675638, 7.1634968 49.4673776, 7.1633911 49.4670456, 7.1633207 49.4669563)",,
142308082,False,3,L 134,St.Annenstraße,secondary,50,False,39.635999999999996,"LINESTRING (7.1645363 49.4684471, 7.1645169 49.4685574, 7.1645117 49.4685866, 7.1644356 49.4687969)",,
1150171715,False,4,L 132,Mommstraße,secondary,50,True,6.209,"LINESTRING (7.1660358 49.4683068, 7.1660263 49.4682513)",,
1150171716,False,3,L 132,Mommstraße,secondary,50,False,8.515,"LINESTRING (7.1660358 49.4683068, 7.1660489 49.4683829)",,
"[142308081, 25444489, 25444490]",True,,,Brühlstraße,tertiary,30,False,116.172,"LINESTRING (7.1660358 49.4683068, 7.166183 49.4683063, 7.16621 49.4683076, 7.1662936 49.4683115, 7.1667204 49.4684325, 7.1668387 49.4684724, 7.1673749 49.4686379, 7.1675173 49.4686809)",yes,
25444490,True,,,Brühlstraße,tertiary,30,False,48.992,"LINESTRING (7.1683421 49.4689243, 7.1688807 49.4691064, 7.1689309 49.4691389)",,
6073480,True,,,Luisenstraße,living_street,,False,76.839,"LINESTRING (7.1689309 49.4691389, 7.1690726 49.4689573, 7.1691651 49.4688551, 7.1692653 49.4687648, 7.1693887 49.468683, 7.1695705 49.4686025)",,
37613936,True,2,,Kelsweilerstraße,tertiary,,False,29.470999999999997,"LINESTRING (7.1689309 49.4691389, 7.168902 49.4692166, 7.1688724 49.4692864, 7.16886 49.4693157, 7.1688359 49.4693965)",,
71738988,True,2,,Kelsweilerstraße,tertiary,50,False,114.015,"LINESTRING (7.1687934 49.4695139, 7.1683248 49.470493)",,
"[37613936, 70882489, 37613935]",True,2,,Kelsweilerstraße,tertiary,,False,13.412,"LINESTRING (7.1688359 49.4693965, 7.1688227 49.4694299, 7.1688074 49.4694764, 7.1687934 49.4695139)",yes,
37892219,False,,,Alter Woog,residential,30,True,177.0,"LINESTRING (7.1688359 49.4693965, 7.1690251 49.4694069, 7.169221 49.4694062, 7.1693717 49.4693945, 7.1696127 49.4693509, 7.1702224 49.4692231, 7.1703243 49.4691979, 7.1704647 49.4691586, 7.1705492 49.4691429, 7.1706739 49.46914, 7.1709129 49.4691717, 7.1710761 49.469205, 7.1712038 49.4692255)",,
