osmid,lanes,highway,maxspeed,width,junction,oneway,reversed,length,geometry,name,bridge,ref
23303786,1,tertiary,50,6,roundabout,True,False,16.695,"LINESTRING (8.4222211 51.8041634, 8.4222677 51.8041539, 8.4223151 51.8041581, 8.4223566 51.804176, 8.422377 51.8041976, 8.4223811 51.8042314)",,,
23303786,1,tertiary,50,6,roundabout,True,False,15.110999999999999,"LINESTRING (8.4223811 51.8042314, 8.4223649 51.8042558, 8.4223364 51.8042735, 8.4223026 51.8042829, 8.4222549 51.8042834, 8.4222082 51.8042693)",,,
"[962287137, 1144310551]",,tertiary,50,6,,False,False,57.617,"LINESTRING (8.4223811 51.8042314, 8.4224597 51.8042429, 8.422469 51.8042452, 8.4226392 51.8042874, 8.4227558 51.8043257, 8.422855 51.8043618, 8.4229774 51.8044105, 8.4231189 51.80447)",Mastholter Straße,,
34139686,,tertiary,20,,,False,False,45.444,"LINESTRING (8.425831 51.8063838, 8.4256651 51.8059882)",Rathausstraße,,
"[24239157, 24271422]",,"['residential', 'living_street']",,,,False,False,244.226,"LINESTRING (8.425831 51.8063838, 8.4250176 51.8065752, 8.4249126 51.8066486, 8.4248324 51.8067065, 8.4247152 51.8068328, 8.4245609 51.8071036, 8.4245049 51.8073044, 8.4244864 51.8074441, 8.4245193 51.8076926, 8.4245522 51.8078181, 8.4246602 51.8081422)",Am Westwall,,
"[24476971, 1144310550]",,residential,,,,False,True,339.995,"LINESTRING (8.425831 51.8063838, 8.4259588 51.8063632, 8.4261386 51.8063523, 8.4264285 51.8063685, 8.4268954 51.8063903, 8.4273453 51.8064246, 8.4274166 51.8064329, 8.4276044 51.8064588, 8.4277226 51.8064736, 8.4292408 51.8066602, 8.4298583 51.8067361, 8.4300386 51.8067901, 8.4305735 51.8070253)",Am Südwall,,
59648416,,residential,20,,,True,False,27.661,"LINESTRING (8.4273959 51.8082156, 8.4276552 51.808214, 8.4277947 51.8082335)",Rügenstraße,,
"[24239152, 934139695]",1,residential,"['20', '30']",,,False,False,167.01300000000003,"LINESTRING (8.4273959 51.8082156, 8.4269897 51.808246, 8.4267979 51.8082234, 8.4266423 51.8082026, 8.4254917 51.8081197, 8.4249845 51.8081173)",Müntestraße,,
1144310547,1,tertiary,20,,,True,False,60.853,"LINESTRING (8.4273959 51.8082156, 8.4273521 51.8080507, 8.4273271 51.8079813, 8.4273133 51.8079541, 8.4272513 51.8078795, 8.4270767 51.8077151)",Rathausstraße,,
24239153,,residential,,,,False,False,109.59299999999999,"LINESTRING (8.4275484 51.8094138, 8.4273377 51.8094161, 8.4270804 51.8093762, 8.4268254 51.8093019, 8.4264366 51.8091382, 8.4261684 51.8089844)",Pochenstraße,,
42133540,1,tertiary,20,,,True,False,133.647,"LINESTRING (8.4275484 51.8094138, 8.4275215 51.8092153, 8.427405 51.8082979, 8.4273959 51.8082156)",Rathausstraße,,
