osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,access,width
26071561,True,K 10,Hörenberg,tertiary,50,False,30.139,"LINESTRING (8.9345508 53.219631, 8.9346642 53.219673, 8.9349624 53.2197414)",,,
"[1243674526, 1072032350]",False,L 153,Ostendorfer Straße,secondary,50,False,17.612000000000002,"LINESTRING (8.9345508 53.219631, 8.9345093 53.2196987, 8.9344597 53.2197797)",2,,
"[1243641211, 18482310, 1243674527]",False,L 153,Hembergstraße,secondary,50,True,232.161,"LINESTRING (8.9317269 53.2210552, 8.9321664 53.2208755, 8.9336705 53.220227, 8.9340493 53.2200755, 8.9342249 53.2199798, 8.9344201 53.2198134, 8.9344597 53.2197797)",2,,
24713582,False,,Im Schluh,residential,30,False,264.505,"LINESTRING (8.9317269 53.2210552, 8.9318895 53.2210605, 8.9334783 53.2211125, 8.9335527 53.2213481, 8.9342969 53.2214722, 8.9344886 53.2215361, 8.9345946 53.2215714, 8.9346318 53.2219931)",,destination,
28195246,False,L 153,Hembergstraße,secondary,50,False,36.473,"LINESTRING (8.9317269 53.2210552, 8.931657 53.2210783, 8.9316294 53.221089, 8.9312635 53.22123)",2,,
6386767,False,,Bergstraße,living_street,,False,292.33,"LINESTRING (8.9312635 53.22123, 8.9310231 53.2211426, 8.9306063 53.2211492, 8.9293515 53.221169, 8.9282429 53.2211717, 8.9280051 53.2211646, 8.9274411 53.2211456, 8.9272496 53.2211317, 8.9270551 53.2211176, 8.9269192 53.2211067)",,,5.5
28195246,False,L 153,Hembergstraße,secondary,50,True,36.473,"LINESTRING (8.9312635 53.22123, 8.9316294 53.221089, 8.931657 53.2210783, 8.9317269 53.2210552)",2,,
28195247,False,L 153,Hembergstraße,secondary,50,False,236.207,"LINESTRING (8.9312635 53.22123, 8.9306805 53.22146, 8.9301305 53.2216719, 8.9294272 53.2218858, 8.929117 53.2219801, 8.9284217 53.2221702, 8.9281552 53.2222455)",2,,
26012585,True,,Udo-Peters-Weg,residential,30,False,306.77399999999994,"LINESTRING (8.9281552 53.2222455, 8.927826 53.2224772, 8.9274971 53.2226842, 8.9273196 53.2228061, 8.9269447 53.2233172, 8.9266385 53.2237397, 8.9264827 53.223947, 8.9262553 53.2242655, 8.9257747 53.2245643)",,,3.5
28195247,False,L 153,Hembergstraße,secondary,50,False,209.856,"LINESTRING (8.9281552 53.2222455, 8.927835 53.2222767, 8.9277372 53.2222862, 8.9272869 53.2223248, 8.9272063 53.222333, 8.9266866 53.2223804, 8.9264358 53.2224098, 8.9261743 53.2224706, 8.925915 53.2225651, 8.9256287 53.2226986, 8.925271 53.2228754)",2,,
28195247,False,L 153,Hembergstraße,secondary,50,True,236.207,"LINESTRING (8.9281552 53.2222455, 8.9284217 53.2221702, 8.929117 53.2219801, 8.9294272 53.2218858, 8.9301305 53.2216719, 8.9306805 53.22146, 8.9312635 53.22123)",2,,
42045560,False,L 153,Findorffstraße,secondary,50,False,15.826,"LINESTRING (8.925271 53.2228754, 8.9251611 53.2230016)",2,,
28195247,False,L 153,Hembergstraße,secondary,50,True,209.85600000000002,"LINESTRING (8.925271 53.2228754, 8.9256287 53.2226986, 8.925915 53.2225651, 8.9261743 53.2224706, 8.9264358 53.2224098, 8.9266866 53.2223804, 8.9272063 53.222333, 8.9272869 53.2223248, 8.9277372 53.2222862, 8.927835 53.2222767, 8.9281552 53.2222455)",2,,
24874894,False,,Sophie-Bötjer-Weg,residential,30,True,90.673,"LINESTRING (8.9257747 53.2245643, 8.9253502 53.2248199, 8.9248543 53.2251647)",,,
42043390,False,L 153,Findorffstraße,secondary,50,False,180.83499999999998,"LINESTRING (8.9257747 53.2245643, 8.9254193 53.2240853, 8.9253053 53.2238702, 8.9251602 53.2233573, 8.9251505 53.2232173, 8.9251445 53.2231306, 8.9251611 53.2230016)",2,,
42043390,False,L 153,Findorffstraße,secondary,50,True,67.105,"LINESTRING (8.9257747 53.2245643, 8.9262488 53.2249275, 8.9263085 53.2249733, 8.9264076 53.2250334)",2,,
1245155377,False,,Kattenpad,residential,30,False,11.111,"LINESTRING (8.9283565 53.2261192, 8.9282034 53.226159)",,,
42043390,False,L 153,Findorffstraße,secondary,50,False,177.58300000000003,"LINESTRING (8.9283565 53.2261192, 8.9278792 53.2259102, 8.9271805 53.2255027, 8.9264076 53.2250334)",2,,
815820196,False,L 153,Osterweder Straße,secondary,50,True,62.786,"LINESTRING (8.9283565 53.2261192, 8.9285483 53.2261828, 8.9288244 53.2262775, 8.9291197 53.2263791, 8.9291762 53.2263985)",2,,
"[1245148840, 25730499]",False,,Im Schluh,residential,30,True,183.526,"LINESTRING (8.9283565 53.2261192, 8.9284442 53.2260937, 8.9298215 53.225693, 8.9308465 53.2254109)",,,
815820196,False,L 153,Osterweder Straße,secondary,50,False,164.586,"LINESTRING (8.9313591 53.2270934, 8.9304327 53.2268006, 8.9301692 53.2267173, 8.9293219 53.2264495, 8.9291762 53.2263985)",2,,
4837830,True,K 11,Findorffstraße,tertiary,50,False,23.248,"LINESTRING (8.9251611 53.2230016, 8.9249303 53.2228447)",1,,
42045560,False,L 153,Findorffstraße,secondary,50,True,15.826,"LINESTRING (8.9251611 53.2230016, 8.925271 53.2228754)",2,,
42043390,False,L 153,Findorffstraße,secondary,50,True,180.835,"LINESTRING (8.9251611 53.2230016, 8.9251445 53.2231306, 8.9251505 53.2232173, 8.9251602 53.2233573, 8.9253053 53.2238702, 8.9254193 53.2240853, 8.9257747 53.2245643)",2,,
4837833,True,K 11,Findorffstraße,tertiary,50,False,22.937,"LINESTRING (8.9249303 53.2228447, 8.925271 53.2228754)",1,,
