osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,geometry,width,bridge,access,junction,tunnel
178608193,True,Austraße,residential,False,82.489,,,,"LINESTRING (8.6874154 48.4427397, 8.6875601 48.4420041)",,,,,
178608186,False,Dammstraße,primary,False,144.13299999999995,2,L 398,50,"LINESTRING (8.6874154 48.4427397, 8.6872688 48.4427235, 8.687015 48.4426814, 8.6868134 48.442625, 8.6866716 48.4425812, 8.686491 48.4425146, 8.6862406 48.4423992, 8.6858909 48.4422211, 8.685808 48.4421707, 8.6857271 48.4421277)",,,,,
"[424285528, 424285529, 1059818438]",False,Dammstraße,primary,True,243.23,3,L 398,50,"LINESTRING (8.6874154 48.4427397, 8.6878473 48.4427642, 8.6882988 48.4427753, 8.6885086 48.4427766, 8.6889175 48.4427776, 8.6897048 48.4427543, 8.6900957 48.4427468, 8.6902687 48.4427437, 8.6904343 48.4427405, 8.690507 48.4427389, 8.6907091 48.4427276)",,,,,
389282032,True,Bahnhofplatz,residential,False,20.746,,,30,"LINESTRING (8.6859205 48.4418017, 8.6857765 48.4418189, 8.6856629 48.4418672)",,,,,
"[389282033, 528430951]",False,Bahnhofplatz,residential,False,41.298,2,,30,"LINESTRING (8.6859205 48.4418017, 8.6860404 48.4418268, 8.6860774 48.4418337, 8.6861962 48.4418556, 8.6862786 48.4418735, 8.6864593 48.4419019)",,,,,
"[1030956052, 1243716165]",True,Bahnhofplatz,residential,False,115.41199999999999,,,"['20', '30']","LINESTRING (8.6875601 48.4420041, 8.6889275 48.4421234, 8.6891116 48.4421381)",,,,,
178608195,True,Lindenstraße,residential,False,56.295,,,,"LINESTRING (8.6891116 48.4421381, 8.6890348 48.4426418)",,,,,
"[1243716164, 689493484, 139217651, 164473460, 61294165]",True,Bahnhofplatz,residential,False,154.623,3,,"['20', '50']","LINESTRING (8.6891116 48.4421381, 8.6891696 48.4421443, 8.689372 48.4421667, 8.689499 48.4421841, 8.6895584 48.4421888, 8.6897216 48.4422017, 8.6898366 48.4422127, 8.6899652 48.4422219, 8.6900643 48.4422299, 8.6903187 48.4422488, 8.690415 48.4422541, 8.6904407 48.4422683, 8.6904545 48.4422831, 8.6905413 48.4423794, 8.6906662 48.4426163, 8.6906782 48.4426419, 8.6907091 48.4427276)",8.3,,,,
188632713,False,Neckarstraße,primary,False,84.93,2,B 32,30,"LINESTRING (8.6924531 48.4444922, 8.6922025 48.4444085, 8.6920677 48.4443656, 8.6919358 48.4443325, 8.691789 48.4443097, 8.6916404 48.4442761, 8.6915749 48.4442514, 8.6914481 48.4441512)",,,,,
"[188632713, 275089139]",False,Neckarstraße,primary,True,61.981,2,B 32,30,"LINESTRING (8.6924531 48.4444922, 8.6927027 48.4445765, 8.6929317 48.4446566, 8.6930824 48.444724, 8.6931646 48.4447816)",,,,,
193727491,False,Mühlgäßle,living_street,True,65.441,,,,"LINESTRING (8.6924531 48.4444922, 8.6924816 48.4444503, 8.6925742 48.4443141, 8.6926118 48.444066, 8.6926297 48.4439227)",,,,,
178608189,True,Neckarstraße,living_street,False,203.83899999999997,,,,"LINESTRING (8.6904273 48.4441928, 8.6897823 48.444154, 8.6893509 48.4441453, 8.6892977 48.4441499, 8.6889185 48.4441827, 8.6888414 48.4441901, 8.6886224 48.4442155, 8.688231 48.4442575, 8.6876822 48.4442936)",,,,,
"[24693591, 178608198, 119789463]",True,Wilhelmstraße,living_street,False,67.213,,,,"LINESTRING (8.6904273 48.4441928, 8.6904469 48.4438928, 8.690452 48.4437491, 8.6904516 48.4437367, 8.6904467 48.4435887)",,yes,,,
178608192,False,Schillerstraße,residential,True,250.35299999999998,,,,"LINESTRING (8.6904467 48.4435887, 8.6902487 48.4435995, 8.6887933 48.4436923, 8.6882147 48.4437278, 8.6879984 48.4437404, 8.6877779 48.4437532, 8.6875733 48.4437651, 8.687369 48.443777, 8.6870696 48.443809)",,,,,
953318124,True,Schillerstraße,residential,False,48.53,2,,,"LINESTRING (8.6904467 48.4435887, 8.6909325 48.4435621, 8.6909984 48.4435585, 8.6911024 48.4435527)",,,,,
164473490,False,,unclassified,False,65.026,,,,"LINESTRING (8.6932189 48.4450454, 8.6933358 48.4450585, 8.6937732 48.4450683, 8.6940728 48.4449841)",,,,,
218679809,False,Gutermannstraße,primary,False,30.27,3,B 32,30,"LINESTRING (8.6932189 48.4450454, 8.6932389 48.4449829, 8.6932087 48.4448576, 8.6931646 48.4447816)",,,,,
"[218679809, 1093150705]",False,Gutermannstraße,primary,True,45.981,3,B 32,30,"LINESTRING (8.6932189 48.4450454, 8.6931657 48.4451115, 8.6930112 48.4452389, 8.6929225 48.4453267, 8.6928947 48.4453936)",,,,,
24873896,False,Marktstraße,residential,False,9.12,,,20,"LINESTRING (8.6905193 48.4453001, 8.6905168 48.4452181)",,,,,
"[1093150704, 164473466, 158854631]",False,Gutermannstraße,tertiary,False,178.064,3,,30,"LINESTRING (8.6905193 48.4453001, 8.6906388 48.4453046, 8.6907204 48.4453103, 8.6912642 48.4453779, 8.6914771 48.4454187, 8.6916744 48.44545, 8.6918046 48.44547, 8.6919489 48.4454743, 8.6920436 48.4454756, 8.6921114 48.4454729, 8.6922606 48.4454668, 8.6927323 48.4454217, 8.6928947 48.4453936)",,,,,
1059818444,False,Bildechinger Steige,tertiary,False,13.664000000000001,,,30,"LINESTRING (8.6905193 48.4453001, 8.6904692 48.4453107, 8.6904397 48.4453421, 8.6904231 48.4453919)",,,,,
84407016,False,Bildechinger Steige,tertiary,True,132.812,,,30,"LINESTRING (8.6900095 48.4465416, 8.6900513 48.4464042, 8.6901206 48.4461702, 8.6901827 48.4460279, 8.6903332 48.4457949, 8.6904268 48.4455957, 8.6904425 48.4455214, 8.6904416 48.445471, 8.6904231 48.4453919)",,,,,
"[1078289481, 24685082, 157562654]",False,Weingasse,"['residential', 'living_street']",False,393.36,,,30,"LINESTRING (8.6900095 48.4465416, 8.6902944 48.4465337, 8.6903258 48.4465328, 8.6903449 48.4465291, 8.690404 48.4465177, 8.6904192 48.4465147, 8.6907299 48.4464546, 8.6908978 48.4464208, 8.6911344 48.4463731, 8.6914743 48.4463076, 8.6922331 48.4463096, 8.6930378 48.446245, 8.6931737 48.4462491, 8.6932923 48.4462526, 8.6933523 48.4462577, 8.6936512 48.4462909, 8.6938253 48.4463208, 8.6939232 48.4463442, 8.6940008 48.4463671, 8.694023 48.4463737, 8.6942438 48.4464973, 8.6945705 48.4467198, 8.6947272 48.4468761, 8.6947456 48.4469192, 8.694768 48.4470044)",,,,,
24414550,True,Starzelbachweg,residential,False,68.755,,,,"LINESTRING (8.6960457 48.4461524, 8.69604 48.4463277, 8.6960942 48.4464434, 8.6961474 48.4465509, 8.6962039 48.4466715, 8.6962618 48.4467444)",,,,,
