osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,bridge,width,access
28626847,Severinstraße,residential,30,False,False,8.204,"LINESTRING (8.1119106 51.572668, 8.1118304 51.5727224)",,,,,
30878626,Helle,residential,30,True,False,107.41899999999998,"LINESTRING (8.1119106 51.572668, 8.1120067 51.5726019, 8.1122021 51.5724578, 8.1125132 51.5721764, 8.1125721 51.5721453, 8.113047 51.5720973)",,,,,
28482998,Osthofenstraße,residential,30,False,False,10.142,"LINESTRING (8.1099116 51.5719332, 8.1100571 51.5719213)",,,,,
"[28665908, 28626773, 283105316]","['Domplatz', 'Propst-Nübel-Straße']",residential,30,False,True,167.654,"LINESTRING (8.1099116 51.5719332, 8.1097314 51.5719088, 8.1096615 51.5719041, 8.1092377 51.5718757, 8.1088256 51.571848, 8.1086139 51.5718793, 8.1084832 51.5718793, 8.107807 51.5717386, 8.1075497 51.5716899)",,,,,
"[34141334, 760489015]",Walburger-Osthofen-Wallstraße,tertiary,50,False,False,107.472,"LINESTRING (8.1088186 51.5769726, 8.1088481 51.5769617, 8.1092528 51.576816, 8.1099878 51.5765715, 8.1101809 51.5765066)",3,,,,
"[1117084274, 34141333, 970639847]",Walburgerstraße,residential,30,False,False,30.89,"LINESTRING (8.1088186 51.5769726, 8.1087485 51.5768905, 8.1087318 51.5768709, 8.1086873 51.5768141, 8.108677 51.5767681, 8.1086894 51.5767156)",,,,,
26688766,,tertiary,50,True,False,11.013,"LINESTRING (8.102515 51.5769484, 8.102558 51.576929, 8.1026078 51.5769176, 8.1026608 51.576915)",1,roundabout,,,
"[26688761, 124737451, 970631693, 1005327606]",Aldegreverwall,tertiary,50,False,True,156.925,"LINESTRING (8.102515 51.5769484, 8.1024347 51.5768998, 8.1021545 51.5766998, 8.1017679 51.5764161, 8.1015722 51.5762746, 8.1013263 51.5760938, 8.1012617 51.5760298, 8.1011984 51.5759564, 8.1011331 51.5758756, 8.1011094 51.5758471)",2,,yes,,
"[26688761, 124737451, 970631693, 1005327606]",Aldegreverwall,tertiary,50,False,False,156.925,"LINESTRING (8.1011094 51.5758471, 8.1011331 51.5758756, 8.1011984 51.5759564, 8.1012617 51.5760298, 8.1013263 51.5760938, 8.1015722 51.5762746, 8.1017679 51.5764161, 8.1021545 51.5766998, 8.1024347 51.5768998, 8.102515 51.5769484)",2,,yes,,
124737452,Aldegreverwall,tertiary,50,False,False,94.857,"LINESTRING (8.1011094 51.5758471, 8.1007817 51.57546, 8.100751 51.5754237, 8.1007124 51.5753801, 8.1004948 51.5750847)",,,,,
"[30200216, 758553818, 201153967]",Am Soestbach,residential,30,False,True,100.792,"LINESTRING (8.1011094 51.5758471, 8.10119 51.5758203, 8.1013535 51.5757668, 8.1015437 51.5756714, 8.1017593 51.5754994, 8.1018512 51.5753688, 8.10189 51.5753008, 8.1019034 51.5752773, 8.1019087 51.5751521)",,,,,
"[289563216, 291976191]",Freiligrathwall,tertiary,50,False,True,470.288,"LINESTRING (8.099434 51.5726565, 8.0993652 51.5724921, 8.099294 51.5722805, 8.0992429 51.5720253, 8.0991666 51.5714386, 8.0991575 51.5713686, 8.0991616 51.5712234, 8.0991967 51.5711303, 8.0994455 51.5706746, 8.0998217 51.5699814, 8.1001862 51.5692953, 8.100329 51.5690377, 8.1004641 51.5688206, 8.1006237 51.5685956)","['2', '3']",,,,
