osmid,name,highway,maxspeed,oneway,reversed,length,width,geometry,lanes,junction,bridge
41035700,Maschstraße,tertiary,30,False,True,14.668,,"LINESTRING (8.9696458 52.3789977, 8.9695904 52.3791252)",,,
30148300,Schloßfreiheit,tertiary,30,False,False,75.994,6,"LINESTRING (8.9696458 52.3789977, 8.9697682 52.3786201, 8.9698109 52.3785185, 8.9698744 52.3783288)",,,
836855656,Schloßfreiheit,residential,,False,True,94.32,,"LINESTRING (8.9696458 52.3789977, 8.9698894 52.3790625, 8.9701018 52.3791293, 8.9705019 52.3792423, 8.9709207 52.3793324)",,,
43384015,Hauptstraße,tertiary,30,False,False,78.995,,"LINESTRING (8.9655935 52.3774043, 8.9656906 52.377399, 8.9667003 52.3776082)",,,
1215820172,,tertiary,30,True,False,20.281000000000002,,"LINESTRING (8.9655935 52.3774043, 8.9655968 52.3774407, 8.9655752 52.3774747, 8.9655326 52.3775003, 8.9654765 52.3775129, 8.9654169 52.3775103)",1,roundabout,
4867708,Bremer Straße,residential,30,False,False,248.17900000000003,,"LINESTRING (8.9654169 52.3775103, 8.9653422 52.3776037, 8.9651377 52.3779887, 8.9649572 52.3783888, 8.9648953 52.3785502, 8.9648679 52.3787004, 8.9648497 52.3790963, 8.9648977 52.3796909)",,,
1217205001,,tertiary,30,True,False,12.419,,"LINESTRING (8.9654169 52.3775103, 8.9653634 52.3774924, 8.9653272 52.3774625, 8.9653149 52.377426)",1,roundabout,
30148300,Schloßfreiheit,tertiary,30,False,True,75.994,6,"LINESTRING (8.9698744 52.3783288, 8.9698109 52.3785185, 8.9697682 52.3786201, 8.9696458 52.3789977)",,,
30153941,Vormbaumstraße,residential,,False,False,57.891000000000005,,"LINESTRING (8.9698744 52.3783288, 8.970084 52.3782737, 8.970363 52.3781934, 8.9703767 52.3781895, 8.9706491 52.3781112)",,,
42451712,Mindener Straße,tertiary,30,False,True,58.456999999999994,6,"LINESTRING (8.9698744 52.3783288, 8.9699948 52.3781595, 8.9702516 52.3778565)",,,
43384015,Hauptstraße,tertiary,30,False,True,80.084,,"LINESTRING (8.9698744 52.3783288, 8.9697615 52.3783089, 8.9696278 52.3782777, 8.9691663 52.3781518, 8.9687831 52.3780567)",,,
