osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,access,tunnel,junction
23303192,Ueckerstraße,residential,50,False,False,93.705,"LINESTRING (14.0417875 53.7389489, 14.0419073 53.7389324, 14.0421491 53.738851, 14.0425175 53.7387206, 14.0428379 53.7385952, 14.0430057 53.7385205)",,,,,,
"[1228592573, 1228309471]",Chausseestraße,secondary,50,False,True,375.66799999999995,"LINESTRING (14.0417875 53.7389489, 14.041788 53.7389102, 14.0413908 53.7384288, 14.0410165 53.737901, 14.04095 53.7378331, 14.0407559 53.7376624, 14.0406399 53.7375768, 14.0400087 53.7371111, 14.0399989 53.7371039, 14.0394479 53.7366757, 14.0393744 53.7365963, 14.0392986 53.7364848, 14.03923 53.7363807, 14.0391406 53.7361501, 14.0390998 53.7360177)",2,L 31,,,,
"[1228310537, 222605082]",Ueckerstraße,secondary,50,False,True,54.342,"LINESTRING (14.0417875 53.7389489, 14.0417102 53.7389927, 14.0415671 53.7390207, 14.0410273 53.7391262)",,L 31,,,,
"[23303192, 1157924406]",Ueckerstraße,residential,"['50', '30']",False,False,59.864,"LINESTRING (14.0430057 53.7385205, 14.0432187 53.7384185, 14.0433054 53.738377, 14.0436688 53.7381532)",,,,,,
23303192,Ueckerstraße,residential,50,False,True,93.70500000000001,"LINESTRING (14.0430057 53.7385205, 14.0428379 53.7385952, 14.0425175 53.7387206, 14.0421491 53.738851, 14.0419073 53.7389324, 14.0417875 53.7389489)",,,,,,
46707787,Kamigstraße,residential,50,False,False,196.072,"LINESTRING (14.0430057 53.7385205, 14.0432928 53.7388155, 14.0438221 53.739371, 14.0439441 53.7394667, 14.0440785 53.7395442, 14.0442001 53.7395758, 14.044348 53.7395788, 14.045003 53.7395521)",,,,,,
25417162,An der Volksbühne,residential,30,True,False,38.113,"LINESTRING (14.0436688 53.7381532, 14.0440807 53.7383943)",,,,,,
"[23062005, 1228406813, 1157924406]",Ueckerstraße,residential,30,False,False,73.02799999999999,"LINESTRING (14.0436688 53.7381532, 14.0441358 53.7378417, 14.044227 53.7377809, 14.0443235 53.7377438, 14.0443943 53.7377235, 14.0444677 53.7377136)",2,,,,,
"[23303192, 1157924406]",Ueckerstraße,residential,"['50', '30']",False,True,59.864,"LINESTRING (14.0436688 53.7381532, 14.0433054 53.738377, 14.0432187 53.7384185, 14.0430057 53.7385205)",,,,,,
1228592573,Chausseestraße,secondary,50,False,True,8.531,"LINESTRING (14.0390998 53.7360177, 14.0390725 53.7359427)",2,L 31,,,,
