osmid,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,lanes,access
31873343,Äußere Grabenstraße,residential,30,False,False,54.468999999999994,"LINESTRING (11.3357881 49.5573958, 11.3363508 49.5575298, 11.3364862 49.5575797)",,,
58443731,Badstraße,tertiary,50,False,True,50.743,"LINESTRING (11.3357881 49.5573958, 11.3358848 49.5571388, 11.335898 49.5570972, 11.3359511 49.5569519)",,,
198445592,Badstraße,tertiary,,False,False,112.96000000000001,"LINESTRING (11.3357881 49.5573958, 11.3354164 49.5578869, 11.3350839 49.5583031)",,,
39435057,Johannisgasse,residential,30,False,False,139.809,"LINESTRING (11.3350839 49.5583031, 11.3352618 49.5583303, 11.3355213 49.5582689, 11.3357368 49.5581946, 11.3358786 49.5581418, 11.3359912 49.5580912, 11.3360727 49.5580263, 11.3362189 49.5578813, 11.336414 49.5576922, 11.3364862 49.5575797)",,,
141325648,Reuthstraße,residential,30,False,True,45.838,"LINESTRING (11.3350839 49.5583031, 11.334884 49.5582821, 11.3344524 49.5583045)",,,
198445592,Badstraße,tertiary,,False,False,105.713,"LINESTRING (11.3350839 49.5583031, 11.3349283 49.5584841, 11.3347424 49.5586991, 11.3343198 49.5591136)",,,
198445592,Badstraße,tertiary,,False,True,112.96000000000001,"LINESTRING (11.3350839 49.5583031, 11.3354164 49.5578869, 11.3357881 49.5573958)",,,
141326178,Johannisgasse,residential,,False,True,45.558,"LINESTRING (11.3373789 49.5567105, 11.3374951 49.5568781, 11.3376007 49.5570359, 11.3376417 49.5570828)",,,
"[141141689, 146980474]",Simonshofer Straße,residential,,False,True,98.786,"LINESTRING (11.3373789 49.5567105, 11.3375086 49.5566878, 11.3377679 49.5566584, 11.3378385 49.5566647, 11.3380409 49.5566798, 11.3383387 49.5567342, 11.3387173 49.556788)",,,
146980475,Simonshofer Straße,residential,50,False,False,106.796,"LINESTRING (11.3373789 49.5567105, 11.3370011 49.5567745, 11.336561 49.5568726, 11.3362492 49.5569315, 11.3360997 49.5569456, 11.3359511 49.5569519)",,,
31873343,Äußere Grabenstraße,residential,30,False,True,54.468999999999994,"LINESTRING (11.3364862 49.5575797, 11.3363508 49.5575298, 11.3357881 49.5573958)",,,
39435057,Johannisgasse,residential,30,False,False,100.21000000000001,"LINESTRING (11.3364862 49.5575797, 11.337184 49.5572456, 11.3376417 49.5570828)",,,
39435057,Johannisgasse,residential,30,False,True,139.809,"LINESTRING (11.3364862 49.5575797, 11.336414 49.5576922, 11.3362189 49.5578813, 11.3360727 49.5580263, 11.3359912 49.5580912, 11.3358786 49.5581418, 11.3357368 49.5581946, 11.3355213 49.5582689, 11.3352618 49.5583303, 11.3350839 49.5583031)",,,
"[46158706, 45893067]","['Angerstraße', 'Gartenstraße']",residential,30,False,True,215.883,"LINESTRING (11.3364862 49.5575797, 11.3365614 49.5576728, 11.3365858 49.5577804, 11.3365846 49.5582845, 11.3365985 49.5587209, 11.3366007 49.5589129, 11.3367738 49.5589086, 11.337064 49.558903, 11.3375177 49.5588996)",,,
"[141326804, 141137172]",Äußere Grabenstraße,residential,30,False,False,102.41000000000001,"LINESTRING (11.3364862 49.5575797, 11.336727 49.557608, 11.337009 49.557631, 11.3372281 49.5576386, 11.337501 49.5576483, 11.3376977 49.5576548, 11.3378976 49.5576695)",,,
47253275,Grabenstraße,residential,30,False,True,42.947,"LINESTRING (11.339122 49.5581515, 11.3391074 49.5580781, 11.3391594 49.5577677)",,,
81633824,Grabenstraße,residential,30,False,False,169.231,"LINESTRING (11.339122 49.5581515, 11.3390675 49.5582423, 11.339037 49.5583041, 11.3390147 49.5583933, 11.3390191 49.5585288, 11.339033 49.5586509, 11.3390769 49.5587773, 11.3392728 49.5593107, 11.3394094 49.5596321)",,,
141326797,Poststraße,residential,30,True,False,77.746,"LINESTRING (11.339122 49.5581515, 11.3395138 49.5580915, 11.3397858 49.55805, 11.3401691 49.5579858)",,,
27949936,Erlanger Straße,tertiary,,False,False,47.674,"LINESTRING (11.3394094 49.5596321, 11.3390554 49.5596881, 11.3387679 49.5597354)",,,
81633824,Grabenstraße,residential,30,False,True,169.23100000000002,"LINESTRING (11.3394094 49.5596321, 11.3392728 49.5593107, 11.3390769 49.5587773, 11.339033 49.5586509, 11.3390191 49.5585288, 11.3390147 49.5583933, 11.339037 49.5583041, 11.3390675 49.5582423, 11.339122 49.5581515)",,,
