osmid,lanes,name,highway,width,oneway,reversed,length,ref,maxspeed,geometry,bridge,junction
388045623,1,Lindenstraße,residential,6,False,True,77.294,,,"LINESTRING (12.5891304 51.2750429, 12.5901351 51.2753398)",,
"[25593376, 664931625, 238136479]",1,Lange Straße,tertiary,6,False,False,149.991,K 8360,50,"LINESTRING (12.5891304 51.2750429, 12.5886772 51.275656, 12.5884705 51.2759898, 12.588381 51.2761372, 12.5883033 51.2762873)",,
25593376,,Lange Straße,tertiary,6,False,True,132.676,K 8360,50,"LINESTRING (12.5891304 51.2750429, 12.5893055 51.2748311, 12.5894335 51.2746735, 12.5896637 51.27439, 12.5899967 51.2739799)",,
25593502,1,Leipziger Straße,secondary,5,False,False,212.04500000000002,K 8360,50,"LINESTRING (12.5875772 51.2780024, 12.5874108 51.2779825, 12.5866992 51.2778835, 12.5864043 51.2778425, 12.5859569 51.2777644, 12.585434 51.2776501, 12.584662 51.2774601)",,
"[67624333, 67624335]",2,Markt,secondary,8,False,True,80.543,K 8363,50,"LINESTRING (12.5875772 51.2780024, 12.5879407 51.2780482, 12.5882936 51.2780946, 12.5885198 51.2781249, 12.5886226 51.2781168, 12.5886907 51.2780785)",,
388045487,2,Breite Straße,tertiary,,False,True,104.92800000000001,K 8364,50,"LINESTRING (12.5875772 51.2780024, 12.5875604 51.2780446, 12.587502 51.2782467, 12.5875067 51.2787522, 12.5875059 51.2788238, 12.5874913 51.2789411)",,
532075108,1,Lange Straße,tertiary,6,False,True,67.392,K 8360,50,"LINESTRING (12.5875772 51.2780024, 12.5876036 51.2779263, 12.5877905 51.2774112)",,
388045629,2,Wurzener Straße,tertiary,,False,True,32.475,K 8364,50,"LINESTRING (12.5935584 51.2809104, 12.5939824 51.2810327)",,
25415038,2,Lutherstraße,residential,,False,False,188.989,,30,"LINESTRING (12.5935584 51.2809104, 12.5939061 51.2804459, 12.5939492 51.2803869, 12.5940462 51.2802541, 12.5940636 51.2802304, 12.5943225 51.2798727, 12.5944261 51.2797344, 12.5945296 51.2795927, 12.5946711 51.279399, 12.5946948 51.2793666)",,
388045629,2,Wurzener Straße,tertiary,,False,False,64.03099999999999,K 8364,50,"LINESTRING (12.5935584 51.2809104, 12.592978 51.2807429, 12.5928386 51.2807219, 12.5927007 51.2807183)",,
28725589,,Malzteichstraße,living_street,,False,False,224.94,,,"LINESTRING (12.5911522 51.280357, 12.5912447 51.2801731, 12.5913063 51.2801091, 12.5914009 51.2798947, 12.591454 51.279795, 12.5913803 51.2797213, 12.59094 51.2795738, 12.5906823 51.2795005, 12.5897947 51.2788549)",,
388045628,2,Wurzener Straße,tertiary,,False,False,174.481,K 8364,50,"LINESTRING (12.5911522 51.280357, 12.5908821 51.280286, 12.5905818 51.2801894, 12.59028 51.2800787, 12.5899628 51.2799607, 12.5897454 51.2798706, 12.5895905 51.2797874, 12.5890709 51.2794996)",,
388045628,2,Wurzener Straße,tertiary,,False,True,56.104,K 8364,50,"LINESTRING (12.5911522 51.280357, 12.5915693 51.2804482, 12.5919194 51.2805123)",,
28725591,2,Kurze Straße,tertiary,,False,False,88.405,,,"LINESTRING (12.5890709 51.2794996, 12.5891256 51.2794621, 12.5891869 51.2794166, 12.5895302 51.2790198, 12.5897947 51.2788549)",,
388045628,2,Wurzener Straße,tertiary,,False,True,174.481,K 8364,50,"LINESTRING (12.5890709 51.2794996, 12.5895905 51.2797874, 12.5897454 51.2798706, 12.5899628 51.2799607, 12.59028 51.2800787, 12.5905818 51.2801894, 12.5908821 51.280286, 12.5911522 51.280357)",,
1189365207,2,Wurzener Straße,tertiary,,False,False,43.034,K 8364,50,"LINESTRING (12.5890709 51.2794996, 12.5887219 51.2792919, 12.5886158 51.2792377)",,
24996482,1,Lindenstraße,residential,6,False,False,146.411,,,"LINESTRING (12.5938703 51.2764476, 12.5919685 51.2758834)",,
"[388045622, 1146511183]","['2', '3']",Bahnhofstraße,secondary,6,False,True,130.49399999999997,K 8363,50,"LINESTRING (12.5938703 51.2764476, 12.5939068 51.2764104, 12.5939939 51.2763194, 12.5947506 51.2755383, 12.5948163 51.2754851, 12.5948743 51.2754615)",,
"[766456700, 664750413, 37996158, 664750412]","['2', '3']",Bahnhofstraße,secondary,6,False,False,62.306,K 8363,50,"LINESTRING (12.5938703 51.2764476, 12.5936274 51.2766934, 12.5935315 51.2767893, 12.5934597 51.2768511, 12.5933666 51.2769086)",,
24996576,2,Bahnhofstraße,secondary,6,False,False,21.273,K 8363,50,"LINESTRING (12.5951648 51.2755002, 12.5949905 51.2754563, 12.594911 51.2754545, 12.5948743 51.2754615)",,
"[664931633, 661814892, 664931637]",1,Bahnhofstraße,secondary,6,False,False,132.397,K 8363,50,"LINESTRING (12.5933666 51.2769086, 12.5931866 51.2769805, 12.5925344 51.2772204, 12.5923009 51.2773007, 12.5917185 51.2775038)",,
