osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,width,bridge
4451565,1,L 59,secondary,30,roundabout,True,False,19.971999999999998,"LINESTRING (13.3935672 51.5146129, 13.3936242 51.5146188, 13.3936752 51.5146356, 13.393715 51.5146616, 13.3937395 51.5146941, 13.3937461 51.5147298)",,,
4453300,2,,secondary,50,,False,True,267.71000000000004,"LINESTRING (13.3898093 51.5151782, 13.3894971 51.5152395, 13.3886982 51.5154019, 13.3874484 51.5156501, 13.386686 51.5157413, 13.3862106 51.5158429, 13.3861129 51.5158745)",Hag,,
23233308,,,residential,,,False,True,107.071,"LINESTRING (13.3898093 51.5151782, 13.3901577 51.5157645, 13.3903538 51.5160795)",Südring,,
"[25110251, 34213285]",2,,secondary,"['50', '30']",,False,False,112.33,"LINESTRING (13.3898093 51.5151782, 13.3899533 51.5151486, 13.3907874 51.5149676, 13.3910313 51.5149141, 13.3912225 51.5148698, 13.3913418 51.5148452)",Südring,,
4451565,1,L 59,secondary,30,roundabout,True,False,9.251,"LINESTRING (13.3937461 51.5147298, 13.3937306 51.5147703, 13.3936924 51.5148044)",,,
765837604,,,residential,30,,False,False,12.508,"LINESTRING (13.3937461 51.5147298, 13.3938187 51.5147284, 13.3939268 51.5147299)",Südring,,
117290088,2,,secondary,30,,False,True,97.681,"LINESTRING (13.3944836 51.5157093, 13.3945647 51.5157236, 13.3946672 51.5157178, 13.394871 51.5156778, 13.3951197 51.5156257, 13.3956318 51.5155264, 13.3957348 51.5155167, 13.3958422 51.5155112)",Roßmarkt,,
977572430,2,,secondary,30,,False,False,14.614,"LINESTRING (13.3944836 51.5157093, 13.3944219 51.5156645, 13.3943522 51.5156065)",Riesaer Straße,,
117290088,2,,secondary,30,,False,False,97.681,"LINESTRING (13.3958422 51.5155112, 13.3957348 51.5155167, 13.3956318 51.5155264, 13.3951197 51.5156257, 13.394871 51.5156778, 13.3946672 51.5157178, 13.3945647 51.5157236, 13.3944836 51.5157093)",Roßmarkt,,
"[1231575529, 765837603]",2,L 59,secondary,,,False,True,107.493,"LINESTRING (13.3958422 51.5155112, 13.3958612 51.5154624, 13.3958685 51.5154437, 13.3958816 51.5154252, 13.3959796 51.5153339, 13.3963333 51.5151038, 13.3964303 51.5150216, 13.3966686 51.5147649, 13.3966844 51.5147155)",Hainsche Straße,,
"[23963320, 989378914, 989378915]",2,,secondary,30,,False,True,85.98,"LINESTRING (13.3958422 51.5155112, 13.3959183 51.5155409, 13.3959535 51.5155638, 13.3960426 51.5156216, 13.3961388 51.5156853, 13.396339 51.5158247, 13.3965082 51.5159324, 13.3965466 51.5159488, 13.3966194 51.5159799, 13.3967586 51.5160227)",Dresdener Straße,,
"[23233384, 23233296, 23233261]",,,residential,20,,True,False,278.466,"LINESTRING (13.394433 51.5158295, 13.3940942 51.51589, 13.3938208 51.5159378, 13.3936503 51.515966, 13.3934602 51.5159975, 13.3929686 51.516073, 13.3929354 51.5160781, 13.3925895 51.5161182, 13.3925025 51.5161273, 13.3920816 51.5161711, 13.3914767 51.5162233, 13.3911162 51.5162478, 13.3909617 51.5162484, 13.3908581 51.5162162, 13.39074 51.5161274, 13.3906729 51.5160245)","['Markt', 'Breite Straße', 'Am Markt']",,
570370112,,,residential,30,,True,False,13.823,"LINESTRING (13.394433 51.5158295, 13.3944666 51.5157432, 13.3944836 51.5157093)",Bahnhofstraße,3,
765550764,,,residential,20,,False,False,22.912,"LINESTRING (13.3906729 51.5160245, 13.3903538 51.5160795)",Torgauer Straße,,
"[26238257, 26330325]",,,residential,20,,True,False,127.022,"LINESTRING (13.3906729 51.5160245, 13.3906521 51.5159405, 13.3906515 51.5158544, 13.3907181 51.5158009, 13.3918563 51.5156635, 13.3919559 51.5156711, 13.3920902 51.515684, 13.3921465 51.5156831)","['Markt', 'Mittelstraße']",,
765550764,,,residential,20,,False,True,22.912,"LINESTRING (13.3903538 51.5160795, 13.3906729 51.5160245)",Torgauer Straße,,
23233270,,,residential,30,,False,False,204.852,"LINESTRING (13.3903538 51.5160795, 13.3897448 51.5161786, 13.3889598 51.516251, 13.3882895 51.5163685, 13.3879425 51.5164731, 13.387592 51.5166541)",Torgauer Straße,,
23233308,,,residential,,,False,False,107.071,"LINESTRING (13.3903538 51.5160795, 13.3901577 51.5157645, 13.3898093 51.5151782)",Südring,,
4434795,2,L 64,secondary,50,,False,True,100.842,"LINESTRING (13.3927354 51.5126324, 13.3924222 51.5117467)",Riesaer Straße,,
"[568784179, 4434795, 177929519]",2,L 64,secondary,50,,False,False,186.964,"LINESTRING (13.3927354 51.5126324, 13.3928399 51.5129342, 13.3930506 51.5134733, 13.3931103 51.5136323, 13.393334 51.5142719)",Riesaer Straße,,
25108630,,,residential,,,False,False,217.822,"LINESTRING (13.3927354 51.5126324, 13.3920052 51.5127239, 13.3917654 51.5127513, 13.3912453 51.5128152, 13.3900397 51.5129744, 13.3896519 51.5130256)",An der Feuerwache,,
25108630,,,residential,,,False,True,217.822,"LINESTRING (13.3896519 51.5130256, 13.3900397 51.5129744, 13.3912453 51.5128152, 13.3917654 51.5127513, 13.3920052 51.5127239, 13.3927354 51.5126324)",An der Feuerwache,,
"[25604490, 245779619]",2,L 59,secondary,,,False,True,275.134,"LINESTRING (13.3966844 51.5147155, 13.3967044 51.5146578, 13.3968439 51.5144915, 13.3969971 51.5143794, 13.3976323 51.5139994, 13.3977246 51.5139434, 13.3979569 51.5137949, 13.3993825 51.5129218)","['Hainsche Straße', 'Bormannstraße']",,
"[1231575529, 765837603]",2,L 59,secondary,,,False,False,107.49300000000001,"LINESTRING (13.3966844 51.5147155, 13.3966686 51.5147649, 13.3964303 51.5150216, 13.3963333 51.5151038, 13.3959796 51.5153339, 13.3958816 51.5154252, 13.3958685 51.5154437, 13.3958612 51.5154624, 13.3958422 51.5155112)",Hainsche Straße,,
25604731,1,,secondary,30,,True,False,56.476000000000006,"LINESTRING (13.3990402 51.5157984, 13.3988918 51.5158472, 13.3987453 51.5159153, 13.3986729 51.5159272, 13.3986045 51.5159218, 13.3984641 51.5158918, 13.3982924 51.5158777)",Burgplatz,,
25604642,1,,secondary,30,,True,False,56.05499999999999,"LINESTRING (13.3982924 51.5158777, 13.398396 51.5158467, 13.3984371 51.5158295, 13.3985445 51.5157768, 13.3986002 51.5157638, 13.3986935 51.515766, 13.3987696 51.5157874, 13.3988253 51.5157964, 13.3990402 51.5157984)",Burgplatz,,
"[546180448, 25604730]",2,,secondary,30,,False,False,108.467,"LINESTRING (13.3982924 51.5158777, 13.398252 51.5158836, 13.3972673 51.5160268, 13.3970322 51.5160459, 13.3969372 51.5160467, 13.3967586 51.5160227)","['Burgplatz', 'Dresdener Straße']",,
28424054,,,residential,,,False,False,42.397,"LINESTRING (13.3939268 51.5147299, 13.3939278 51.5147827, 13.3941217 51.5149352, 13.3942559 51.51504)",Grüne Gasse,,
