osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,tunnel,junction,ref
578848812,True,1,secondary_link,False,37.637,"LINESTRING (6.621082 51.6609009, 6.6209659 51.6609133, 6.6209109 51.6609283, 6.6208372 51.6609657, 6.6207741 51.6610198, 6.6207434 51.6611203)",,,,,
578848813,True,2,secondary,False,42.43,"LINESTRING (6.621082 51.6609009, 6.6208092 51.6608778, 6.6204725 51.6608493)",Kurfürstenring,40,,,
346399206,True,1,secondary,False,13.914,"LINESTRING (6.6184809 51.661102, 6.6182887 51.66114)",Kurfürstenring,40,,,
578848814,True,1,residential,False,38.628,"LINESTRING (6.6184809 51.661102, 6.6188413 51.6613679)",Blankenburgstraße,40,,,
23903484,False,,residential,True,12.136,"LINESTRING (6.6191557 51.6616819, 6.6190685 51.6615871)",Blankenburgstraße,40,,,
23903484,False,,residential,False,48.7,"LINESTRING (6.6191557 51.6616819, 6.6191069 51.6618623, 6.6190708 51.6619303, 6.6189771 51.6621043)",Blankenburgstraße,40,,,
37541341,False,,residential,False,172.16,"LINESTRING (6.6191557 51.6616819, 6.6193073 51.6616532, 6.6193626 51.6616701, 6.6198935 51.6618327, 6.6202761 51.6618918, 6.620536 51.6619151, 6.6209043 51.6619238, 6.6212176 51.6619083, 6.6215526 51.6618598)",Lipperheystraße,30,,,
24752993,False,3,secondary_link,False,13.883,"LINESTRING (6.6204389 51.6607262, 6.6204725 51.6608493)",,,,,
"[24752994, 653733963]",False,3,residential,False,67.668,"LINESTRING (6.6204389 51.6607262, 6.6204786 51.6605946, 6.62056 51.6603244, 6.6206529 51.6601331)",Poppelbaumstraße,30,,,
203314433,True,1,secondary,False,125.274,"LINESTRING (6.6204389 51.6607262, 6.6207414 51.6607464, 6.6211062 51.6607853, 6.6211987 51.6607952, 6.6216259 51.6608601, 6.6222112 51.6609624)",Kurfürstenring,40,,,
24753003,False,,residential,True,47.318,"LINESTRING (6.6209636 51.659594, 6.6203225 51.6594426)",Baustraße,30,,,
577950506,False,,residential,True,63.661,"LINESTRING (6.6209636 51.659594, 6.6206529 51.6601331)",Poppelbaumstraße,30,,,
"[57868095, 190630727]",False,,residential,False,165.377,"LINESTRING (6.6209636 51.659594, 6.621063 51.6594647, 6.6211801 51.6592391, 6.6212602 51.6590938, 6.6211799 51.6588289, 6.6211167 51.658716, 6.6210616 51.658621, 6.6209332 51.6585429, 6.6203674 51.6585178)","['Poppelbaumstraße', 'Beguinenstraße']",30,,,
190630732,False,,residential,False,67.31,"LINESTRING (6.6209636 51.659594, 6.6215278 51.6597628, 6.6217041 51.6598004, 6.6218654 51.659815)",Gantesweilerstraße,30,,,
24753003,False,,residential,False,139.383,"LINESTRING (6.6164041 51.6587871, 6.6183707 51.6590751)",Baustraße,30,,,
344880572,False,,residential,False,76.825,"LINESTRING (6.6164041 51.6587871, 6.6164969 51.6594756)",Korbmacherstraße,30,,,
24871342,False,,residential,True,60.908,"LINESTRING (6.6164041 51.6587871, 6.6159675 51.6588449, 6.6155317 51.6588288)",Flesgentor,,,,
344880572,False,,residential,True,69.084,"LINESTRING (6.6164041 51.6587871, 6.6164364 51.6585598, 6.6165351 51.6581715)",Korbmacherstraße,30,,,
37562792,False,,residential,True,111.05699999999999,"LINESTRING (6.6103163 51.6616327, 6.6103691 51.6614189, 6.6103481 51.6612871, 6.610575 51.6606525)",Fluthgrafstraße,30,,,
352051716,False,,residential,False,39.393,"LINESTRING (6.6103163 51.6616327, 6.6102819 51.6617801, 6.6102443 51.6619841)",Reeser Landstraße,,,,
