osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry
"[25958490, 25958491]",L 14,Katelbogener Straße,secondary,False,False,370.611,80,"LINESTRING (11.9309099 53.8426647, 11.9319436 53.8428206, 11.9334897 53.8430214, 11.9343518 53.8431318, 11.9364213 53.8433946)"
25958492,L 14,Katelbogener Straße,secondary,False,True,352.74699999999996,,"LINESTRING (11.9309099 53.8426647, 11.9304829 53.8425923, 11.9301911 53.8425457, 11.9297151 53.8424907, 11.9293025 53.8424765, 11.9287564 53.8424952, 11.9272908 53.842593, 11.9261482 53.8427117, 11.9256078 53.8427711)"
26362644,K 4,Alte Dorfstraße,tertiary,False,False,82.271,,"LINESTRING (11.9309099 53.8426647, 11.9308887 53.8427558, 11.9310232 53.8430677, 11.931147 53.8433855)"
327216732,,Hof,residential,False,False,147.093,,"LINESTRING (11.931147 53.8433855, 11.9289963 53.8437594)"
26362644,K 4,Alte Dorfstraße,tertiary,False,False,98.13300000000001,,"LINESTRING (11.931147 53.8433855, 11.9311987 53.8435927, 11.9312302 53.8438278, 11.9311942 53.8440477, 11.9311428 53.8442619)"
26362644,K 4,Alte Dorfstraße,tertiary,False,True,82.27099999999999,,"LINESTRING (11.931147 53.8433855, 11.9310232 53.8430677, 11.9308887 53.8427558, 11.9309099 53.8426647)"
67261795,,Am Hang,residential,False,False,125.228,,"LINESTRING (11.9239306 53.8453431, 11.9237892 53.845263, 11.9234461 53.8451782, 11.923378 53.8450986, 11.923419 53.8450126, 11.9236386 53.8449314, 11.923772 53.8450382, 11.9239314 53.8452272, 11.9239306 53.8453431)"
67261795,,Am Hang,residential,False,True,125.228,,"LINESTRING (11.9239306 53.8453431, 11.9239314 53.8452272, 11.923772 53.8450382, 11.9236386 53.8449314, 11.923419 53.8450126, 11.923378 53.8450986, 11.9234461 53.8451782, 11.9237892 53.845263, 11.9239306 53.8453431)"
"[67261795, 67261796]",,"['Zum Wiesengrund', 'Am Hang']",residential,False,True,241.39099999999996,,"LINESTRING (11.9239306 53.8453431, 11.9240154 53.8455061, 11.9245131 53.8456157, 11.9248003 53.845679, 11.9250503 53.8457569, 11.9258072 53.8461566, 11.9267813 53.8456904)"
26362644,K 4,Alte Dorfstraße,tertiary,False,False,351.20200000000006,,"LINESTRING (11.9311428 53.8442619, 11.9310316 53.844775, 11.9307276 53.8458595, 11.9306746 53.8461002, 11.9306477 53.8463135, 11.9306508 53.8465975, 11.9306848 53.846871, 11.9307384 53.8470598, 11.930797 53.8472488, 11.9308496 53.8473889)"
26362644,K 4,Alte Dorfstraße,tertiary,False,True,98.133,,"LINESTRING (11.9311428 53.8442619, 11.9311942 53.8440477, 11.9312302 53.8438278, 11.9311987 53.8435927, 11.931147 53.8433855)"
67261796,,Zum Wiesengrund,residential,False,False,168.019,,"LINESTRING (11.9311428 53.8442619, 11.9309767 53.8442575, 11.9301216 53.8444132, 11.9298917 53.8444671, 11.9287733 53.8447999)"
728982117,,Neubau,residential,False,False,24.787999999999997,,"LINESTRING (11.9235621 53.8421348, 11.9236245 53.84216, 11.9237 53.8421613, 11.9237647 53.8421383, 11.9237981 53.8420983, 11.9237895 53.842054)"
728982117,,Neubau,residential,False,True,29.753,,"LINESTRING (11.9235621 53.8421348, 11.9235327 53.8420937, 11.9235456 53.8420498, 11.9235743 53.8420314, 11.9235967 53.842017, 11.9236698 53.8420056, 11.9237417 53.8420194, 11.9237895 53.842054)"
