osmid,name,highway,width,oneway,reversed,length,geometry,lanes,ref,maxspeed,access
28553262,Rosenweg,residential,5,False,False,66.806,"LINESTRING (12.3441876 52.5266267, 12.3442451 52.5265968, 12.3446755 52.5261077)",,,,
148624204,Thomas-Mann-Straße,residential,5.5,False,False,77.965,"LINESTRING (12.3441876 52.5266267, 12.3444124 52.5267638, 12.3448296 52.5270185, 12.3449992 52.5271245)",,,,
148624204,Thomas-Mann-Straße,residential,5.5,False,True,43.614999999999995,"LINESTRING (12.3441876 52.5266267, 12.343996 52.5265098, 12.3437323 52.526349)",,,,
28553262,Rosenweg,residential,5,False,False,83.595,"LINESTRING (12.3450355 52.5256628, 12.3451502 52.5255656, 12.3458706 52.5251101)",,,,
28553262,Rosenweg,residential,5,False,True,55.218,"LINESTRING (12.3450355 52.5256628, 12.3450009 52.5257258, 12.3446755 52.5261077)",,,,
30645980,Reiherstieg,residential,,False,False,119.22200000000001,"LINESTRING (12.3450355 52.5256628, 12.3439161 52.5249686, 12.3438091 52.5248931)",,,,
"[30645984, 28553263]","['Thomas-Mann-Straße', 'Uferstraße']",residential,5.5,False,"[False, True]",162.10900000000004,"LINESTRING (12.3421492 52.5253615, 12.3417126 52.525091, 12.3416472 52.5250558, 12.3416323 52.5250273, 12.341716 52.5249614, 12.3419044 52.5248062, 12.3425517 52.524286, 12.342604 52.524227)",,,,
148624204,Thomas-Mann-Straße,residential,5.5,False,False,153.386,"LINESTRING (12.3421492 52.5253615, 12.3431192 52.5259673, 12.3435741 52.5262496, 12.3437323 52.526349)",,,,
148624191,Heinrich-Heine-Straße,primary,,False,False,35.646,"LINESTRING (12.3460339 52.5277667, 12.3459287 52.5278198, 12.3458692 52.5278494, 12.3456233 52.5279676)",3,B 102,50,
148624202,Thomas-Mann-Straße,residential,5,False,True,25.546,"LINESTRING (12.3460339 52.5277667, 12.3459534 52.5277152, 12.3457792 52.5275971)",,,,
30515393,Goethestraße,residential,,False,False,362.42,"LINESTRING (12.335498 52.528371, 12.3355487 52.528404, 12.3391967 52.5306229, 12.339284 52.5306771)",,,30,
332674807,Alte Hauptstraße,residential,6,False,True,190.071,"LINESTRING (12.335498 52.528371, 12.3362004 52.5280297, 12.3365892 52.5278188, 12.3371624 52.5274753, 12.3372516 52.5274393, 12.3374469 52.5273813, 12.3375953 52.5273285, 12.3376636 52.5272938)",,,30,
"[1089092580, 1020633757]",Alte Hauptstraße,residential,6,False,False,133.536,"LINESTRING (12.335498 52.528371, 12.3353434 52.5284432, 12.3351956 52.5285117, 12.3350549 52.5285815, 12.3349192 52.5286528, 12.3348426 52.5286994, 12.3347649 52.5287452, 12.3341955 52.5291948, 12.3341442 52.5292345)",,,30,
30515392,Fontanestraße,residential,,False,True,296.503,"LINESTRING (12.3369514 52.531198, 12.3369637 52.5311346, 12.3369655 52.5311235, 12.3369694 52.5310346, 12.3369658 52.5309948, 12.3369525 52.5309716, 12.336907 52.5309244, 12.3341964 52.5292641, 12.3341442 52.5292345)",,,,
148624192,Heinrich-Heine-Straße,primary,,False,False,209.77800000000002,"LINESTRING (12.3369514 52.531198, 12.3354755 52.5311233, 12.3339883 52.5310347, 12.3338629 52.5310278)",,B 102,50,
148624192,Heinrich-Heine-Straße,primary,,False,True,54.786,"LINESTRING (12.3369514 52.531198, 12.3373626 52.531218, 12.3375791 52.5312169, 12.3377588 52.5312042)",,B 102,50,
